country,iso2,project,page_id,page_title,pageviews,date
United Kingdom,GB,en.wikipedia,452461,Myocarditis,1704,2022-01-01
United Kingdom,GB,en.wikipedia,452461,Myocarditis,847,2022-01-02
United Kingdom,GB,en.wikipedia,452461,Myocarditis,758,2022-01-03
United Kingdom,GB,en.wikipedia,53951,Diarrhea,471,2022-01-03
United Kingdom,GB,en.wikipedia,452461,Myocarditis,822,2022-01-04
United Kingdom,GB,en.wikipedia,44410,Conjunctivitis,462,2022-01-04
United Kingdom,GB,en.wikipedia,452461,Myocarditis,718,2022-01-05
United Kingdom,GB,en.wikipedia,452461,Myocarditis,769,2022-01-06
United Kingdom,GB,en.wikipedia,452461,Myocarditis,617,2022-01-07
United Kingdom,GB,en.wikipedia,452461,Myocarditis,526,2022-01-08
United Kingdom,GB,en.wikipedia,53951,Diarrhea,563,2022-01-08
United Kingdom,GB,en.wikipedia,452461,Myocarditis,824,2022-01-09
United Kingdom,GB,en.wikipedia,452461,Myocarditis,799,2022-01-10
United Kingdom,GB,en.wikipedia,452461,Myocarditis,669,2022-01-11
United Kingdom,GB,en.wikipedia,452461,Myocarditis,503,2022-01-12
United Kingdom,GB,en.wikipedia,452461,Myocarditis,1097,2022-01-13
United Kingdom,GB,en.wikipedia,452461,Myocarditis,2606,2022-01-14
United Kingdom,GB,en.wikipedia,53951,Diarrhea,489,2022-01-14
United Kingdom,GB,en.wikipedia,452461,Myocarditis,1267,2022-01-15
United Kingdom,GB,en.wikipedia,53951,Diarrhea,803,2022-01-16
United Kingdom,GB,en.wikipedia,452461,Myocarditis,970,2022-01-17
United Kingdom,GB,en.wikipedia,53951,Diarrhea,566,2022-01-17
United Kingdom,GB,en.wikipedia,452461,Myocarditis,726,2022-01-18
United Kingdom,GB,en.wikipedia,452461,Myocarditis,563,2022-01-19
United Kingdom,GB,en.wikipedia,452461,Myocarditis,522,2022-01-20
United Kingdom,GB,en.wikipedia,452461,Myocarditis,567,2022-01-22
United Kingdom,GB,en.wikipedia,53951,Diarrhea,544,2022-01-22
United Kingdom,GB,en.wikipedia,452461,Myocarditis,784,2022-01-23
United Kingdom,GB,en.wikipedia,37636,Encephalitis,692,2022-01-23
United Kingdom,GB,en.wikipedia,452461,Myocarditis,593,2022-01-24
United Kingdom,GB,en.wikipedia,452461,Myocarditis,634,2022-01-25
United Kingdom,GB,en.wikipedia,452461,Myocarditis,499,2022-01-26
United Kingdom,GB,en.wikipedia,452461,Myocarditis,756,2022-01-27
United Kingdom,GB,en.wikipedia,452461,Myocarditis,512,2022-01-28
United Kingdom,GB,en.wikipedia,452461,Myocarditis,537,2022-01-29
United Kingdom,GB,en.wikipedia,452461,Myocarditis,681,2022-01-30
United Kingdom,GB,en.wikipedia,452461,Myocarditis,461,2022-01-31
United Kingdom,GB,en.wikipedia,53951,Diarrhea,504,2022-02-02
United Kingdom,GB,en.wikipedia,53951,Diarrhea,551,2022-02-03
United Kingdom,GB,en.wikipedia,452461,Myocarditis,477,2022-02-06
United Kingdom,GB,en.wikipedia,452461,Myocarditis,460,2022-02-07
United Kingdom,GB,en.wikipedia,53951,Diarrhea,553,2022-02-07
United Kingdom,GB,en.wikipedia,452461,Myocarditis,1532,2022-02-12
United Kingdom,GB,en.wikipedia,452461,Myocarditis,973,2022-02-13
United Kingdom,GB,en.wikipedia,452461,Myocarditis,696,2022-02-14
United Kingdom,GB,en.wikipedia,53951,Diarrhea,482,2022-02-14
United Kingdom,GB,en.wikipedia,452461,Myocarditis,570,2022-02-15
United Kingdom,GB,en.wikipedia,53951,Diarrhea,464,2022-02-15
United Kingdom,GB,en.wikipedia,452461,Myocarditis,564,2022-02-16
United Kingdom,GB,en.wikipedia,53951,Diarrhea,574,2022-02-16
United Kingdom,GB,en.wikipedia,452461,Myocarditis,602,2022-02-17
United Kingdom,GB,en.wikipedia,452461,Myocarditis,1020,2022-02-19
United Kingdom,GB,en.wikipedia,53951,Diarrhea,486,2022-02-21
United Kingdom,GB,en.wikipedia,37636,Encephalitis,701,2022-02-22
United Kingdom,GB,en.wikipedia,53951,Diarrhea,488,2022-02-28
United Kingdom,GB,en.wikipedia,53951,Diarrhea,534,2022-03-01
United Kingdom,GB,en.wikipedia,53951,Diarrhea,485,2022-03-02
United Kingdom,GB,en.wikipedia,452461,Myocarditis,468,2022-03-05
United Kingdom,GB,en.wikipedia,53951,Diarrhea,472,2022-03-07
United Kingdom,GB,en.wikipedia,53951,Diarrhea,475,2022-03-14
United Kingdom,GB,en.wikipedia,53951,Diarrhea,454,2022-03-22
United Kingdom,GB,en.wikipedia,53951,Diarrhea,599,2022-03-28
United Kingdom,GB,en.wikipedia,53951,Diarrhea,489,2022-03-30
United Kingdom,GB,en.wikipedia,53951,Diarrhea,466,2022-04-01
United Kingdom,GB,en.wikipedia,53951,Diarrhea,624,2022-04-02
United Kingdom,GB,en.wikipedia,53951,Diarrhea,544,2022-04-04
United Kingdom,GB,en.wikipedia,53951,Diarrhea,454,2022-04-12
United Kingdom,GB,en.wikipedia,53951,Diarrhea,456,2022-04-20
United Kingdom,GB,en.wikipedia,452461,Myocarditis,546,2022-04-22
United Kingdom,GB,en.wikipedia,53951,Diarrhea,462,2022-04-25
United Kingdom,GB,en.wikipedia,53951,Diarrhea,492,2022-04-26
United Kingdom,GB,en.wikipedia,53951,Diarrhea,461,2022-05-02
United Kingdom,GB,en.wikipedia,53951,Diarrhea,518,2022-05-03
United Kingdom,GB,en.wikipedia,53951,Diarrhea,490,2022-05-04
United Kingdom,GB,en.wikipedia,39680623,Monkeypox virus,5214,2022-05-07
United Kingdom,GB,en.wikipedia,242702,Monkeypox,4039,2022-05-07
United Kingdom,GB,en.wikipedia,39680623,Monkeypox virus,2799,2022-05-08
United Kingdom,GB,en.wikipedia,242702,Monkeypox,3101,2022-05-08
United Kingdom,GB,en.wikipedia,53951,Diarrhea,487,2022-05-08
United Kingdom,GB,en.wikipedia,39680623,Monkeypox virus,1212,2022-05-09
United Kingdom,GB,en.wikipedia,242702,Monkeypox,2376,2022-05-09
United Kingdom,GB,en.wikipedia,53951,Diarrhea,713,2022-05-09
United Kingdom,GB,en.wikipedia,39680623,Monkeypox virus,672,2022-05-10
United Kingdom,GB,en.wikipedia,242702,Monkeypox,924,2022-05-10
United Kingdom,GB,en.wikipedia,53951,Diarrhea,465,2022-05-11
United Kingdom,GB,en.wikipedia,39680623,Monkeypox virus,577,2022-05-13
United Kingdom,GB,en.wikipedia,242702,Monkeypox,569,2022-05-13
United Kingdom,GB,en.wikipedia,39680623,Monkeypox virus,5572,2022-05-14
United Kingdom,GB,en.wikipedia,242702,Monkeypox,3940,2022-05-14
United Kingdom,GB,en.wikipedia,39680623,Monkeypox virus,1880,2022-05-15
