country,iso3,date,cases
Andorra,AND,2022-07-27,3
Andorra,AND,2022-08-03,0
Andorra,AND,2022-08-10,1
Andorra,AND,2022-08-17,0
Andorra,AND,2022-08-24,0
Andorra,AND,2022-08-31,0
Andorra,AND,2022-09-07,0
Andorra,AND,2022-09-14,0
Andorra,AND,2022-09-21,0
Andorra,AND,2022-09-28,0
Andorra,AND,2022-10-05,0
Andorra,AND,2022-10-12,0
Andorra,AND,2022-10-19,0
Andorra,AND,2022-10-26,0
Andorra,AND,2022-11-02,0
Andorra,AND,2022-11-09,0
Andorra,AND,2022-11-16,0
Andorra,AND,2022-11-23,0
Andorra,AND,2022-11-30,0
Andorra,AND,2022-12-07,0
Andorra,AND,2022-12-14,0
Andorra,AND,2022-12-21,0
Andorra,AND,2022-12-28,0
Andorra,AND,2023-01-04,0
Andorra,AND,2023-01-11,0
Andorra,AND,2023-01-18,0
Andorra,AND,2023-01-25,0
Andorra,AND,2023-02-01,0
Andorra,AND,2023-02-08,0
Andorra,AND,2023-02-15,0
Andorra,AND,2023-02-22,0
Andorra,AND,2023-03-01,0
Andorra,AND,2023-03-08,0
Andorra,AND,2023-03-15,0
Andorra,AND,2023-03-22,0
Andorra,AND,2023-03-29,0
Andorra,AND,2023-04-05,0
Andorra,AND,2023-04-12,0
Andorra,AND,2023-04-19,0
Andorra,AND,2023-04-26,0
Andorra,AND,2023-05-03,0
Andorra,AND,2023-05-10,0
Andorra,AND,2023-05-17,0
Andorra,AND,2023-05-24,0
Andorra,AND,2023-05-31,0
Andorra,AND,2023-06-07,0
Andorra,AND,2023-06-14,0
Andorra,AND,2023-06-21,0
Andorra,AND,2023-06-28,0
Andorra,AND,2023-07-05,0
Andorra,AND,2023-07-12,0
Andorra,AND,2023-07-19,0
Andorra,AND,2023-07-26,0
Andorra,AND,2023-08-02,0
Andorra,AND,2023-08-09,0
Andorra,AND,2023-08-16,0
Andorra,AND,2023-08-23,0
Andorra,AND,2023-08-30,0
Andorra,AND,2023-09-06,0
Andorra,AND,2023-09-13,0
Andorra,AND,2023-09-20,0
Andorra,AND,2023-09-27,0
Andorra,AND,2023-10-04,0
Andorra,AND,2023-10-11,0
Andorra,AND,2023-10-18,0
Andorra,AND,2023-10-25,0
Andorra,AND,2023-11-01,0
Andorra,AND,2023-11-08,0
Andorra,AND,2023-11-15,0
Andorra,AND,2023-11-22,0
Andorra,AND,2023-11-29,0
Andorra,AND,2023-12-06,0
Andorra,AND,2023-12-13,0
Andorra,AND,2023-12-20,0
Andorra,AND,2023-12-27,0
Andorra,AND,2024-01-03,0
Andorra,AND,2024-01-10,0
Andorra,AND,2024-01-17,0
Andorra,AND,2024-01-24,0
Andorra,AND,2024-01-31,0
Andorra,AND,2024-02-07,0
Andorra,AND,2024-02-14,0
Andorra,AND,2024-02-21,0
Andorra,AND,2024-02-28,0
Andorra,AND,2024-03-06,0
Argentina,ARG,2022-06-01,2
Argentina,ARG,2022-06-08,1
Argentina,ARG,2022-06-15,0
Argentina,ARG,2022-06-22,1
Argentina,ARG,2022-06-29,2
Argentina,ARG,2022-07-06,0
Argentina,ARG,2022-07-13,7
Argentina,ARG,2022-07-20,5
Argentina,ARG,2022-07-27,2
Argentina,ARG,2022-08-03,11
Argentina,ARG,2022-08-10,18
Argentina,ARG,2022-08-17,23
Argentina,ARG,2022-08-24,61
Argentina,ARG,2022-08-31,37
Argentina,ARG,2022-09-07,51
Argentina,ARG,2022-09-14,44
Argentina,ARG,2022-09-21,61
Argentina,ARG,2022-09-28,70
Argentina,ARG,2022-10-05,83
Argentina,ARG,2022-10-12,45
Argentina,ARG,2022-10-19,96
Argentina,ARG,2022-10-26,55
Argentina,ARG,2022-11-02,71
Argentina,ARG,2022-11-09,0
Argentina,ARG,2022-11-16,119
Argentina,ARG,2022-11-23,29
Argentina,ARG,2022-11-30,50
Argentina,ARG,2022-12-07,28
Argentina,ARG,2022-12-14,15
Argentina,ARG,2022-12-21,0
Argentina,ARG,2022-12-28,31
Argentina,ARG,2023-01-04,7
Argentina,ARG,2023-01-11,12
Argentina,ARG,2023-01-18,15
Argentina,ARG,2023-01-25,12
Argentina,ARG,2023-02-01,11
Argentina,ARG,2023-02-08,14
Argentina,ARG,2023-02-15,6
Argentina,ARG,2023-02-22,3
Argentina,ARG,2023-03-01,10
Argentina,ARG,2023-03-08,4
Argentina,ARG,2023-03-15,7
Argentina,ARG,2023-03-22,2
Argentina,ARG,2023-03-29,3
Argentina,ARG,2023-04-05,1
Argentina,ARG,2023-04-12,2
Argentina,ARG,2023-04-19,1
Argentina,ARG,2023-04-26,0
Argentina,ARG,2023-05-03,1
Argentina,ARG,2023-05-10,0
Argentina,ARG,2023-05-17,0
Argentina,ARG,2023-05-24,0
Argentina,ARG,2023-05-31,0
Argentina,ARG,2023-06-07,0
Argentina,ARG,2023-06-14,0
Argentina,ARG,2023-06-21,0
Argentina,ARG,2023-06-28,0
Argentina,ARG,2023-07-05,0
Argentina,ARG,2023-07-12,0
Argentina,ARG,2023-07-19,0
Argentina,ARG,2023-07-26,0
Argentina,ARG,2023-08-02,0
Argentina,ARG,2023-08-09,0
Argentina,ARG,2023-08-16,1
Argentina,ARG,2023-08-23,0
Argentina,ARG,2023-08-30,0
Argentina,ARG,2023-09-06,0
Argentina,ARG,2023-09-13,0
Argentina,ARG,2023-09-20,0
Argentina,ARG,2023-09-27,0
Argentina,ARG,2023-10-04,0
Argentina,ARG,2023-10-11,5
Argentina,ARG,2023-10-18,0
Argentina,ARG,2023-10-25,0
Argentina,ARG,2023-11-01,0
Argentina,ARG,2023-11-08,0
Argentina,ARG,2023-11-15,1
Argentina,ARG,2023-11-22,0
Argentina,ARG,2023-11-29,0
Argentina,ARG,2023-12-06,0
Argentina,ARG,2023-12-13,0
Argentina,ARG,2023-12-20,0
Argentina,ARG,2023-12-27,0
Argentina,ARG,2024-01-03,0
Argentina,ARG,2024-01-10,0
Argentina,ARG,2024-01-17,0
Argentina,ARG,2024-01-24,0
Argentina,ARG,2024-01-31,0
Argentina,ARG,2024-02-07,0
Argentina,ARG,2024-02-14,0
Argentina,ARG,2024-02-21,0
Argentina,ARG,2024-02-28,0
Aruba,ABW,2022-08-24,1
Aruba,ABW,2022-08-31,1
Aruba,ABW,2022-09-07,0
Aruba,ABW,2022-09-14,1
Aruba,ABW,2022-09-21,0
Aruba,ABW,2022-09-28,0
Aruba,ABW,2022-10-05,0
Aruba,ABW,2022-10-12,0
