id,title,date
36517068,"""I'll be back"": Australia's experience of flu in 2022.",2022-12-14
36365036,"""Monkeypox: What Do You Know about That?"" Italian Adults' Awareness of a New Epidemic.",2022-10-04
37451393,"""Take"" after LC16m8 for mpox.",2023-06-15
36249929,"""The new face of Monkeypox"" by NMNI artist in residence Raffaela Pitzurra.",2022-10-17
36360982,"""You Shall Not Pass"" without a Jab: An Institutional Theory Perspective to COVID-19 Vaccine Passport Policies.",2022-08-22
36716729,"'Case of the Month' from the Medical University of Graz, Austria: pustules with ulceronecrotic centre - monkeypox virus is facing us.",2023-01-31
37173442,'The disease will be neglected': scientists react to the WHO ending mpox emergency.,2023-05-25
37796188,18 F-FDG PET/CT Findings in Monkeypox Infection in an HIV Patient.,2023-11-08
36338228,2022 Monkeypox outbreak: Why is it a public health emergency of international concern? What can we do to control it?,2022-08-07
36935247,2022 Mpox (monkeypox) outbreak: a concise review focused on new features of dermatological lesions.,2023-01-23
36443265,2022 Multiple-country Monkeypox Outbreak and Its Importation Risk into China: An Assessment Based on the Risk Matrix Method.,2022-08-08
37212297,2022 outbreak of human mpox: Dissemination and evolution dynamic.,2023-03-16
36065430,4 COVID-19 Ds to remember when approaching Monkeypox.,2022-08-12
37660250,"A 40-Year-Old Man with Anemia, Proctitis, Rectal Bleeding, and a Perianal Rash Due to Mpox (Monkeypox) Infection.",2023-09-04
36313586,A Brief Report on Monkeypox Outbreak 2022: Historical Perspective and Disease Pathogenesis.,2022-08-19
36102717,A Call for Attention: Pediatric Monkeypox Case in a Context of Changing Epidemiology.,2022-09-15
36278540,A Call to Action: Evidence for the Military Integration of Teledermoscopy in a Pandemic Era.,2022-08-18
36366410,"A Case Report of Monkeypox in an Adult Patient from Italy: Clinical and Dermoscopic Manifestations, Diagnosis and Management.",2022-09-30
37575820,A Case of Concurrent Infection With Syphilis and Monkeypox in an Immunosuppressed Individual.,2023-06-20
38249221,A Case of Concurrent Mpox and Chlamydial Proctitis in a Patient With HIV.,2023-12-19
37021428,A Case of Human Mpox with Isolated Perianal Ulcers Development in Convalescent Phase.,2023-01-08
37575831,A Case of Mistaken Identity: Varicella Zoster and Monkeypox.,2023-07-12
36523743,A Case of Monkeypox Infection in an Unvaccinated HIV-Positive Male in Rural Alabama.,2022-11-11
36905148,A Case of Mpox Reinfection.,2023-01-10
37764881,A Case of Severe Mpox Complicated with Streptococcus pyogenes Sepsis in a Patient with HIV Infection.,2023-07-31
38264094,A Case of Sustained Viral Shedding of Mpox With Ocular Involvement Resulting in Vision Loss.,2023-07-14
36084810,"A Commentary on ""Clinical characteristics of human monkeypox laboratory confirmed cases: Lessons learned from observational studies"" (Int J Surg 2022;104:106795).",2022-08-04
36915842,A Comprehensive Review of the Current Monkeypox Outbreak.,2023-02-09
37509466,A Comprehensive Review on Monkeypox Viral Disease with Potential Diagnostics and Therapeutic Options.,2023-05-22
38161887,A Cross-Sectional Study To Assess Knowledge of Monkeypox Among Medical Students and Graduates in India.,2023-11-30
36183749,A Curious Case of Severe Proctitis.,2022-08-24
36680080,A Customized Monkeypox Virus Genomic Database (MPXV DB v1.0) for Rapid Sequence Analysis and Phylogenomic Discoveries in CLC Microbial Genomics.,2022-11-15
37172461,"A European perspective of phylogenomics, sublineages, geographical distribution, epidemiology, and mutational landscape of mpox virus: Emergence pattern may help to fight the next public health emergency in Europe.",2023-02-09
37488025,A Few-shot learning approach for Monkeypox recognition from a cross-domain perspective.,2023-01-28
36016207,A Framework for Inspiring COVID-19 Vaccine Confidence in African American and Latino Communities.,2022-07-19
36146675,A Glance at the Development and Patent Literature of Tecovirimat: The First-in-Class Therapy for Emerging Monkeypox Outbreak.,2022-07-18
36301799,"A Health Equity Approach for Implementation of JYNNEOS Vaccination at Large, Community-Based LGBTQIA+ Events - Georgia, August 27-September 5, 2022.",2022-10-27
36324328,A Healthcare-Associated Infection With Monkeypox Virus of a Healthcare Worker During the 2022 Outbreak.,2022-08-15
37034746,A MATLAB toolbox to fit and forecast growth trajectories using phenomenological growth models: Application to epidemic outbreaks.,2023-04-11
36998139,A Mini-review on Potentials Proteins/Peptides Applied for Serodiagnosis of Human Monkeypox Infection and Future Trends.,2022-12-28
37514995,A Monoclonal Antibody Produced in Glycoengineered Plants Potently Neutralizes Monkeypox Virus.,2023-04-25
37140382,A Multi-Laboratory Evaluation of Commercial Monkeypox Virus Molecular Tests.,2023-06-19
37700987,A Narrative Review on the Monkeypox Virus: An Ongoing Global Outbreak Hitting the Non-Endemic Countries.,2023-08-10
36559284,A New Synergistic Strategy for Virus and Bacteria Eradication: Towards Universal Disinfectants.,2022-10-31
36200852,A Note on Monkeypox for Our Patients With Inflammatory Bowel Disease.,2022-10-07
35605243,A Novel International Monkeypox Outbreak.,2022-05-24
36546646,A Position Statement on Mpox as a Sexually Transmitted Disease.,2022-09-09
36356237,"A Primer on Monkeypox Virus for Obstetrician-Gynecologists: Diagnosis, Prevention, and Treatment.",2022-06-17
37038563,A Rare Co-occurrence of Monkeypox Encephalitis and Neurosyphilis.,2023-03-09
36343888,A Remembrance of the Anguish and Anxiety of Human Immunodeficiency Virus (HIV) in an Emerging Outbreak of Monkeypox December 1985.,2022-07-15
36512187,A Review of Monkeypox Ocular Manifestations and Complications: Insights for the 2022 Outbreak.,2022-10-14
38004725,"A Review of the Past, Present, and Future of the Monkeypox Virus: Challenges, Opportunities, and Lessons from COVID-19 for Global Health Security.",2023-10-03
36134109,A Review of the Recent Monkeypox Outbreak in 2022.,2022-08-11
36838210,A Review on Zoonotic Pathogens Associated with Non-Human Primates: Understanding the Potential Threats to Humans.,2022-12-20
37631672,A Robust Ensemble of Convolutional Neural Networks for the Detection of Monkeypox Disease from Skin Images.,2023-05-16
37303431,A Suspected Case of a Neonatal Monkeypox Infection With Ocular Involvement.,2023-05-09
36451652,A Systematic Review of 5110 Cases of Monkeypox: What Has Changed Between 1970 and 2022?,2022-10-29
37189603,A Transfer Learning Approach for Clinical Detection Support of Monkeypox Skin Lesions.,2023-03-29
37081848,"A Twitter dataset for Monkeypox, May 2022.",2022-06-21
36423140,A Vaccine Strategy Based on the Identification of an Annular Ganglioside Binding Motif in Monkeypox Virus Protein E8L.,2022-10-08
36115792,A brief on new waves of monkeypox and vaccines and antiviral drugs for monkeypox.,2022-07-08
37025545,A brief review of the monkeypox virus and emerging concerns for neuroinvasiveness.,2022-12-30
36420518,A call for a novel and next-generation vaccine against monkeypox disease.,2022-10-28
36116463,A call for more evidence documenting human-to-dog transmission of monkeypox virus.,2022-08-23
36259839,A call for the urgent and definitive inclusion of gender identity and sexual orientation data in the Brazilian health information systems: what can we learn from the monkeypox outbreak?,2022-08-12
38071992,A case of breakthrough mpox infection in an individual non-responder to MVA-BN vaccination.,2023-11-07
37392843,A case of confirmed pre-symptomatic transmission of mpox.,2023-04-13
38042367,"A case of fatal monkeypox infection: necropsy and molecular findings, with some considerations related to clinical management.",2023-10-10
36789762,"A case of human buffalopox in Malappuram, India: The role of mpox surveillance in 2022.",2023-02-09
35793837,A case of human monkeypox in Canada.,2022-07-07
38478642,A case of monkeypox and cytomegalovirus coinfection manifesting with crusted lesions mimicking rupiod syphilis.,2023-10-26
36581142,A case of monkeypox coinfection with syphilis in an Ecuadorian HIV positive young male.,2022-09-14
36345469,A case of monkeypox in a sexually-active man with HIV and syphilis.,2022-10-06
36735196,A case of occupational transmission of mpox.,2022-10-24
