country,iso2,iso3,cases,project,wikidata_id,page_title,page_id,date,pct_pageviews,pageviews,pageviews_ceil
United States,US,USA,0,en.wikipedia,Q6473911,Herpes simplex,21323216,2022-01-01,1.9722924058437986e-7,570,2890038000
United States,US,USA,0,en.wikipedia,Q655331,Herpes simplex virus,4774419,2022-01-01,2.276786672009157e-7,658,2890038000
United States,US,USA,0,en.wikipedia,Q1292082,Sore throat,310094,2022-01-01,2.705846774333071e-7,782,2890038000
United States,US,USA,0,en.wikipedia,Q199615,Encephalitis,37636,2022-01-02,2.425573642976321e-7,701,2890038000
United States,US,USA,0,en.wikipedia,Q38933,Fever,46253,2022-01-02,1.9549915952662213e-7,565,2890038000
United States,US,USA,0,en.wikipedia,Q6473911,Herpes simplex,21323216,2022-01-02,2.4324939672073514e-7,703,2890038000
United States,US,USA,0,en.wikipedia,Q655331,Herpes simplex virus,4774419,2022-01-02,2.204123267583333e-7,637,2890038000
United States,US,USA,0,en.wikipedia,Q12214,Smallpox,16829895,2022-01-02,1.3127855066265563e-6,3794,2890038000
United States,US,USA,0,en.wikipedia,Q199615,Encephalitis,37636,2022-01-03,1.8027444621835426e-7,521,2890038000
United States,US,USA,0,en.wikipedia,Q38933,Fever,46253,2022-01-03,2.055336296616169e-7,594,2890038000
United States,US,USA,0,en.wikipedia,Q6473911,Herpes simplex,21323216,2022-01-03,2.5432191549038457e-7,735,2890038000
United States,US,USA,0,en.wikipedia,Q655331,Herpes simplex virus,4774419,2022-01-03,2.619342721445186e-7,757,2890038000
United States,US,USA,0,en.wikipedia,Q382370,Monkeypox,242702,2022-01-03,5.6712057073298e-7,1639,2890038000
United States,US,USA,0,en.wikipedia,Q12214,Smallpox,16829895,2022-01-03,2.267790250508817e-6,6554,2890038000
United States,US,USA,0,en.wikipedia,Q101971,Wart,34049,2022-01-03,2.498237047402145e-7,722,2890038000
United States,US,USA,0,en.wikipedia,Q182155,Herpes zoster,443800,2022-01-04,5.456675656167843e-7,1577,2890038000
United States,US,USA,0,en.wikipedia,Q382370,Monkeypox,242702,2022-01-04,3.349436927818942e-7,968,2890038000
United States,US,USA,0,en.wikipedia,Q1292082,Sore throat,310094,2022-01-04,3.484383250324045e-7,1007,2890038000
United States,US,USA,0,en.wikipedia,Q182155,Herpes zoster,443800,2022-01-05,5.98954062195722e-7,1731,2890038000
United States,US,USA,0,en.wikipedia,Q1292082,Sore throat,310094,2022-01-05,3.4394011428223433e-7,994,2890038000
United States,US,USA,0,en.wikipedia,Q655331,Herpes simplex virus,4774419,2022-01-06,2.4636354262469906e-7,712,2890038000
United States,US,USA,0,en.wikipedia,Q1292082,Sore throat,310094,2022-01-06,3.1695084978121393e-7,916,2890038000
United States,US,USA,0,en.wikipedia,Q655331,Herpes simplex virus,4774419,2022-01-07,3.453241791284405e-7,998,2890038000
United States,US,USA,0,en.wikipedia,Q12214,Smallpox,16829895,2022-01-07,1.1217845578501045e-6,3242,2890038000
United States,US,USA,0,en.wikipedia,Q199615,Encephalitis,37636,2022-01-08,1.9480712710351906e-7,563,2890038000
United States,US,USA,0,en.wikipedia,Q38933,Fever,46253,2022-01-08,1.9619119194972525e-7,567,2890038000
United States,US,USA,0,en.wikipedia,Q12214,Smallpox,16829895,2022-01-08,9.806099435370743e-7,2834,2890038000
