country,iso2,iso3,project,wikidata_id,page_id,page_title,date,roll_pct_pageviews,roll_cases,roll_n_articles,roll_n_studies
United States,US,USA,en.wikipedia,Q113480445,16057614,ACAM2000,2022-05-10,1.5992312317776486e-7,1,0,0
United States,US,USA,en.wikipedia,Q199615,37636,Encephalitis,2022-05-10,1.5992312317776486e-7,1,0,0
United States,US,USA,en.wikipedia,Q38933,46253,Fever,2022-05-10,1.5992312317776486e-7,1,0,0
United States,US,USA,en.wikipedia,Q3075150,24808275,Fomite,2022-05-10,1.5992312317776486e-7,1,0,0
United States,US,USA,en.wikipedia,Q7476596,5069414,Genital herpes,2022-05-10,1.5992312317776486e-7,1,0,0
United States,US,USA,en.wikipedia,Q208726,188665,Genital wart,2022-05-10,1.5992312317776486e-7,1,0,0
United States,US,USA,en.wikipedia,Q86,69893,Headache,2022-05-10,1.5992312317776486e-7,1,0,0
United States,US,USA,en.wikipedia,Q6473911,21323216,Herpes,2022-05-10,1.5992312317776486e-7,1,0,0
United States,US,USA,en.wikipedia,Q6473911,21323216,Herpes simplex,2022-05-10,1.5992312317776486e-7,1,0,0
United States,US,USA,en.wikipedia,Q655331,4774419,Herpes simplex virus,2022-05-10,1.5992312317776486e-7,1,0,0
United States,US,USA,en.wikipedia,Q182155,443800,Herpes zoster,2022-05-10,1.5992312317776486e-7,1,0,0
United States,US,USA,en.wikipedia,Q827023,324927,Lesion,2022-05-10,1.5992312317776486e-7,1,0,0
United States,US,USA,en.wikipedia,Q474959,149467,Myalgia,2022-05-10,1.5992312317776486e-7,1,0,0
United States,US,USA,en.wikipedia,Q740335,2591633,Orthopoxvirus,2022-05-10,1.5992312317776486e-7,1,0,0
United States,US,USA,en.wikipedia,Q948421,1548205,Poxviridae,2022-05-10,1.5992312317776486e-7,1,0,0
United States,US,USA,en.wikipedia,Q941770,2161913,Proctitis,2022-05-10,1.5992312317776486e-7,1,0,0
United States,US,USA,en.wikipedia,Q182155,443800,Shingles,2022-05-10,4.890093722057876e-7,1,0,0
United States,US,USA,en.wikipedia,Q12214,16829895,Smallpox,2022-05-10,5.668386254856333e-7,1,0,0
United States,US,USA,en.wikipedia,Q1292082,310094,Sore throat,2022-05-10,1.5992312317776486e-7,1,0,0
United States,US,USA,en.wikipedia,Q7692792,24383686,Tecovirimat,2022-05-10,1.5992312317776486e-7,1,0,0
United States,US,USA,en.wikipedia,Q1122485,32134,Urethritis,2022-05-10,1.5992312317776486e-7,1,0,0
United States,US,USA,en.wikipedia,Q101971,34049,Wart,2022-05-10,1.5992312317776486e-7,1,0,0
United States,US,USA,en.wikipedia,Q382370,242702,Mpox,2022-05-10,0,1,0,0
United States,US,USA,en.wikipedia,Q113480445,16057614,ACAM2000,2022-05-11,1.5992312317776486e-7,3,0,0
United States,US,USA,en.wikipedia,Q199615,37636,Encephalitis,2022-05-11,1.5992312317776486e-7,3,0,0
United States,US,USA,en.wikipedia,Q38933,46253,Fever,2022-05-11,1.5992312317776486e-7,3,0,0
United States,US,USA,en.wikipedia,Q3075150,24808275,Fomite,2022-05-11,1.5992312317776486e-7,3,0,0
United States,US,USA,en.wikipedia,Q7476596,5069414,Genital herpes,2022-05-11,1.5992312317776486e-7,3,0,0
United States,US,USA,en.wikipedia,Q208726,188665,Genital wart,2022-05-11,1.5992312317776486e-7,3,0,0
United States,US,USA,en.wikipedia,Q86,69893,Headache,2022-05-11,1.5992312317776486e-7,3,0,0
United States,US,USA,en.wikipedia,Q6473911,21323216,Herpes,2022-05-11,1.5992312317776486e-7,3,0,0
United States,US,USA,en.wikipedia,Q6473911,21323216,Herpes simplex,2022-05-11,1.5992312317776486e-7,3,0,0
United States,US,USA,en.wikipedia,Q655331,4774419,Herpes simplex virus,2022-05-11,1.5992312317776486e-7,3,0,0
United States,US,USA,en.wikipedia,Q182155,443800,Herpes zoster,2022-05-11,1.5992312317776486e-7,3,0,0
United States,US,USA,en.wikipedia,Q827023,324927,Lesion,2022-05-11,1.5992312317776486e-7,3,0,0
United States,US,USA,en.wikipedia,Q474959,149467,Myalgia,2022-05-11,1.5992312317776486e-7,3,0,0
United States,US,USA,en.wikipedia,Q740335,2591633,Orthopoxvirus,2022-05-11,1.5992312317776486e-7,3,0,0
