country,iso2,iso3,shift,r_squared
Argentina,AR,ARG,-28,0.4331949302202175
Argentina,AR,ARG,-27,0.458008545276525
Argentina,AR,ARG,-26,0.4765605678947809
Argentina,AR,ARG,-25,0.501436175906513
Argentina,AR,ARG,-24,0.5027803900578551
Argentina,AR,ARG,-23,0.503453908632628
Argentina,AR,ARG,-22,0.4776444797803861
Argentina,AR,ARG,-21,0.4537054442289999
Argentina,AR,ARG,-20,0.43740479999698295
Argentina,AR,ARG,-19,0.43608488521076483
Argentina,AR,ARG,-18,0.4265686270578746
Argentina,AR,ARG,-17,0.4366748422773005
Argentina,AR,ARG,-16,0.4359890431419028
Argentina,AR,ARG,-15,0.4341273132603078
Argentina,AR,ARG,-14,0.45482625773975455
Argentina,AR,ARG,-13,0.4766148829393503
Argentina,AR,ARG,-12,0.49052472293493216
Argentina,AR,ARG,-11,0.49629943173691193
Argentina,AR,ARG,-10,0.47502900859937625
Argentina,AR,ARG,-9,0.4739606586583689
Argentina,AR,ARG,-8,0.4629088613934649
Argentina,AR,ARG,-7,0.45524079794751643
Argentina,AR,ARG,-6,0.44366173797035746
Argentina,AR,ARG,-5,0.44381865486160665
Argentina,AR,ARG,-4,0.43539656183999803
Argentina,AR,ARG,-3,0.4593531596372826
Argentina,AR,ARG,-2,0.47889177153883994
Argentina,AR,ARG,-1,0.49819889730079225
Argentina,AR,ARG,0,0.5229524107571671
Argentina,AR,ARG,1,0.5512772048650244
Argentina,AR,ARG,2,0.5630127354482204
Argentina,AR,ARG,3,0.5628591385950121
Argentina,AR,ARG,4,0.5633165042492415
Argentina,AR,ARG,5,0.5556188639563069
Argentina,AR,ARG,6,0.5456382293262417
Argentina,AR,ARG,7,0.5296122743587037
Argentina,AR,ARG,8,0.5181329927963616
Argentina,AR,ARG,9,0.5055337757536508
Argentina,AR,ARG,10,0.4903107720569688
Argentina,AR,ARG,11,0.5064292217660543
Argentina,AR,ARG,12,0.5125517465604971
Argentina,AR,ARG,13,0.5062956340936674
Argentina,AR,ARG,14,0.5201187813340169
Argentina,AR,ARG,15,0.5057157254237402
Argentina,AR,ARG,16,0.49885429346416366
Argentina,AR,ARG,17,0.49237912696662683
Argentina,AR,ARG,18,0.45609949769851965
Argentina,AR,ARG,19,0.44928313901948774
Argentina,AR,ARG,20,0.457728024764035
Argentina,AR,ARG,21,0.4518517730909917
Argentina,AR,ARG,22,0.4629859153523818
Argentina,AR,ARG,23,0.46677190985082345
Argentina,AR,ARG,24,0.47652987599306473
Argentina,AR,ARG,25,0.5164601397927358
Argentina,AR,ARG,26,0.5225866617391144
Argentina,AR,ARG,27,0.5102479409961296
Argentina,AR,ARG,28,0.5176630888533185
