country,iso2,iso3,shift,r_squared
Belgium,BE,BEL,-28,0.679960432811232
Belgium,BE,BEL,-27,0.6928158413215969
Belgium,BE,BEL,-26,0.7036085260147649
Belgium,BE,BEL,-25,0.7101246090745607
Belgium,BE,BEL,-24,0.6559928543763366
Belgium,BE,BEL,-23,0.6493583610035546
Belgium,BE,BEL,-22,0.6370739808338685
Belgium,BE,BEL,-21,0.6259056780946861
Belgium,BE,BEL,-20,0.6168586596946597
Belgium,BE,BEL,-19,0.6082933410717957
Belgium,BE,BEL,-18,0.6048719509267275
Belgium,BE,BEL,-17,0.5878774143111433
Belgium,BE,BEL,-16,0.6000952831167752
Belgium,BE,BEL,-15,0.6035530073146016
Belgium,BE,BEL,-14,0.6113042015262418
Belgium,BE,BEL,-13,0.611920553449674
Belgium,BE,BEL,-12,0.6195170480312708
Belgium,BE,BEL,-11,0.6232824048809479
Belgium,BE,BEL,-10,0.6499231947911378
Belgium,BE,BEL,-9,0.6592657083057242
Belgium,BE,BEL,-8,0.6755712394396629
Belgium,BE,BEL,-7,0.6694088703986253
Belgium,BE,BEL,-6,0.6779998940973536
Belgium,BE,BEL,-5,0.6787844323510888
Belgium,BE,BEL,-4,0.6721706788583113
Belgium,BE,BEL,-3,0.6601486789299041
Belgium,BE,BEL,-2,0.6582562833424795
Belgium,BE,BEL,-1,0.6660238461308605
Belgium,BE,BEL,0,0.6483801652716952
Belgium,BE,BEL,1,0.6546906956415849
Belgium,BE,BEL,2,0.6615016318525668
Belgium,BE,BEL,3,0.6635746224798036
Belgium,BE,BEL,4,0.6615560984560521
Belgium,BE,BEL,5,0.6708533312612374
Belgium,BE,BEL,6,0.6636230676817316
Belgium,BE,BEL,7,0.6663670698373528
Belgium,BE,BEL,8,0.6683859685401483
Belgium,BE,BEL,9,0.6741202762758719
Belgium,BE,BEL,10,0.6536641179539288
Belgium,BE,BEL,11,0.6591521774450495
Belgium,BE,BEL,12,0.6271046005300102
Belgium,BE,BEL,13,0.6327811211790937
Belgium,BE,BEL,14,0.6134384194979258
Belgium,BE,BEL,15,0.6044189059722825
Belgium,BE,BEL,16,0.5992256837787965
Belgium,BE,BEL,17,0.5935319682837626
Belgium,BE,BEL,18,0.5881599744577315
Belgium,BE,BEL,19,0.5915170016251999
Belgium,BE,BEL,20,0.5941490942670784
Belgium,BE,BEL,21,0.5912709537379709
Belgium,BE,BEL,22,0.5980478475882571
Belgium,BE,BEL,23,0.5921375013746408
Belgium,BE,BEL,24,0.5989131576550675
Belgium,BE,BEL,25,0.6144987657557454
Belgium,BE,BEL,26,0.5875118033855604
Belgium,BE,BEL,27,0.5644213362576068
Belgium,BE,BEL,28,0.5546947372982649
