country,iso2,iso3,shift,r_squared
Switzerland,CH,CHE,-28,0.6784428912385986
Switzerland,CH,CHE,-27,0.6775741821960104
Switzerland,CH,CHE,-26,0.6809860606571009
Switzerland,CH,CHE,-25,0.6954815820126691
Switzerland,CH,CHE,-24,0.7089331759570553
Switzerland,CH,CHE,-23,0.7336244087485634
Switzerland,CH,CHE,-22,0.7418186079833867
Switzerland,CH,CHE,-21,0.7387998156488605
Switzerland,CH,CHE,-20,0.7419962676692132
Switzerland,CH,CHE,-19,0.7338136129280056
Switzerland,CH,CHE,-18,0.7274078741413346
Switzerland,CH,CHE,-17,0.7182798637037885
Switzerland,CH,CHE,-16,0.7173949657424765
Switzerland,CH,CHE,-15,0.727626019787018
Switzerland,CH,CHE,-14,0.7356028446038712
Switzerland,CH,CHE,-13,0.7364605184533102
Switzerland,CH,CHE,-12,0.741147966950938
Switzerland,CH,CHE,-11,0.7575255000035928
Switzerland,CH,CHE,-10,0.7715603588171788
Switzerland,CH,CHE,-9,0.7672943276110308
Switzerland,CH,CHE,-8,0.7545856828411336
Switzerland,CH,CHE,-7,0.7388092078460288
Switzerland,CH,CHE,-6,0.746690191749542
Switzerland,CH,CHE,-5,0.7456715803652907
Switzerland,CH,CHE,-4,0.7472588795185992
Switzerland,CH,CHE,-3,0.7291751406961945
Switzerland,CH,CHE,-2,0.7201924658837295
Switzerland,CH,CHE,-1,0.7041469108534401
Switzerland,CH,CHE,0,0.6996336620679308
Switzerland,CH,CHE,1,0.6922842332600581
Switzerland,CH,CHE,2,0.6897601386634618
Switzerland,CH,CHE,3,0.694080233642792
Switzerland,CH,CHE,4,0.6865365511590975
Switzerland,CH,CHE,5,0.6803635438728417
Switzerland,CH,CHE,6,0.6857591726977305
Switzerland,CH,CHE,7,0.6897213892894846
Switzerland,CH,CHE,8,0.6953394881319961
Switzerland,CH,CHE,9,0.6855567087335775
Switzerland,CH,CHE,10,0.6792300367653415
Switzerland,CH,CHE,11,0.6679725134447669
Switzerland,CH,CHE,12,0.6737310055662403
Switzerland,CH,CHE,13,0.6469395593728057
Switzerland,CH,CHE,14,0.6402831251114446
Switzerland,CH,CHE,15,0.6118938085556896
Switzerland,CH,CHE,16,0.607768696585593
Switzerland,CH,CHE,17,0.6038037413231698
Switzerland,CH,CHE,18,0.6035046882283868
Switzerland,CH,CHE,19,0.587204598008203
Switzerland,CH,CHE,20,0.6006861849301961
Switzerland,CH,CHE,21,0.5864788974650634
Switzerland,CH,CHE,22,0.5902861973206464
Switzerland,CH,CHE,23,0.5809719945745486
Switzerland,CH,CHE,24,0.5539336731696101
Switzerland,CH,CHE,25,0.5631414791917297
Switzerland,CH,CHE,26,0.550406419617755
Switzerland,CH,CHE,27,0.5564384735857648
Switzerland,CH,CHE,28,0.5609100678551089
