country,iso2,iso3,shift,r_squared
Germany,DE,DEU,-28,0.714593005547956
Germany,DE,DEU,-27,0.7138766449267647
Germany,DE,DEU,-26,0.7357444647150734
Germany,DE,DEU,-25,0.7374079674736287
Germany,DE,DEU,-24,0.7417623476905123
Germany,DE,DEU,-23,0.7589665311704308
Germany,DE,DEU,-22,0.7673203339225392
Germany,DE,DEU,-21,0.7732360042281606
Germany,DE,DEU,-20,0.7828916326587532
Germany,DE,DEU,-19,0.7883912509350035
Germany,DE,DEU,-18,0.7940632652149439
Germany,DE,DEU,-17,0.8047966773512866
Germany,DE,DEU,-16,0.7980862234294168
Germany,DE,DEU,-15,0.7978341817491245
Germany,DE,DEU,-14,0.8095073773775117
Germany,DE,DEU,-13,0.8162790742601151
Germany,DE,DEU,-12,0.8150772250308265
Germany,DE,DEU,-11,0.8110813683053725
Germany,DE,DEU,-10,0.8104701130156802
Germany,DE,DEU,-9,0.8103176350867226
Germany,DE,DEU,-8,0.8088798327794104
Germany,DE,DEU,-7,0.8100588494180859
Germany,DE,DEU,-6,0.8058567416473496
Germany,DE,DEU,-5,0.8072013800585249
Germany,DE,DEU,-4,0.8090071289260012
Germany,DE,DEU,-3,0.8049132986507872
Germany,DE,DEU,-2,0.8155647227437635
Germany,DE,DEU,-1,0.8334385381753138
Germany,DE,DEU,0,0.8341248190831646
Germany,DE,DEU,1,0.8366288693026694
Germany,DE,DEU,2,0.8373780312918218
Germany,DE,DEU,3,0.8334215486774289
Germany,DE,DEU,4,0.8251479197391923
Germany,DE,DEU,5,0.8066778577145126
Germany,DE,DEU,6,0.7771394655888302
Germany,DE,DEU,7,0.7697839499197703
Germany,DE,DEU,8,0.7716105193938969
Germany,DE,DEU,9,0.7607523812472503
Germany,DE,DEU,10,0.7581158222689182
Germany,DE,DEU,11,0.7510754466053337
Germany,DE,DEU,12,0.7453343491583203
Germany,DE,DEU,13,0.7472367747091047
Germany,DE,DEU,14,0.7414425842648076
Germany,DE,DEU,15,0.7243439639245002
Germany,DE,DEU,16,0.7161339493193469
Germany,DE,DEU,17,0.7128059202610806
Germany,DE,DEU,18,0.7162095317856458
Germany,DE,DEU,19,0.714723775569279
Germany,DE,DEU,20,0.7175683249107118
Germany,DE,DEU,21,0.711420968956193
Germany,DE,DEU,22,0.7092983026803459
Germany,DE,DEU,23,0.7145483510918293
Germany,DE,DEU,24,0.7164041713728031
Germany,DE,DEU,25,0.709428136938556
Germany,DE,DEU,26,0.7063506898008266
Germany,DE,DEU,27,0.7021499690711791
Germany,DE,DEU,28,0.6944641266027435
