country,iso2,iso3,shift,r_squared
France,FR,FRA,-28,0.5668288410705158
France,FR,FRA,-27,0.5757373261001929
France,FR,FRA,-26,0.5431021802616867
France,FR,FRA,-25,0.5417003576694425
France,FR,FRA,-24,0.5640260888137532
France,FR,FRA,-23,0.5558149580585484
France,FR,FRA,-22,0.578764632141877
France,FR,FRA,-21,0.587607536001334
France,FR,FRA,-20,0.5635450869534092
France,FR,FRA,-19,0.5660721671293265
France,FR,FRA,-18,0.5805470399493847
France,FR,FRA,-17,0.5871473971980887
France,FR,FRA,-16,0.5894239589520633
France,FR,FRA,-15,0.5955694481030783
France,FR,FRA,-14,0.5790151578767035
France,FR,FRA,-13,0.6119779231893272
France,FR,FRA,-12,0.6248705427232197
France,FR,FRA,-11,0.6394933144670237
France,FR,FRA,-10,0.6507094070015074
France,FR,FRA,-9,0.6522553949259325
France,FR,FRA,-8,0.6418172804335996
France,FR,FRA,-7,0.6421439520829402
France,FR,FRA,-6,0.6376886710326788
France,FR,FRA,-5,0.6370769441913109
France,FR,FRA,-4,0.659078545968473
France,FR,FRA,-3,0.6833029468728448
France,FR,FRA,-2,0.706580016482527
France,FR,FRA,-1,0.7068142488349041
France,FR,FRA,0,0.6992919479704415
France,FR,FRA,1,0.6878838584451393
France,FR,FRA,2,0.7030901770162258
France,FR,FRA,3,0.6662375932952032
France,FR,FRA,4,0.6319644936412777
France,FR,FRA,5,0.6149841194066459
France,FR,FRA,6,0.6198237752994183
France,FR,FRA,7,0.6171665191496923
France,FR,FRA,8,0.618035493498365
France,FR,FRA,9,0.5818946283860252
France,FR,FRA,10,0.5569787799997254
France,FR,FRA,11,0.5440531160625975
France,FR,FRA,12,0.5293775643292431
France,FR,FRA,13,0.520441634118226
France,FR,FRA,14,0.5260282212008918
France,FR,FRA,15,0.508788584422203
France,FR,FRA,16,0.5446770407239491
France,FR,FRA,17,0.5613138438721499
France,FR,FRA,18,0.5569922631690617
France,FR,FRA,19,0.5506383697860374
France,FR,FRA,20,0.5323065558126873
France,FR,FRA,21,0.5212052282345345
France,FR,FRA,22,0.512462787480329
France,FR,FRA,23,0.4978642691308852
France,FR,FRA,24,0.507912883168486
France,FR,FRA,25,0.512037051489271
France,FR,FRA,26,0.5241454864943754
France,FR,FRA,27,0.5086329762472117
France,FR,FRA,28,0.5005956410762558
