country,iso2,iso3,shift,r_squared
United Kingdom,GB,GBR,-28,0.5799031071675044
United Kingdom,GB,GBR,-27,0.5577535550224845
United Kingdom,GB,GBR,-26,0.5707558203323576
United Kingdom,GB,GBR,-25,0.5595361032287428
United Kingdom,GB,GBR,-24,0.542261406921168
United Kingdom,GB,GBR,-23,0.5504887457860895
United Kingdom,GB,GBR,-22,0.5814573823547338
United Kingdom,GB,GBR,-21,0.5743306160267687
United Kingdom,GB,GBR,-20,0.6035273881386622
United Kingdom,GB,GBR,-19,0.6186378019572473
United Kingdom,GB,GBR,-18,0.6210453722538298
United Kingdom,GB,GBR,-17,0.610635515632293
United Kingdom,GB,GBR,-16,0.5997754809192908
United Kingdom,GB,GBR,-15,0.5980460573303995
United Kingdom,GB,GBR,-14,0.6125248085066348
United Kingdom,GB,GBR,-13,0.6286629167236505
United Kingdom,GB,GBR,-12,0.6250501199831934
United Kingdom,GB,GBR,-11,0.6515776911884634
United Kingdom,GB,GBR,-10,0.6960409553093408
United Kingdom,GB,GBR,-9,0.7207320844501629
United Kingdom,GB,GBR,-8,0.7071756785359256
United Kingdom,GB,GBR,-7,0.703663928059183
United Kingdom,GB,GBR,-6,0.6951773766342617
United Kingdom,GB,GBR,-5,0.685499644569158
United Kingdom,GB,GBR,-4,0.6728661485997989
United Kingdom,GB,GBR,-3,0.6535565924195557
United Kingdom,GB,GBR,-2,0.6607049658728541
United Kingdom,GB,GBR,-1,0.6875836287056096
United Kingdom,GB,GBR,0,0.6963023722387314
United Kingdom,GB,GBR,1,0.7022459276244549
United Kingdom,GB,GBR,2,0.7044908601896586
United Kingdom,GB,GBR,3,0.7216606892137034
United Kingdom,GB,GBR,4,0.7164245838439335
United Kingdom,GB,GBR,5,0.6938981510271142
United Kingdom,GB,GBR,6,0.672388022554161
United Kingdom,GB,GBR,7,0.6635136306559306
United Kingdom,GB,GBR,8,0.6735544940823206
United Kingdom,GB,GBR,9,0.6828493197860107
United Kingdom,GB,GBR,10,0.6887618694325964
United Kingdom,GB,GBR,11,0.7133388949646823
United Kingdom,GB,GBR,12,0.714122363559174
United Kingdom,GB,GBR,13,0.6892914656774998
United Kingdom,GB,GBR,14,0.6759255267042622
United Kingdom,GB,GBR,15,0.6547244781700868
United Kingdom,GB,GBR,16,0.628206608281668
United Kingdom,GB,GBR,17,0.6193298359457048
United Kingdom,GB,GBR,18,0.6151011113863771
United Kingdom,GB,GBR,19,0.6085355118460711
United Kingdom,GB,GBR,20,0.6424554146974742
United Kingdom,GB,GBR,21,0.6287827553933769
United Kingdom,GB,GBR,22,0.6286398742108041
United Kingdom,GB,GBR,23,0.6324265090001397
United Kingdom,GB,GBR,24,0.6355626854717309
United Kingdom,GB,GBR,25,0.627375639701991
United Kingdom,GB,GBR,26,0.6224873314785117
United Kingdom,GB,GBR,27,0.6121254195371242
United Kingdom,GB,GBR,28,0.6320550150836473
