country,iso2,iso3,shift,r_squared
Hungary,HU,HUN,-28,0.6799060835605537
Hungary,HU,HUN,-27,0.6849753414912673
Hungary,HU,HUN,-26,0.6804013454558695
Hungary,HU,HUN,-25,0.6733080162304165
Hungary,HU,HUN,-24,0.6744066340491954
Hungary,HU,HUN,-23,0.6602106538448905
Hungary,HU,HUN,-22,0.6628689623346457
Hungary,HU,HUN,-21,0.6609998871050732
Hungary,HU,HUN,-20,0.6582638043575357
Hungary,HU,HUN,-19,0.6628793327811645
Hungary,HU,HUN,-18,0.6681116388714249
Hungary,HU,HUN,-17,0.67393465440218
Hungary,HU,HUN,-16,0.6837079269509443
Hungary,HU,HUN,-15,0.673089310793907
Hungary,HU,HUN,-14,0.6660367450873862
Hungary,HU,HUN,-13,0.6503779322395563
Hungary,HU,HUN,-12,0.6448719884335746
Hungary,HU,HUN,-11,0.6240820290819109
Hungary,HU,HUN,-10,0.6230552212686379
Hungary,HU,HUN,-9,0.6195174428338592
Hungary,HU,HUN,-8,0.617880847235466
Hungary,HU,HUN,-7,0.5827132612230345
Hungary,HU,HUN,-6,0.5748155008027845
Hungary,HU,HUN,-5,0.5715710301640556
Hungary,HU,HUN,-4,0.5725126633181712
Hungary,HU,HUN,-3,0.584236565901112
Hungary,HU,HUN,-2,0.5836990743815639
Hungary,HU,HUN,-1,0.5745962163801204
Hungary,HU,HUN,0,0.5732266402247514
Hungary,HU,HUN,1,0.5841894792570398
Hungary,HU,HUN,2,0.5709575401967609
Hungary,HU,HUN,3,0.5706969474541297
Hungary,HU,HUN,4,0.5325144003066535
Hungary,HU,HUN,5,0.5338156249538898
Hungary,HU,HUN,6,0.5112564472518669
Hungary,HU,HUN,7,0.5071894815674111
Hungary,HU,HUN,8,0.4969736372784297
Hungary,HU,HUN,9,0.48582258137706386
Hungary,HU,HUN,10,0.47611726304008056
Hungary,HU,HUN,11,0.4620879314981357
Hungary,HU,HUN,12,0.424574661727957
Hungary,HU,HUN,13,0.42471626981343497
Hungary,HU,HUN,14,0.42106405788144646
Hungary,HU,HUN,15,0.41709616303572566
Hungary,HU,HUN,16,0.39285146534727755
Hungary,HU,HUN,17,0.3762904002583313
Hungary,HU,HUN,18,0.3579365256977217
Hungary,HU,HUN,19,0.3490723279225428
Hungary,HU,HUN,20,0.33271671753896986
Hungary,HU,HUN,21,0.31983333637792055
Hungary,HU,HUN,22,0.31036007720354547
Hungary,HU,HUN,23,0.29921079993227756
Hungary,HU,HUN,24,0.28967234096467365
Hungary,HU,HUN,25,0.27573920935358154
Hungary,HU,HUN,26,0.2723483095417218
Hungary,HU,HUN,27,0.2672100539643139
Hungary,HU,HUN,28,0.26865877570804747
