country,iso2,iso3,shift,r_squared
Ireland,IE,IRL,-28,0.5460757171042826
Ireland,IE,IRL,-27,0.544031942260373
Ireland,IE,IRL,-26,0.5516470398096728
Ireland,IE,IRL,-25,0.5545898665318048
Ireland,IE,IRL,-24,0.5572991406077705
Ireland,IE,IRL,-23,0.5643090681379951
Ireland,IE,IRL,-22,0.539060475396826
Ireland,IE,IRL,-21,0.534990648474238
Ireland,IE,IRL,-20,0.5405553581421675
Ireland,IE,IRL,-19,0.5303192461542724
Ireland,IE,IRL,-18,0.5188180252232496
Ireland,IE,IRL,-17,0.503849407144073
Ireland,IE,IRL,-16,0.4899705233205287
Ireland,IE,IRL,-15,0.5081337071235164
Ireland,IE,IRL,-14,0.5218032314615869
Ireland,IE,IRL,-13,0.5164450965910355
Ireland,IE,IRL,-12,0.5120034403597719
Ireland,IE,IRL,-11,0.4921026979130536
Ireland,IE,IRL,-10,0.4845155189767557
Ireland,IE,IRL,-9,0.5035644609756688
Ireland,IE,IRL,-8,0.5158041339803551
Ireland,IE,IRL,-7,0.5136408979588754
Ireland,IE,IRL,-6,0.5099954648499854
Ireland,IE,IRL,-5,0.5061884257416204
Ireland,IE,IRL,-4,0.5075862155463253
Ireland,IE,IRL,-3,0.5170553365320212
Ireland,IE,IRL,-2,0.5233778057616222
Ireland,IE,IRL,-1,0.5076979418233681
Ireland,IE,IRL,0,0.4909647003945876
Ireland,IE,IRL,1,0.481049900087955
Ireland,IE,IRL,2,0.48051118709190416
Ireland,IE,IRL,3,0.4963410646183533
Ireland,IE,IRL,4,0.4754979257203749
Ireland,IE,IRL,5,0.45303926227516217
Ireland,IE,IRL,6,0.4516980580912231
Ireland,IE,IRL,7,0.43766923863694956
Ireland,IE,IRL,8,0.441605206546041
Ireland,IE,IRL,9,0.44135019321608393
Ireland,IE,IRL,10,0.4264830401253663
Ireland,IE,IRL,11,0.41871326390839186
Ireland,IE,IRL,12,0.41954805228690734
Ireland,IE,IRL,13,0.4004226972820173
Ireland,IE,IRL,14,0.39620435421695116
Ireland,IE,IRL,15,0.3870221667069718
Ireland,IE,IRL,16,0.36889448931743324
Ireland,IE,IRL,17,0.3544891994665375
Ireland,IE,IRL,18,0.358692405381578
Ireland,IE,IRL,19,0.3459547468603226
Ireland,IE,IRL,20,0.3523867646823964
Ireland,IE,IRL,21,0.35255455781989403
Ireland,IE,IRL,22,0.36137802634203187
Ireland,IE,IRL,23,0.36651134445547867
Ireland,IE,IRL,24,0.37853592817156073
Ireland,IE,IRL,25,0.3616678521477798
Ireland,IE,IRL,26,0.3622753526829467
Ireland,IE,IRL,27,0.3438222351380522
Ireland,IE,IRL,28,0.32775001792743896
