country,iso2,iso3,shift,r_squared
Luxembourg,LU,LUX,-28,0.5469843623646975
Luxembourg,LU,LUX,-27,0.5369026920738476
Luxembourg,LU,LUX,-26,0.5475771998482515
Luxembourg,LU,LUX,-25,0.5206114261752185
Luxembourg,LU,LUX,-24,0.5170461680396872
Luxembourg,LU,LUX,-23,0.4913468844991456
Luxembourg,LU,LUX,-22,0.4785987705676007
Luxembourg,LU,LUX,-21,0.4682194076435384
Luxembourg,LU,LUX,-20,0.45628215416527573
Luxembourg,LU,LUX,-19,0.4418710966323107
Luxembourg,LU,LUX,-18,0.4482774435868678
Luxembourg,LU,LUX,-17,0.42500410053472626
Luxembourg,LU,LUX,-16,0.38305898899397817
Luxembourg,LU,LUX,-15,0.3747156782370863
Luxembourg,LU,LUX,-14,0.356960881906446
Luxembourg,LU,LUX,-13,0.3488271254631249
Luxembourg,LU,LUX,-12,0.33640832872987814
Luxembourg,LU,LUX,-11,0.3272760480181931
Luxembourg,LU,LUX,-10,0.32794836991696225
Luxembourg,LU,LUX,-9,0.3473793168076027
Luxembourg,LU,LUX,-8,0.36203252169797384
Luxembourg,LU,LUX,-7,0.3797525527427546
Luxembourg,LU,LUX,-6,0.40586016316619244
Luxembourg,LU,LUX,-5,0.3911933529736536
Luxembourg,LU,LUX,-4,0.3789520474505178
Luxembourg,LU,LUX,-3,0.37712956238915496
Luxembourg,LU,LUX,-2,0.37716777617722796
Luxembourg,LU,LUX,-1,0.36978463910860676
Luxembourg,LU,LUX,0,0.36886223865365714
Luxembourg,LU,LUX,1,0.334430934596632
Luxembourg,LU,LUX,2,0.31746773575986653
Luxembourg,LU,LUX,3,0.33096666191197005
Luxembourg,LU,LUX,4,0.33618847525717577
Luxembourg,LU,LUX,5,0.3456223680389207
Luxembourg,LU,LUX,6,0.3529762940201612
Luxembourg,LU,LUX,7,0.35407094748562884
Luxembourg,LU,LUX,8,0.35894858149937553
Luxembourg,LU,LUX,9,0.3947291849935335
Luxembourg,LU,LUX,10,0.3970152331483392
Luxembourg,LU,LUX,11,0.4200000383386273
Luxembourg,LU,LUX,12,0.4035491070722749
Luxembourg,LU,LUX,13,0.39191837763757276
Luxembourg,LU,LUX,14,0.3836136885977183
Luxembourg,LU,LUX,15,0.3942330937976651
Luxembourg,LU,LUX,16,0.3748671387023148
Luxembourg,LU,LUX,17,0.365308365942407
Luxembourg,LU,LUX,18,0.33674985897603815
Luxembourg,LU,LUX,19,0.31822582155040785
Luxembourg,LU,LUX,20,0.3141275066012991
Luxembourg,LU,LUX,21,0.3278910557636066
Luxembourg,LU,LUX,22,0.3024618016334624
Luxembourg,LU,LUX,23,0.2831313624372745
Luxembourg,LU,LUX,24,0.28440202320953833
Luxembourg,LU,LUX,25,0.25727008449891314
Luxembourg,LU,LUX,26,0.23642923264631696
Luxembourg,LU,LUX,27,0.23406072724188873
Luxembourg,LU,LUX,28,0.22295014542108832
