country,iso2,iso3,shift,r_squared
New Zealand,NZ,NZL,-28,0.13834964026657062
New Zealand,NZ,NZL,-27,0.13511693761116278
New Zealand,NZ,NZL,-26,0.13781672984418364
New Zealand,NZ,NZL,-25,0.14179479358636735
New Zealand,NZ,NZL,-24,0.1380582775770521
New Zealand,NZ,NZL,-23,0.12973019306809402
New Zealand,NZ,NZL,-22,0.1604254591579681
New Zealand,NZ,NZL,-21,0.1689575324324596
New Zealand,NZ,NZL,-20,0.17731083932835032
New Zealand,NZ,NZL,-19,0.1700812204454224
New Zealand,NZ,NZL,-18,0.14201804621186492
New Zealand,NZ,NZL,-17,0.143771080270998
New Zealand,NZ,NZL,-16,0.15653663811000823
New Zealand,NZ,NZL,-15,0.15623627967927553
New Zealand,NZ,NZL,-14,0.15250772061091294
New Zealand,NZ,NZL,-13,0.16789292295108776
New Zealand,NZ,NZL,-12,0.16880656981969966
New Zealand,NZ,NZL,-11,0.1875176603364516
New Zealand,NZ,NZL,-10,0.1682135481267626
New Zealand,NZ,NZL,-9,0.16767143026650674
New Zealand,NZ,NZL,-8,0.18339187428238796
New Zealand,NZ,NZL,-7,0.17512605045248136
New Zealand,NZ,NZL,-6,0.161602821871911
New Zealand,NZ,NZL,-5,0.16818119638569798
New Zealand,NZ,NZL,-4,0.16981170861586656
New Zealand,NZ,NZL,-3,0.2015062205207961
New Zealand,NZ,NZL,-2,0.21112414295951612
New Zealand,NZ,NZL,-1,0.19131110149701527
New Zealand,NZ,NZL,0,0.18479551097570135
New Zealand,NZ,NZL,1,0.17365753702533557
New Zealand,NZ,NZL,2,0.18757978698494826
New Zealand,NZ,NZL,3,0.1859972234847288
New Zealand,NZ,NZL,4,0.19332661337932164
New Zealand,NZ,NZL,5,0.1874885799308333
New Zealand,NZ,NZL,6,0.1866967763300638
New Zealand,NZ,NZL,7,0.19395275188278321
New Zealand,NZ,NZL,8,0.21987155518453794
New Zealand,NZ,NZL,9,0.20692773433800785
New Zealand,NZ,NZL,10,0.21984256928758364
New Zealand,NZ,NZL,11,0.21124736940789202
New Zealand,NZ,NZL,12,0.2205222196952142
New Zealand,NZ,NZL,13,0.2464197302989111
New Zealand,NZ,NZL,14,0.26832198656027323
New Zealand,NZ,NZL,15,0.27240318645408695
New Zealand,NZ,NZL,16,0.2978033619963392
New Zealand,NZ,NZL,17,0.2898176517458109
New Zealand,NZ,NZL,18,0.2883837849520983
New Zealand,NZ,NZL,19,0.272936879740399
New Zealand,NZ,NZL,20,0.27264295183650783
New Zealand,NZ,NZL,21,0.26119445401577784
New Zealand,NZ,NZL,22,0.23785670159728572
New Zealand,NZ,NZL,23,0.22174297262978043
New Zealand,NZ,NZL,24,0.22453939126843792
New Zealand,NZ,NZL,25,0.21320621285582408
New Zealand,NZ,NZL,26,0.20784472144541075
New Zealand,NZ,NZL,27,0.2059302540383087
New Zealand,NZ,NZL,28,0.2057973882770609
