country,iso2,iso3,shift,r_squared
Panama,PA,PAN,-28,0.3768285825858027
Panama,PA,PAN,-27,0.38816480541500104
Panama,PA,PAN,-26,0.4125503743595305
Panama,PA,PAN,-25,0.437907930607794
Panama,PA,PAN,-24,0.4738594991292786
Panama,PA,PAN,-23,0.48006505213824363
Panama,PA,PAN,-22,0.4466260463055874
Panama,PA,PAN,-21,0.41976751462080564
Panama,PA,PAN,-20,0.3787627944434695
Panama,PA,PAN,-19,0.3688441440609583
Panama,PA,PAN,-18,0.3578690401293773
Panama,PA,PAN,-17,0.33342125160111624
Panama,PA,PAN,-16,0.32820797709884375
Panama,PA,PAN,-15,0.33439192804016765
Panama,PA,PAN,-14,0.33445929579057326
Panama,PA,PAN,-13,0.339233688692002
Panama,PA,PAN,-12,0.3205746669695854
Panama,PA,PAN,-11,0.3065152073978617
Panama,PA,PAN,-10,0.2833877952649521
Panama,PA,PAN,-9,0.2586907175605729
Panama,PA,PAN,-8,0.2528310753269345
Panama,PA,PAN,-7,0.2528735104837433
Panama,PA,PAN,-6,0.26690417909286185
Panama,PA,PAN,-5,0.27144460721210706
Panama,PA,PAN,-4,0.26297211598452713
Panama,PA,PAN,-3,0.29125093476032576
Panama,PA,PAN,-2,0.2933001873779867
Panama,PA,PAN,-1,0.2776524675637046
Panama,PA,PAN,0,0.2758017511728777
Panama,PA,PAN,1,0.27743309205480565
Panama,PA,PAN,2,0.2923787895314616
Panama,PA,PAN,3,0.28644909311055866
Panama,PA,PAN,4,0.26913343132771145
Panama,PA,PAN,5,0.2756565506351431
Panama,PA,PAN,6,0.28927141174820004
Panama,PA,PAN,7,0.2682956290375654
Panama,PA,PAN,8,0.27588670696406237
Panama,PA,PAN,9,0.274821090092222
Panama,PA,PAN,10,0.29840080319887724
Panama,PA,PAN,11,0.29014213395317323
Panama,PA,PAN,12,0.30124715971278854
Panama,PA,PAN,13,0.3069067447479918
Panama,PA,PAN,14,0.311993901677348
Panama,PA,PAN,15,0.3210427536808026
Panama,PA,PAN,16,0.2999243462387598
Panama,PA,PAN,17,0.2995241384227566
Panama,PA,PAN,18,0.2998054870996388
Panama,PA,PAN,19,0.28855221588491675
Panama,PA,PAN,20,0.27695037008571727
Panama,PA,PAN,21,0.3004397532139429
Panama,PA,PAN,22,0.3300822238713627
Panama,PA,PAN,23,0.33435359804784
Panama,PA,PAN,24,0.33627003518895043
Panama,PA,PAN,25,0.3593895799031451
Panama,PA,PAN,26,0.37749565711350996
Panama,PA,PAN,27,0.39379265498636534
Panama,PA,PAN,28,0.40112785780890114
