country,iso2,iso3,shift,r_squared
Puerto Rico,PR,PRI,-28,0.23788240938714217
Puerto Rico,PR,PRI,-27,0.2395240461522798
Puerto Rico,PR,PRI,-26,0.25570719768112166
Puerto Rico,PR,PRI,-25,0.2573987635386053
Puerto Rico,PR,PRI,-24,0.2594354426782495
Puerto Rico,PR,PRI,-23,0.26754809033819427
Puerto Rico,PR,PRI,-22,0.2737937031773445
Puerto Rico,PR,PRI,-21,0.2798274413906277
Puerto Rico,PR,PRI,-20,0.28196339775940493
Puerto Rico,PR,PRI,-19,0.2874627444023346
Puerto Rico,PR,PRI,-18,0.29091373508264673
Puerto Rico,PR,PRI,-17,0.29924560003765766
Puerto Rico,PR,PRI,-16,0.3060600440275619
Puerto Rico,PR,PRI,-15,0.30564879356520447
Puerto Rico,PR,PRI,-14,0.3136010640107058
Puerto Rico,PR,PRI,-13,0.31509663060248067
Puerto Rico,PR,PRI,-12,0.31253169106166695
Puerto Rico,PR,PRI,-11,0.3102283879887201
Puerto Rico,PR,PRI,-10,0.3179221503504142
Puerto Rico,PR,PRI,-9,0.321670366561001
Puerto Rico,PR,PRI,-8,0.3179622926847988
Puerto Rico,PR,PRI,-7,0.3083022196817698
Puerto Rico,PR,PRI,-6,0.2886678028420018
Puerto Rico,PR,PRI,-5,0.28818818434248267
Puerto Rico,PR,PRI,-4,0.28648832935547147
Puerto Rico,PR,PRI,-3,0.2874776926661276
Puerto Rico,PR,PRI,-2,0.29155256291359277
Puerto Rico,PR,PRI,-1,0.29359202664910483
Puerto Rico,PR,PRI,0,0.28922535668884164
Puerto Rico,PR,PRI,1,0.2882161776748155
Puerto Rico,PR,PRI,2,0.27981577631387267
Puerto Rico,PR,PRI,3,0.2713045479855302
Puerto Rico,PR,PRI,4,0.27227068009174343
Puerto Rico,PR,PRI,5,0.2596616849533439
Puerto Rico,PR,PRI,6,0.2595834872387844
Puerto Rico,PR,PRI,7,0.2575333951765277
Puerto Rico,PR,PRI,8,0.2508007718631612
Puerto Rico,PR,PRI,9,0.25024409825593225
Puerto Rico,PR,PRI,10,0.2533096805135086
Puerto Rico,PR,PRI,11,0.25349048076261
Puerto Rico,PR,PRI,12,0.2518875228773857
Puerto Rico,PR,PRI,13,0.255125817097349
Puerto Rico,PR,PRI,14,0.24769014283754529
Puerto Rico,PR,PRI,15,0.23894638813968425
Puerto Rico,PR,PRI,16,0.22377046864766972
Puerto Rico,PR,PRI,17,0.2246235643188811
Puerto Rico,PR,PRI,18,0.2287737690120665
Puerto Rico,PR,PRI,19,0.23311425859152307
Puerto Rico,PR,PRI,20,0.2388561944335382
Puerto Rico,PR,PRI,21,0.2386910134309141
Puerto Rico,PR,PRI,22,0.23731298041583088
Puerto Rico,PR,PRI,23,0.24439760465682572
Puerto Rico,PR,PRI,24,0.2508504695111967
Puerto Rico,PR,PRI,25,0.2516140722838712
Puerto Rico,PR,PRI,26,0.2602067735003704
Puerto Rico,PR,PRI,27,0.2745088252973098
Puerto Rico,PR,PRI,28,0.2800835055448316
