country,iso2,iso3,shift,r_squared
Portugal,PT,PRT,-28,0.49698494556239503
Portugal,PT,PRT,-27,0.4993766261189127
Portugal,PT,PRT,-26,0.49857996049625875
Portugal,PT,PRT,-25,0.5029959640890427
Portugal,PT,PRT,-24,0.5098083093193093
Portugal,PT,PRT,-23,0.5348987819575746
Portugal,PT,PRT,-22,0.5681439160356841
Portugal,PT,PRT,-21,0.5856784493906143
Portugal,PT,PRT,-20,0.6149275283303501
Portugal,PT,PRT,-19,0.6425891979340115
Portugal,PT,PRT,-18,0.6484466200135169
Portugal,PT,PRT,-17,0.6547037225765642
Portugal,PT,PRT,-16,0.6596915810734605
Portugal,PT,PRT,-15,0.6714007144743209
Portugal,PT,PRT,-14,0.6944802210843166
Portugal,PT,PRT,-13,0.6983877031080372
Portugal,PT,PRT,-12,0.6947005768540809
Portugal,PT,PRT,-11,0.6924554932715915
Portugal,PT,PRT,-10,0.6728260711636389
Portugal,PT,PRT,-9,0.6733508432915031
Portugal,PT,PRT,-8,0.6651392411381875
Portugal,PT,PRT,-7,0.6703689960985545
Portugal,PT,PRT,-6,0.6715527454790939
Portugal,PT,PRT,-5,0.6722977612663712
Portugal,PT,PRT,-4,0.6741762214109666
Portugal,PT,PRT,-3,0.6812914791762935
Portugal,PT,PRT,-2,0.6788784224184451
Portugal,PT,PRT,-1,0.6847021903772926
Portugal,PT,PRT,0,0.6830932825946372
Portugal,PT,PRT,1,0.6802398130957649
Portugal,PT,PRT,2,0.6728720085766533
Portugal,PT,PRT,3,0.6745653646099361
Portugal,PT,PRT,4,0.6516985603440474
Portugal,PT,PRT,5,0.6328109592213652
Portugal,PT,PRT,6,0.6214757014220261
Portugal,PT,PRT,7,0.6090141952855964
Portugal,PT,PRT,8,0.5902435253416533
Portugal,PT,PRT,9,0.5810053798743647
Portugal,PT,PRT,10,0.5640323569989166
Portugal,PT,PRT,11,0.5752650882719714
Portugal,PT,PRT,12,0.5525486708746054
Portugal,PT,PRT,13,0.5295826534224065
Portugal,PT,PRT,14,0.4975147107265731
Portugal,PT,PRT,15,0.4778981227284261
Portugal,PT,PRT,16,0.4620520015377975
Portugal,PT,PRT,17,0.4473518690668847
Portugal,PT,PRT,18,0.4249447111800998
Portugal,PT,PRT,19,0.40603407272096526
Portugal,PT,PRT,20,0.3908212147422192
Portugal,PT,PRT,21,0.378186361711204
Portugal,PT,PRT,22,0.36844907144361644
Portugal,PT,PRT,23,0.36768366381941747
Portugal,PT,PRT,24,0.34885653861313715
Portugal,PT,PRT,25,0.33818244670481773
Portugal,PT,PRT,26,0.3413728066533499
Portugal,PT,PRT,27,0.3241280551864589
Portugal,PT,PRT,28,0.3089965886278952
