country,iso2,iso3,shift,r_squared
Romania,RO,ROU,-28,0.33304135236386934
Romania,RO,ROU,-27,0.3689515701782839
Romania,RO,ROU,-26,0.408000665710597
Romania,RO,ROU,-25,0.43148414150503084
Romania,RO,ROU,-24,0.42256878736531617
Romania,RO,ROU,-23,0.41056558934101295
Romania,RO,ROU,-22,0.4333930469972363
Romania,RO,ROU,-21,0.4358549483622621
Romania,RO,ROU,-20,0.4416499443837593
Romania,RO,ROU,-19,0.45024454647590917
Romania,RO,ROU,-18,0.4420428730945874
Romania,RO,ROU,-17,0.45612930392278617
Romania,RO,ROU,-16,0.46530035033167083
Romania,RO,ROU,-15,0.46350846931974093
Romania,RO,ROU,-14,0.46196321442081223
Romania,RO,ROU,-13,0.4560348199859607
Romania,RO,ROU,-12,0.45223552601414535
Romania,RO,ROU,-11,0.46921673671753156
Romania,RO,ROU,-10,0.47522985040938454
Romania,RO,ROU,-9,0.4615969633709089
Romania,RO,ROU,-8,0.44750271801506025
Romania,RO,ROU,-7,0.45327622223432507
Romania,RO,ROU,-6,0.46301151742489627
Romania,RO,ROU,-5,0.47295317043815155
Romania,RO,ROU,-4,0.45938980494178194
Romania,RO,ROU,-3,0.44805793732467225
Romania,RO,ROU,-2,0.45067386683143124
Romania,RO,ROU,-1,0.4521593488481753
Romania,RO,ROU,0,0.43520349637877115
Romania,RO,ROU,1,0.4008060538461983
Romania,RO,ROU,2,0.3893602019741925
Romania,RO,ROU,3,0.38910381835756863
Romania,RO,ROU,4,0.3787703325681621
Romania,RO,ROU,5,0.36396941717537973
Romania,RO,ROU,6,0.33554537515360894
Romania,RO,ROU,7,0.3285928734687517
Romania,RO,ROU,8,0.3448328398154744
Romania,RO,ROU,9,0.34723096871268455
Romania,RO,ROU,10,0.3507735029107752
Romania,RO,ROU,11,0.35138755596483773
Romania,RO,ROU,12,0.349825852034469
Romania,RO,ROU,13,0.33856047402970446
Romania,RO,ROU,14,0.3280421508683069
Romania,RO,ROU,15,0.29880102609870285
Romania,RO,ROU,16,0.291350557690225
Romania,RO,ROU,17,0.2741929144757854
Romania,RO,ROU,18,0.2623234140660299
Romania,RO,ROU,19,0.2439432657695147
Romania,RO,ROU,20,0.2484299418677461
Romania,RO,ROU,21,0.24815715965713256
Romania,RO,ROU,22,0.25754766526575656
Romania,RO,ROU,23,0.25300505869207296
Romania,RO,ROU,24,0.25429620273902015
Romania,RO,ROU,25,0.25665288550899445
Romania,RO,ROU,26,0.25957012091380954
Romania,RO,ROU,27,0.25575893900390223
Romania,RO,ROU,28,0.26160396234882827
