country,iso2,iso3,shift,r_squared
Serbia,RS,SRB,-28,0.12485801990013284
Serbia,RS,SRB,-27,0.15378104865578301
Serbia,RS,SRB,-26,0.18506212859672508
Serbia,RS,SRB,-25,0.15938669412906567
Serbia,RS,SRB,-24,0.11368218344292065
Serbia,RS,SRB,-23,0.10669859082553065
Serbia,RS,SRB,-22,0.14238358655042363
Serbia,RS,SRB,-21,0.2132081189893993
Serbia,RS,SRB,-20,0.2947001750190029
Serbia,RS,SRB,-19,0.3251317086477239
Serbia,RS,SRB,-18,0.359325194530192
Serbia,RS,SRB,-17,0.3904382467011411
Serbia,RS,SRB,-16,0.42574802483853647
Serbia,RS,SRB,-15,0.3318003015497891
Serbia,RS,SRB,-14,0.2741728668230873
Serbia,RS,SRB,-13,0.20549858338948682
Serbia,RS,SRB,-12,0.18850895380238727
Serbia,RS,SRB,-11,0.16369661985703016
Serbia,RS,SRB,-10,0.1759021242246905
Serbia,RS,SRB,-9,0.2210081930840904
Serbia,RS,SRB,-8,0.2055041122148925
Serbia,RS,SRB,-7,0.1797538671309699
Serbia,RS,SRB,-6,0.1897035010365545
Serbia,RS,SRB,-5,0.1742689972631976
Serbia,RS,SRB,-4,0.20140012513627434
Serbia,RS,SRB,-3,0.1646075112465537
Serbia,RS,SRB,-2,0.1269751793381349
Serbia,RS,SRB,-1,0.1206647198008371
Serbia,RS,SRB,0,0.1265126715010382
Serbia,RS,SRB,1,0.12072674147452703
Serbia,RS,SRB,2,0.09044978117725241
Serbia,RS,SRB,3,0.07086204539800599
Serbia,RS,SRB,4,0.09017433217200592
Serbia,RS,SRB,5,0.07913595915723859
Serbia,RS,SRB,6,0.07841925827961656
Serbia,RS,SRB,7,0.0772385776196259
Serbia,RS,SRB,8,0.06392029349121077
Serbia,RS,SRB,9,0.08432216160033726
Serbia,RS,SRB,10,0.08932729371698095
Serbia,RS,SRB,11,0.07810570306309401
Serbia,RS,SRB,12,0.08251488110843619
Serbia,RS,SRB,13,0.08015673803992099
Serbia,RS,SRB,14,0.09040671938139862
Serbia,RS,SRB,15,0.10543753752997652
Serbia,RS,SRB,16,0.09872719870399259
Serbia,RS,SRB,17,0.09642981477322803
Serbia,RS,SRB,18,0.0779756810045031
Serbia,RS,SRB,19,0.08542976092023939
Serbia,RS,SRB,20,0.08106542251081562
Serbia,RS,SRB,21,0.0760529536629509
Serbia,RS,SRB,22,0.07360340437245591
Serbia,RS,SRB,23,0.06785137172710752
Serbia,RS,SRB,24,0.06612756985141631
Serbia,RS,SRB,25,0.07059262587749165
Serbia,RS,SRB,26,0.062010424114778424
Serbia,RS,SRB,27,0.0688859322268029
Serbia,RS,SRB,28,0.05894572764735945
