country,iso2,iso3,shift,r_squared
Sweden,SE,SWE,-28,0.5685225350621428
Sweden,SE,SWE,-27,0.5719921050993668
Sweden,SE,SWE,-26,0.5643291773111085
Sweden,SE,SWE,-25,0.5475023809567188
Sweden,SE,SWE,-24,0.5310625458827017
Sweden,SE,SWE,-23,0.5320040640675843
Sweden,SE,SWE,-22,0.5492510028120305
Sweden,SE,SWE,-21,0.5537378811136696
Sweden,SE,SWE,-20,0.5458296713861726
Sweden,SE,SWE,-19,0.5421067111755707
Sweden,SE,SWE,-18,0.5434210556385182
Sweden,SE,SWE,-17,0.5477354278947847
Sweden,SE,SWE,-16,0.5898703873604985
Sweden,SE,SWE,-15,0.6227667724457784
Sweden,SE,SWE,-14,0.6392259819264781
Sweden,SE,SWE,-13,0.6487069063323899
Sweden,SE,SWE,-12,0.656397786958
Sweden,SE,SWE,-11,0.6430815810557761
Sweden,SE,SWE,-10,0.6470514445900335
Sweden,SE,SWE,-9,0.6150253751945048
Sweden,SE,SWE,-8,0.5896274436578828
Sweden,SE,SWE,-7,0.5635333707227389
Sweden,SE,SWE,-6,0.5441779305319939
Sweden,SE,SWE,-5,0.5007839267785624
Sweden,SE,SWE,-4,0.4874015563455337
Sweden,SE,SWE,-3,0.47505581201145874
Sweden,SE,SWE,-2,0.46585136508382746
Sweden,SE,SWE,-1,0.46426675500743825
Sweden,SE,SWE,0,0.4602332015178985
Sweden,SE,SWE,1,0.4558385604609007
Sweden,SE,SWE,2,0.4677245801812879
Sweden,SE,SWE,3,0.4766583681659909
Sweden,SE,SWE,4,0.4819950874559555
Sweden,SE,SWE,5,0.46361240438888146
Sweden,SE,SWE,6,0.46225247859583146
Sweden,SE,SWE,7,0.44760679323315883
Sweden,SE,SWE,8,0.43360939150291683
Sweden,SE,SWE,9,0.4042744069611776
Sweden,SE,SWE,10,0.3836004761157415
Sweden,SE,SWE,11,0.3719881862076465
Sweden,SE,SWE,12,0.36912151608031235
Sweden,SE,SWE,13,0.35027619075206123
Sweden,SE,SWE,14,0.33549006373556717
Sweden,SE,SWE,15,0.31010009352702134
Sweden,SE,SWE,16,0.3082263437701827
Sweden,SE,SWE,17,0.3278044055236153
Sweden,SE,SWE,18,0.311095630150865
Sweden,SE,SWE,19,0.3152577441351392
Sweden,SE,SWE,20,0.2980637469170461
Sweden,SE,SWE,21,0.29843972421443454
Sweden,SE,SWE,22,0.2995322824798831
Sweden,SE,SWE,23,0.30606570968947205
Sweden,SE,SWE,24,0.2944919197020927
Sweden,SE,SWE,25,0.2736612031789791
Sweden,SE,SWE,26,0.2724424651228973
Sweden,SE,SWE,27,0.27352095375329916
Sweden,SE,SWE,28,0.2771631655196975
