country,iso2,iso3,shift,r_squared
United States,US,USA,-28,0.6891609065094477
United States,US,USA,-27,0.6919378234320301
United States,US,USA,-26,0.6964810563626127
United States,US,USA,-25,0.7001337873489522
United States,US,USA,-24,0.7044403971807509
United States,US,USA,-23,0.7093046236012358
United States,US,USA,-22,0.7156472756481305
United States,US,USA,-21,0.7145142762027151
United States,US,USA,-20,0.713525621796709
United States,US,USA,-19,0.7118401026409162
United States,US,USA,-18,0.7138683255924365
United States,US,USA,-17,0.7188452689524301
United States,US,USA,-16,0.72868032711197
United States,US,USA,-15,0.7253943698188394
United States,US,USA,-14,0.7138317410721619
United States,US,USA,-13,0.7074907679618428
United States,US,USA,-12,0.7071617295882007
United States,US,USA,-11,0.7055547115051728
United States,US,USA,-10,0.7006386308410475
United States,US,USA,-9,0.6976522613859336
United States,US,USA,-8,0.6953282697351117
United States,US,USA,-7,0.6862861139066774
United States,US,USA,-6,0.673502421455978
United States,US,USA,-5,0.6641316864436414
United States,US,USA,-4,0.660990306651696
United States,US,USA,-3,0.6527839640163281
United States,US,USA,-2,0.6417337749418942
United States,US,USA,-1,0.6270054622452081
United States,US,USA,0,0.6187021604135473
United States,US,USA,1,0.6165796045000382
United States,US,USA,2,0.6160582712590116
United States,US,USA,3,0.6108780564607635
United States,US,USA,4,0.6055405496927837
United States,US,USA,5,0.5862508265790899
United States,US,USA,6,0.5844419141889529
United States,US,USA,7,0.5830283062859581
United States,US,USA,8,0.5785272443987906
United States,US,USA,9,0.5772307746677963
United States,US,USA,10,0.5760291184495361
United States,US,USA,11,0.5731505831945725
United States,US,USA,12,0.5649618922508419
United States,US,USA,13,0.5625960750284891
United States,US,USA,14,0.5650874269373137
United States,US,USA,15,0.5744630613573048
United States,US,USA,16,0.5718382382127037
United States,US,USA,17,0.5704045988684304
United States,US,USA,18,0.5729630224352326
United States,US,USA,19,0.5596633193579937
United States,US,USA,20,0.5589481080507852
United States,US,USA,21,0.5718375722144051
United States,US,USA,22,0.5771653082890337
United States,US,USA,23,0.5807511613380796
United States,US,USA,24,0.5838874917420117
United States,US,USA,25,0.5868061855901969
United States,US,USA,26,0.5892528815321639
United States,US,USA,27,0.5869490847349004
United States,US,USA,28,0.587627265922531
