country_long,iso2,project,wikidata_id,page_title,page_id,date,pct_pageviews,pageviews,pageviews_ceil
Poland,PL,pl.wikipedia,Q12214,Ospa prawdziwa,23002,2022-01-01,1.9708194090657694e-6,506,256746000
France,FR,fr.wikipedia,Q12214,Variole,96078,2022-01-01,1.7920947884846802e-6,968,540150000
Canada,CA,en.wikipedia,Q186235,Myocarditis,452461,2022-01-01,1.3323418231393692e-6,473,355014000
Germany,DE,de.wikipedia,Q182155,Herpes Zoster,200309,2022-01-01,7.864353631271666e-7,630,801083000
United States of America,US,en.wikipedia,Q6473911,Herpes simplex,21323216,2022-01-01,1.9722924058437986e-7,570,2890038000
United States of America,US,en.wikipedia,Q186235,Myocarditis,452461,2022-01-01,6.214451159465723e-7,1796,2890038000
United States of America,US,en.wikipedia,Q655331,Herpes simplex virus,4774419,2022-01-01,2.276786672009157e-7,658,2890038000
Sweden,SE,sv.wikipedia,Q76466985,Tusse,8385992,2022-01-01,8.824353347651508e-6,756,85672000
Italy,IT,it.wikipedia,Q12214,Vaiolo,555706,2022-01-01,2.194960068680427e-6,1217,554452000
United Kingdom,GB,en.wikipedia,Q186235,Myocarditis,452461,2022-01-01,1.90343635049591e-6,1704,895223000
United States of America,US,en.wikipedia,Q40878,Diarrhea,53951,2022-01-01,1.778523327374934e-7,514,2890038000
United States of America,US,en.wikipedia,Q1292082,Sore throat,310094,2022-01-01,2.705846774333071e-7,782,2890038000
Japan,JP,ja.wikipedia,Q12214,天然痘,31036,2022-01-01,6.19025805757321e-7,650,1050037000
Poland,PL,pl.wikipedia,Q12214,Ospa prawdziwa,23002,2022-01-02,1.8344979084386904e-6,471,256746000
France,FR,fr.wikipedia,Q12214,Variole,96078,2022-01-02,1.8809589928723503e-6,1016,540150000
Germany,DE,de.wikipedia,Q182155,Herpes Zoster,200309,2022-01-02,8.825552408427091e-7,707,801083000
United States of America,US,en.wikipedia,Q6473911,Herpes simplex,21323216,2022-01-02,2.4324939672073514e-7,703,2890038000
United States of America,US,en.wikipedia,Q186235,Myocarditis,452461,2022-01-02,7.176376227579015e-7,2074,2890038000
Italy,IT,it.wikipedia,Q1037810,Vaccino anti-vaiolo,4717640,2022-01-02,8.404695086319465e-7,466,554452000
United States of America,US,en.wikipedia,Q655331,Herpes simplex virus,4774419,2022-01-02,2.204123267583333e-7,637,2890038000
Sweden,SE,sv.wikipedia,Q76466985,Tusse,8385992,2022-01-02,6.875058362125315e-6,589,85672000
Taiwan,TW,zh.wikipedia,Q12214,天花,1382,2022-01-02,2.244548067286747e-6,542,241474000
Italy,IT,it.wikipedia,Q12214,Vaiolo,555706,2022-01-02,2.456479550980067e-6,1362,554452000
United Kingdom,GB,en.wikipedia,Q186235,Myocarditis,452461,2022-01-02,9.461329746889881e-7,847,895223000
United States of America,US,en.wikipedia,Q40878,Diarrhea,53951,2022-01-02,2.0207346754610148e-7,584,2890038000
United States of America,US,en.wikipedia,Q12214,Smallpox,16829895,2022-01-02,1.3127855066265565e-6,3794,2890038000
Germany,DE,de.wikipedia,Q12214,Pocken,4049,2022-01-02,1.6440244019658388e-6,1317,801083000
Germany,DE,de.wikipedia,Q1037810,Pockenimpfstoff,8841370,2022-01-02,5.842091268944666e-7,468,801083000
Czech Republic,CZ,cs.wikipedia,Q12214,Pravé neštovice,192754,2022-01-02,1.425189860933031e-5,1156,81112000
United States of America,US,en.wikipedia,Q167844,Conjunctivitis,44410,2022-01-02,1.6781786260249864e-7,485,2890038000
United Kingdom,GB,en.wikipedia,Q12214,Smallpox,16829895,2022-01-02,1.1282105129113082e-6,1010,895223000
United States of America,US,en.wikipedia,Q199615,Encephalitis,37636,2022-01-02,2.4255736429763207e-7,701,2890038000
United States of America,US,en.wikipedia,Q38933,Fever,46253,2022-01-02,1.9549915952662213e-7,565,2890038000
Poland,PL,pl.wikipedia,Q12214,Ospa prawdziwa,23002,2022-01-03,1.795548908259525e-6,461,256746000
United Kingdom,GB,en.wikipedia,Q40878,Diarrhea,53951,2022-01-03,5.261258926546793e-7,471,895223000
France,FR,fr.wikipedia,Q12214,Variole,96078,2022-01-03,1.61436637970934e-6,872,540150000
United States of America,US,en.wikipedia,Q382370,Monkeypox,242702,2022-01-03,5.6712057073298e-7,1639,2890038000
Germany,DE,de.wikipedia,Q182155,Herpes Zoster,200309,2022-01-03,1.1397071214842906e-6,913,801083000
United States of America,US,en.wikipedia,Q6473911,Herpes simplex,21323216,2022-01-03,2.5432191549038457e-7,735,2890038000
United States of America,US,en.wikipedia,Q186235,Myocarditis,452461,2022-01-03,8.826873556679878e-7,2551,2890038000
United States of America,US,en.wikipedia,Q655331,Herpes simplex virus,4774419,2022-01-03,2.6193427214451854e-7,757,2890038000
Canada,CA,en.wikipedia,Q12214,Smallpox,16829895,2022-01-03,1.684440613609604e-6,598,355014000
France,FR,fr.wikipedia,Q182155,Zona,24621,2022-01-03,1.0163843376839767e-6,549,540150000
Italy,IT,it.wikipedia,Q12214,Vaiolo,555706,2022-01-03,2.1101916847626126e-6,1170,554452000
United Kingdom,GB,en.wikipedia,Q186235,Myocarditis,452461,2022-01-03,8.467164047393778e-7,758,895223000
Brazil,BR,pt.wikipedia,Q182155,Herpes zoster,623734,2022-01-03,2.7829955248580564e-6,523,187927000
United States of America,US,en.wikipedia,Q40878,Diarrhea,53951,2022-01-03,2.1487606737350858e-7,621,2890038000
Malaysia,MY,en.wikipedia,Q40878,Diarrhea,53951,2022-01-03,9.395412190818191e-6,607,64606000
United States of America,US,en.wikipedia,Q12214,Smallpox,16829895,2022-01-03,2.267790250508817e-6,6554,2890038000
Germany,DE,de.wikipedia,Q12214,Pocken,4049,2022-01-03,1.7963182341904646e-6,1439,801083000
Germany,DE,de.wikipedia,Q1037810,Pockenimpfstoff,8841370,2022-01-03,6.728391440087981e-7,539,801083000
Czech Republic,CZ,cs.wikipedia,Q12214,Pravé neštovice,192754,2022-01-03,5.671170726896144e-6,460,81112000
France,FR,fr.wikipedia,Q186235,Myocardite,191116,2022-01-03,8.590206424141442e-7,464,540150000
United States of America,US,en.wikipedia,Q167844,Conjunctivitis,44410,2022-01-03,1.7543021925663262e-7,507,2890038000
United Kingdom,GB,en.wikipedia,Q12214,Smallpox,16829895,2022-01-03,8.500675250747579e-7,761,895223000
Japan,JP,ja.wikipedia,Q12214,天然痘,31036,2022-01-03,9.428239195380734e-7,990,1050037000
United States of America,US,en.wikipedia,Q199615,Encephalitis,37636,2022-01-03,1.8027444621835423e-7,521,2890038000
United States of America,US,en.wikipedia,Q101971,Wart,34049,2022-01-03,2.498237047402145e-7,722,2890038000
United States of America,US,en.wikipedia,Q38933,Fever,46253,2022-01-03,2.055336296616169e-7,594,2890038000
Poland,PL,pl.wikipedia,Q12214,Ospa prawdziwa,23002,2022-01-04,2.005873509227018e-6,515,256746000
France,FR,fr.wikipedia,Q12214,Variole,96078,2022-01-04,1.4625566972137368e-6,790,540150000
United States of America,US,en.wikipedia,Q382370,Monkeypox,242702,2022-01-04,3.349436927818942e-7,968,2890038000
United States of America,US,en.wikipedia,Q182155,Herpes zoster,443800,2022-01-04,5.456675656167843e-7,1577,2890038000
Germany,DE,de.wikipedia,Q186235,Myokarditis,335872,2022-01-04,8.813069307425074e-7,706,801083000
United States of America,US,en.wikipedia,Q1292082,Sore throat,310094,2022-01-04,3.4843832503240444e-7,1007,2890038000
Poland,PL,pl.wikipedia,Q12214,Ospa prawdziwa,23002,2022-01-05,2.111035809710765e-6,542,256746000
France,FR,fr.wikipedia,Q12214,Variole,96078,2022-01-05,2.1031195038415255e-6,1136,540150000
Canada,CA,en.wikipedia,Q186235,Myocarditis,452461,2022-01-05,1.309807500549274e-6,465,355014000
United States of America,US,en.wikipedia,Q182155,Herpes zoster,443800,2022-01-05,5.98954062195722e-7,1731,2890038000
Germany,DE,de.wikipedia,Q186235,Myokarditis,335872,2022-01-05,8.775620004419017e-7,703,801083000
United States of America,US,en.wikipedia,Q1292082,Sore throat,310094,2022-01-05,3.4394011428223433e-7,994,2890038000
Austria,AT,de.wikipedia,Q12214,Pocken,4049,2022-01-06,3.816221825099441e-5,3310,86735000
France,FR,fr.wikipedia,Q12214,Variole,96078,2022-01-06,2.278996575025456e-6,1231,540150000
Italy,IT,it.wikipedia,Q1037810,Vaccino anti-vaiolo,4717640,2022-01-06,1.1146140693874312e-6,618,554452000
United States of America,US,en.wikipedia,Q655331,Herpes simplex virus,4774419,2022-01-06,2.4636354262469906e-7,712,2890038000
Italy,IT,it.wikipedia,Q12214,Vaiolo,555706,2022-01-06,2.8208032435630137e-6,1564,554452000
United Kingdom,GB,en.wikipedia,Q186235,Myocarditis,452461,2022-01-06,8.590038459691049e-7,769,895223000
United States of America,US,en.wikipedia,Q40878,Diarrhea,53951,2022-01-06,1.9619119194972523e-7,567,2890038000
Malaysia,MY,en.wikipedia,Q40878,Diarrhea,53951,2022-01-06,9.906200662477169e-6,640,64606000
Spain,ES,es.wikipedia,Q12214,Viruela,41754,2022-01-06,1.919952125869069e-6,462,240631000
