country_long,iso2,project,page_id,page_title,pageviews_dp,date
United States of America,US,en.wikipedia,242702,Monkeypox,1639,2022-01-03
United States of America,US,en.wikipedia,242702,Monkeypox,968,2022-01-04
United Kingdom,GB,en.wikipedia,39680623,Monkeypox virus,5214,2022-05-07
United Kingdom,GB,en.wikipedia,242702,Monkeypox,4039,2022-05-07
United States of America,US,en.wikipedia,242702,Monkeypox,858,2022-05-07
United Kingdom,GB,en.wikipedia,39680623,Monkeypox virus,2799,2022-05-08
United Kingdom,GB,en.wikipedia,242702,Monkeypox,3101,2022-05-08
Ireland,IE,en.wikipedia,242702,Monkeypox,497,2022-05-08
Poland,PL,pl.wikipedia,1844932,Ospa małpia,1073,2022-05-08
United States of America,US,en.wikipedia,242702,Monkeypox,725,2022-05-08
Finland,FI,fi.wikipedia,1183752,Apinarokko,531,2022-05-08
Canada,CA,en.wikipedia,242702,Monkeypox,501,2022-05-09
United Kingdom,GB,en.wikipedia,39680623,Monkeypox virus,1212,2022-05-09
United Kingdom,GB,en.wikipedia,242702,Monkeypox,2376,2022-05-09
India,IN,en.wikipedia,39680623,Monkeypox virus,519,2022-05-09
India,IN,en.wikipedia,242702,Monkeypox,787,2022-05-09
Poland,PL,pl.wikipedia,1844932,Ospa małpia,823,2022-05-09
United States of America,US,en.wikipedia,242702,Monkeypox,613,2022-05-09
United Kingdom,GB,en.wikipedia,39680623,Monkeypox virus,672,2022-05-10
United Kingdom,GB,en.wikipedia,242702,Monkeypox,924,2022-05-10
India,IN,en.wikipedia,39680623,Monkeypox virus,1492,2022-05-10
India,IN,en.wikipedia,242702,Monkeypox,1689,2022-05-10
United States of America,US,en.wikipedia,242702,Monkeypox,582,2022-05-10
India,IN,en.wikipedia,242702,Monkeypox,497,2022-05-11
United Kingdom,GB,en.wikipedia,39680623,Monkeypox virus,577,2022-05-13
United Kingdom,GB,en.wikipedia,242702,Monkeypox,569,2022-05-13
France,FR,fr.wikipedia,2104851,Variole du singe,501,2022-05-14
United Kingdom,GB,en.wikipedia,39680623,Monkeypox virus,5572,2022-05-14
United Kingdom,GB,en.wikipedia,242702,Monkeypox,3940,2022-05-14
Ireland,IE,en.wikipedia,242702,Monkeypox,476,2022-05-14
United States of America,US,en.wikipedia,242702,Monkeypox,1274,2022-05-14
France,FR,fr.wikipedia,2104851,Variole du singe,558,2022-05-15
United Kingdom,GB,en.wikipedia,39680623,Monkeypox virus,1880,2022-05-15
United Kingdom,GB,en.wikipedia,242702,Monkeypox,3885,2022-05-15
United States of America,US,en.wikipedia,242702,Monkeypox,1083,2022-05-15
Canada,CA,en.wikipedia,242702,Monkeypox,800,2022-05-16
France,FR,fr.wikipedia,2104851,Variole du singe,615,2022-05-16
United Kingdom,GB,en.wikipedia,39680623,Monkeypox virus,5694,2022-05-16
United Kingdom,GB,en.wikipedia,242702,Monkeypox,9291,2022-05-16
United States of America,US,en.wikipedia,242702,Monkeypox,1301,2022-05-16
Canada,CA,en.wikipedia,242702,Monkeypox,621,2022-05-17
Canada,CA,en.wikipedia,39680623,Monkeypox virus,495,2022-05-17
Germany,DE,en.wikipedia,242702,Monkeypox,871,2022-05-17
France,FR,fr.wikipedia,2104851,Variole du singe,679,2022-05-17
United Kingdom,GB,en.wikipedia,39680623,Monkeypox virus,7020,2022-05-17
United Kingdom,GB,en.wikipedia,242702,Monkeypox,13542,2022-05-17
Hong Kong,HK,zh.wikipedia,39366,猴痘,494,2022-05-17
Sweden,SE,sv.wikipedia,8149005,Apkoppsvirus,624,2022-05-17
Taiwan,TW,zh.wikipedia,39366,猴痘,584,2022-05-17
United States of America,US,en.wikipedia,39680623,Monkeypox virus,515,2022-05-17
United States of America,US,en.wikipedia,242702,Monkeypox,2478,2022-05-17
Canada,CA,en.wikipedia,39680623,Monkeypox virus,3550,2022-05-18
Canada,CA,fr.wikipedia,2104851,Variole du singe,2789,2022-05-18
Spain,ES,en.wikipedia,39680623,Monkeypox virus,546,2022-05-18
