country_long,iso2,project,wikidata_id,page_title,page_id,date,pct_pageviews,pageviews,pageviews_ceil
Poland,PL,pl.wikipedia,Q12214,Ospa prawdziwa,23002,2021-12-26,NA,506,NA
France,FR,fr.wikipedia,Q12214,Variole,96078,2021-12-26,NA,968,NA
Germany,DE,de.wikipedia,Q182155,Herpes Zoster,200309,2021-12-26,NA,630,NA
United States of America,US,en.wikipedia,Q6473911,Herpes simplex,21323216,2021-12-26,NA,570,NA
United States of America,US,en.wikipedia,Q655331,Herpes simplex virus,4774419,2021-12-26,NA,658,NA
Italy,IT,it.wikipedia,Q12214,Vaiolo,555706,2021-12-26,NA,1217,NA
United States of America,US,en.wikipedia,Q1292082,Sore throat,310094,2021-12-26,NA,782,NA
Japan,JP,ja.wikipedia,Q12214,天然痘,31036,2021-12-26,NA,650,NA
Poland,PL,pl.wikipedia,Q12214,Ospa prawdziwa,23002,2022-01-02,7.746956135635998e-6,1989,256746000
France,FR,fr.wikipedia,Q12214,Variole,96078,2022-01-02,1.4236786077941313e-5,7690,540150000
Germany,DE,de.wikipedia,Q182155,Herpes Zoster,200309,2022-01-02,2.0222623623269998e-6,1620,801083000
United States of America,US,en.wikipedia,Q6473911,Herpes simplex,21323216,2022-01-02,4.975713122111197e-7,1438,2890038000
Italy,IT,it.wikipedia,Q1037810,Vaccino anti-vaiolo,4717640,2022-01-02,2.929018201755968e-6,1624,554452000
United States of America,US,en.wikipedia,Q655331,Herpes simplex virus,4774419,2022-01-02,1.0740343206559914e-6,3104,2890038000
Taiwan,TW,zh.wikipedia,Q12214,天花,1382,2022-01-02,4.178503689838243e-6,1009,241474000
Italy,IT,it.wikipedia,Q12214,Vaiolo,555706,2022-01-02,1.2347326729816107e-5,6846,554452000
United States of America,US,en.wikipedia,Q12214,Smallpox,16829895,2022-01-02,5.682970258522552e-6,16424,2890038000
Germany,DE,de.wikipedia,Q12214,Pocken,4049,2022-01-02,6.758350882492826e-6,5414,801083000
Germany,DE,de.wikipedia,Q1037810,Pockenimpfstoff,8841370,2022-01-02,2.425466524692198e-6,1943,801083000
Czech Republic,CZ,cs.wikipedia,Q12214,Pravé neštovice,192754,2022-01-02,1.9923069336226453e-5,1616,81112000
United Kingdom,GB,en.wikipedia,Q12214,Smallpox,16829895,2022-01-02,3.3399499342621894e-6,2990,895223000
United States of America,US,en.wikipedia,Q199615,Encephalitis,37636,2022-01-02,6.176389376195053e-7,1785,2890038000
United States of America,US,en.wikipedia,Q38933,Fever,46253,2022-01-02,5.972239811379642e-7,1726,2890038000
United States of America,US,en.wikipedia,Q382370,Monkeypox,242702,2022-01-02,9.020642635148742e-7,2607,2890038000
Canada,CA,en.wikipedia,Q12214,Smallpox,16829895,2022-01-02,1.684440613609604e-6,598,355014000
France,FR,fr.wikipedia,Q182155,Zona,24621,2022-01-02,1.0163843376839767e-6,549,540150000
Brazil,BR,pt.wikipedia,Q182155,Herpes zoster,623734,2022-01-02,2.7829955248580564e-6,523,187927000
Japan,JP,ja.wikipedia,Q12214,天然痘,31036,2022-01-02,2.5265776348833423e-6,2653,1050037000
United States of America,US,en.wikipedia,Q101971,Wart,34049,2022-01-02,2.498237047402145e-7,722,2890038000
United States of America,US,en.wikipedia,Q182155,Herpes zoster,443800,2022-01-02,1.1446216278125062e-6,3308,2890038000
United States of America,US,en.wikipedia,Q1292082,Sore throat,310094,2022-01-02,1.0093292890958526e-6,2917,2890038000
Austria,AT,de.wikipedia,Q12214,Pocken,4049,2022-01-02,5.871908687381103e-5,5093,86735000
Spain,ES,es.wikipedia,Q12214,Viruela,41754,2022-01-02,7.08969334790613e-6,1706,240631000
Poland,PL,pl.wikipedia,Q12214,Ospa prawdziwa,23002,2022-01-09,7.482102934417673e-6,1921,256746000
Austria,AT,de.wikipedia,Q12214,Pocken,4049,2022-01-09,6.721623335447051e-6,583,86735000
France,FR,fr.wikipedia,Q12214,Variole,96078,2022-01-09,1.3590669258539294e-5,7341,540150000
Italy,IT,it.wikipedia,Q1037810,Vaccino anti-vaiolo,4717640,2022-01-09,2.0813343625778245e-6,1154,554452000
United States of America,US,en.wikipedia,Q655331,Herpes simplex virus,4774419,2022-01-09,5.470516304629904e-7,1581,2890038000
Taiwan,TW,zh.wikipedia,Q12214,天花,1382,2022-01-09,2.0209215070773665e-6,488,241474000
United States of America,US,en.wikipedia,Q182155,Shingles,443800,2022-01-09,1.103791714849424e-6,3190,2890038000
United States of America,US,en.wikipedia,Q1292082,Sore throat,310094,2022-01-09,8.076018377613028e-7,2334,2890038000
United States of America,US,en.wikipedia,Q199615,Encephalitis,37636,2022-01-09,1.059847655982378e-6,3063,2890038000
United States of America,US,en.wikipedia,Q38933,Fever,46253,2022-01-09,7.650418437404629e-7,2211,2890038000
United States of America,US,en.wikipedia,Q12214,Smallpox,16829895,2022-01-09,3.756698008815109e-6,10857,2890038000
Germany,DE,de.wikipedia,Q12214,Pocken,4049,2022-01-09,6.904403164216442e-6,5531,801083000
Germany,DE,de.wikipedia,Q1037810,Pockenimpfstoff,8841370,2022-01-09,1.7276611786793628e-6,1384,801083000
United Kingdom,GB,en.wikipedia,Q12214,Smallpox,16829895,2022-01-09,1.6733260874664748e-6,1498,895223000
Japan,JP,ja.wikipedia,Q12214,天然痘,31036,2022-01-09,3.6036825369010805e-6,3784,1050037000
Italy,IT,it.wikipedia,Q12214,Vaiolo,555706,2022-01-09,7.472242863223507e-6,4143,554452000
Spain,ES,es.wikipedia,Q12214,Viruela,41754,2022-01-09,5.082470670861194e-6,1223,240631000
Switzerland,CH,de.wikipedia,Q12214,Pocken,4049,2022-01-09,1.0671665336575044e-5,575,53881000
United States of America,US,en.wikipedia,Q182155,Herpes zoster,443800,2022-01-09,1.1006775689454601e-6,3181,2890038000
France,FR,fr.wikipedia,Q6473911,Herpès,133880,2022-01-09,9.182634453392576e-7,496,540150000
Germany,DE,de.wikipedia,Q182155,Herpes Zoster,200309,2022-01-09,1.0123794912637018e-6,811,801083000
Hong Kong,HK,zh.wikipedia,Q12214,天花,1382,2022-01-09,4.332449160035367e-6,490,113100000
Israel,IL,he.wikipedia,Q38933,חום (תסמין),53186,2022-01-09,7.394024049556663e-6,487,65864000
Poland,PL,pl.wikipedia,Q12214,Ospa prawdziwa,23002,2022-01-16,1.210145435566669e-5,3107,256746000
Austria,AT,de.wikipedia,Q12214,Pocken,4049,2022-01-16,1.9438519628754253e-5,1686,86735000
France,FR,fr.wikipedia,Q12214,Variole,96078,2022-01-16,1.0660001851337591e-5,5758,540150000
Italy,IT,it.wikipedia,Q12214,Vaiolo,555706,2022-01-16,1.1844127174218868e-5,6567,554452000
Spain,ES,es.wikipedia,Q12214,Viruela,41754,2022-01-16,2.1817637793966698e-6,525,240631000
United States of America,US,en.wikipedia,Q12214,Smallpox,16829895,2022-01-16,2.383705681378584e-6,6889,2890038000
Germany,DE,de.wikipedia,Q12214,Pocken,4049,2022-01-16,8.630816032795602e-6,6914,801083000
United Kingdom,GB,en.wikipedia,Q182155,Herpes zoster,443800,2022-01-16,5.361792536608197e-7,480,895223000
Brazil,BR,pt.wikipedia,Q12214,Varíola,68516,2022-01-16,3.171444231004592e-6,596,187927000
United Kingdom,GB,en.wikipedia,Q12214,Smallpox,16829895,2022-01-16,1.1192741920169612e-6,1002,895223000
Japan,JP,ja.wikipedia,Q12214,天然痘,31036,2022-01-16,2.823710021646856e-6,2965,1050037000
United States of America,US,en.wikipedia,Q199615,Encephalitis,37636,2022-01-16,6.390919427357011e-7,1847,2890038000
United Kingdom,GB,en.wikipedia,Q182155,Shingles,443800,2022-01-16,1.6185911219885994e-6,1449,895223000
United States of America,US,en.wikipedia,Q182155,Shingles,443800,2022-01-16,1.527661574000065e-6,4415,2890038000
United States of America,US,en.wikipedia,Q1292082,Sore throat,310094,2022-01-16,6.809599043334379e-7,1968,2890038000
Germany,DE,de.wikipedia,Q1037810,Pockenimpfstoff,8841370,2022-01-16,1.3818792809234498e-6,1107,801083000
Bulgaria,BG,bg.wikipedia,Q582687,Антипиретик,661154,2022-01-16,5.029409820897495e-5,1522,30262000
Taiwan,TW,zh.wikipedia,Q12214,天花,1382,2022-01-16,2.0830399960244166e-6,503,241474000
Germany,DE,de.wikipedia,Q182155,Herpes Zoster,200309,2022-01-16,2.021014052226798e-6,1619,801083000
United States of America,US,en.wikipedia,Q6473911,Herpes simplex,21323216,2022-01-16,4.79924485421991e-7,1387,2890038000
Italy,IT,it.wikipedia,Q1037810,Vaccino anti-vaiolo,4717640,2022-01-16,8.152193517202571e-7,452,554452000
United States of America,US,en.wikipedia,Q655331,Herpes simplex virus,4774419,2022-01-16,5.390932575973049e-7,1558,2890038000
United States of America,US,en.wikipedia,Q38933,Fever,46253,2022-01-16,1.8511867318007583e-7,535,2890038000
United States of America,US,en.wikipedia,Q101971,Wart,34049,2022-01-16,1.6885591123715327e-7,488,2890038000
Poland,PL,pl.wikipedia,Q12214,Ospa prawdziwa,23002,2022-01-23,1.3246554960934152e-5,3401,256746000
France,FR,fr.wikipedia,Q12214,Variole,96078,2022-01-23,9.491807831158012e-6,5127,540150000
United Kingdom,GB,en.wikipedia,Q182155,Herpes zoster,443800,2022-01-23,1.6655068066839212e-6,1491,895223000
Taiwan,TW,zh.wikipedia,Q12214,天花,1382,2022-01-23,4.257187109171174e-6,1028,241474000
Italy,IT,it.wikipedia,Q12214,Vaiolo,555706,2022-01-23,9.625720531263301e-6,5337,554452000
United States of America,US,en.wikipedia,Q1292082,Sore throat,310094,2022-01-23,5.010314743266352e-7,1448,2890038000
United Kingdom,GB,en.wikipedia,Q182155,Shingles,443800,2022-01-23,1.1360297936938618e-6,1017,895223000
Germany,DE,de.wikipedia,Q182155,Herpes Zoster,200309,2022-01-23,6.3776163019312605e-6,5109,801083000
United States of America,US,en.wikipedia,Q6473911,Herpes simplex,21323216,2022-01-23,1.540464173827472e-6,4452,2890038000
United States of America,US,en.wikipedia,Q655331,Herpes simplex virus,4774419,2022-01-23,1.4304310185540813e-6,4134,2890038000
Japan,JP,ja.wikipedia,Q12214,天然痘,31036,2022-01-23,9.513950460793286e-7,999,1050037000
United States of America,US,en.wikipedia,Q199615,Encephalitis,37636,2022-01-23,8.56736139801622e-7,2476,2890038000
United States of America,US,en.wikipedia,Q38933,Fever,46253,2022-01-23,4.899589555569857e-7,1416,2890038000
Hong Kong,HK,zh.wikipedia,Q12214,天花,1382,2022-01-23,4.0318302387267906e-6,456,113100000
