project,page_title,date,pageviews
als.wikipedia,Pocken,2022-01-01,5
als.wikipedia,Pocken,2022-01-02,3
als.wikipedia,Pocken,2022-01-03,1
als.wikipedia,Pocken,2022-01-04,0
als.wikipedia,Pocken,2022-01-05,1
als.wikipedia,Pocken,2022-01-06,0
als.wikipedia,Pocken,2022-01-07,1
als.wikipedia,Pocken,2022-01-08,2
als.wikipedia,Pocken,2022-01-09,3
als.wikipedia,Pocken,2022-01-10,1
als.wikipedia,Pocken,2022-01-11,3
als.wikipedia,Pocken,2022-01-12,1
als.wikipedia,Pocken,2022-01-13,0
als.wikipedia,Pocken,2022-01-14,0
als.wikipedia,Pocken,2022-01-15,0
als.wikipedia,Pocken,2022-01-16,0
als.wikipedia,Pocken,2022-01-17,0
als.wikipedia,Pocken,2022-01-18,1
als.wikipedia,Pocken,2022-01-20,1
als.wikipedia,Pocken,2022-01-21,0
als.wikipedia,Pocken,2022-01-22,4
als.wikipedia,Pocken,2022-01-23,0
als.wikipedia,Pocken,2022-01-24,4
als.wikipedia,Pocken,2022-01-25,2
als.wikipedia,Pocken,2022-01-26,4
als.wikipedia,Pocken,2022-01-28,0
als.wikipedia,Pocken,2022-01-29,4
als.wikipedia,Pocken,2022-01-30,1
als.wikipedia,Pocken,2022-01-31,0
als.wikipedia,Pocken,2022-02-01,1
als.wikipedia,Pocken,2022-02-02,1
als.wikipedia,Pocken,2022-02-03,1
als.wikipedia,Pocken,2022-02-04,2
als.wikipedia,Pocken,2022-02-05,0
als.wikipedia,Pocken,2022-02-06,1
als.wikipedia,Pocken,2022-02-07,0
als.wikipedia,Pocken,2022-02-08,0
als.wikipedia,Pocken,2022-02-09,0
als.wikipedia,Pocken,2022-02-10,0
als.wikipedia,Pocken,2022-02-11,1
als.wikipedia,Pocken,2022-02-12,3
als.wikipedia,Pocken,2022-02-13,1
als.wikipedia,Pocken,2022-02-14,2
als.wikipedia,Pocken,2022-02-15,3
als.wikipedia,Pocken,2022-02-16,0
als.wikipedia,Pocken,2022-02-17,0
als.wikipedia,Pocken,2022-02-18,3
als.wikipedia,Pocken,2022-02-19,3
als.wikipedia,Pocken,2022-02-20,0
als.wikipedia,Pocken,2022-02-21,1
als.wikipedia,Pocken,2022-02-22,1
als.wikipedia,Pocken,2022-02-23,3
als.wikipedia,Pocken,2022-02-24,3
als.wikipedia,Pocken,2022-02-25,0
als.wikipedia,Pocken,2022-02-26,2
als.wikipedia,Pocken,2022-02-27,0
als.wikipedia,Pocken,2022-02-28,1
als.wikipedia,Pocken,2022-03-01,3
als.wikipedia,Pocken,2022-03-02,0
als.wikipedia,Pocken,2022-03-03,2
als.wikipedia,Pocken,2022-03-04,2
als.wikipedia,Pocken,2022-03-05,0
als.wikipedia,Pocken,2022-03-06,3
als.wikipedia,Pocken,2022-03-07,1
als.wikipedia,Pocken,2022-03-08,2
als.wikipedia,Pocken,2022-03-09,0
als.wikipedia,Pocken,2022-03-10,1
als.wikipedia,Pocken,2022-03-11,4
als.wikipedia,Pocken,2022-03-12,4
als.wikipedia,Pocken,2022-03-13,1
als.wikipedia,Pocken,2022-03-14,1
als.wikipedia,Pocken,2022-03-15,1
als.wikipedia,Pocken,2022-03-16,0
als.wikipedia,Pocken,2022-03-17,0
als.wikipedia,Pocken,2022-03-18,2
als.wikipedia,Pocken,2022-03-19,2
als.wikipedia,Pocken,2022-03-20,3
als.wikipedia,Pocken,2022-03-21,1
als.wikipedia,Pocken,2022-03-22,1
als.wikipedia,Pocken,2022-03-23,3
als.wikipedia,Pocken,2022-03-24,2
als.wikipedia,Pocken,2022-03-25,0
als.wikipedia,Pocken,2022-03-26,0
als.wikipedia,Pocken,2022-03-27,2
als.wikipedia,Pocken,2022-03-28,1
als.wikipedia,Pocken,2022-03-29,2
als.wikipedia,Pocken,2022-03-30,3
als.wikipedia,Pocken,2022-03-31,4
als.wikipedia,Pocken,2022-04-01,0
als.wikipedia,Pocken,2022-04-02,1
als.wikipedia,Pocken,2022-04-03,0
als.wikipedia,Pocken,2022-04-04,0
als.wikipedia,Pocken,2022-04-05,0
als.wikipedia,Pocken,2022-04-06,1
als.wikipedia,Pocken,2022-04-07,4
als.wikipedia,Pocken,2022-04-08,1
als.wikipedia,Pocken,2022-04-09,0
als.wikipedia,Pocken,2022-04-10,0
als.wikipedia,Pocken,2022-04-11,2
als.wikipedia,Pocken,2022-04-12,0
als.wikipedia,Pocken,2022-04-13,0
als.wikipedia,Pocken,2022-04-14,1
als.wikipedia,Pocken,2022-04-15,0
als.wikipedia,Pocken,2022-04-16,1
als.wikipedia,Pocken,2022-04-17,1
als.wikipedia,Pocken,2022-04-18,2
als.wikipedia,Pocken,2022-04-19,10
als.wikipedia,Pocken,2022-04-20,7
als.wikipedia,Pocken,2022-04-21,2
als.wikipedia,Pocken,2022-04-22,4
als.wikipedia,Pocken,2022-04-23,0
als.wikipedia,Pocken,2022-04-24,3
als.wikipedia,Pocken,2022-04-25,2
als.wikipedia,Pocken,2022-04-26,5
als.wikipedia,Pocken,2022-04-27,2
als.wikipedia,Pocken,2022-04-28,3
als.wikipedia,Pocken,2022-04-29,0
als.wikipedia,Pocken,2022-04-30,2
als.wikipedia,Pocken,2022-05-01,0
als.wikipedia,Pocken,2022-05-02,2
als.wikipedia,Pocken,2022-05-03,2
als.wikipedia,Pocken,2022-05-04,3
als.wikipedia,Pocken,2022-05-05,5
als.wikipedia,Pocken,2022-05-06,6
als.wikipedia,Pocken,2022-05-07,6
als.wikipedia,Pocken,2022-05-08,4
als.wikipedia,Pocken,2022-05-09,4
als.wikipedia,Pocken,2022-05-10,8
als.wikipedia,Pocken,2022-05-11,5
als.wikipedia,Pocken,2022-05-12,5
als.wikipedia,Pocken,2022-05-13,2
als.wikipedia,Pocken,2022-05-14,5
als.wikipedia,Pocken,2022-05-15,2
als.wikipedia,Pocken,2022-05-16,3
als.wikipedia,Pocken,2022-05-17,10
als.wikipedia,Pocken,2022-05-18,4
als.wikipedia,Pocken,2022-05-19,16
als.wikipedia,Pocken,2022-05-20,17
als.wikipedia,Pocken,2022-05-21,20
als.wikipedia,Pocken,2022-05-22,17
als.wikipedia,Pocken,2022-05-23,23
als.wikipedia,Pocken,2022-05-24,12
als.wikipedia,Pocken,2022-05-25,3
als.wikipedia,Pocken,2022-05-26,4
als.wikipedia,Pocken,2022-05-27,3
als.wikipedia,Pocken,2022-05-28,1
als.wikipedia,Pocken,2022-05-29,6
als.wikipedia,Pocken,2022-05-30,4
als.wikipedia,Pocken,2022-05-31,7
als.wikipedia,Pocken,2022-06-01,6
als.wikipedia,Pocken,2022-06-02,9
als.wikipedia,Pocken,2022-06-03,5
als.wikipedia,Pocken,2022-06-04,6
als.wikipedia,Pocken,2022-06-05,3
als.wikipedia,Pocken,2022-06-06,7
als.wikipedia,Pocken,2022-06-07,8
als.wikipedia,Pocken,2022-06-08,6
als.wikipedia,Pocken,2022-06-09,5
als.wikipedia,Pocken,2022-06-10,3
als.wikipedia,Pocken,2022-06-11,1
als.wikipedia,Pocken,2022-06-12,0
als.wikipedia,Pocken,2022-06-13,10
als.wikipedia,Pocken,2022-06-14,4
als.wikipedia,Pocken,2022-06-15,5
als.wikipedia,Pocken,2022-06-16,11
als.wikipedia,Pocken,2022-06-17,4
als.wikipedia,Pocken,2022-06-18,6
als.wikipedia,Pocken,2022-06-19,2
als.wikipedia,Pocken,2022-06-20,4
als.wikipedia,Pocken,2022-06-21,5
als.wikipedia,Pocken,2022-06-22,6
als.wikipedia,Pocken,2022-06-23,5
als.wikipedia,Pocken,2022-06-24,4
als.wikipedia,Pocken,2022-06-25,4
als.wikipedia,Pocken,2022-06-26,5
als.wikipedia,Pocken,2022-06-27,2
als.wikipedia,Pocken,2022-06-28,1
als.wikipedia,Pocken,2022-06-29,6
als.wikipedia,Pocken,2022-06-30,3
als.wikipedia,Pocken,2022-07-01,4
als.wikipedia,Pocken,2022-07-02,6
als.wikipedia,Pocken,2022-07-03,4
als.wikipedia,Pocken,2022-07-04,4
als.wikipedia,Pocken,2022-07-05,4
als.wikipedia,Pocken,2022-07-06,8
als.wikipedia,Pocken,2022-07-07,2
als.wikipedia,Pocken,2022-07-08,1
als.wikipedia,Pocken,2022-07-09,1
als.wikipedia,Pocken,2022-07-10,3
als.wikipedia,Pocken,2022-07-11,5
als.wikipedia,Pocken,2022-07-12,2
als.wikipedia,Pocken,2022-07-13,1
als.wikipedia,Pocken,2022-07-14,2
als.wikipedia,Pocken,2022-07-15,4
als.wikipedia,Pocken,2022-07-16,1
als.wikipedia,Pocken,2022-07-17,1
als.wikipedia,Pocken,2022-07-18,0
als.wikipedia,Pocken,2022-07-19,2
als.wikipedia,Pocken,2022-07-20,0
als.wikipedia,Pocken,2022-07-21,1
als.wikipedia,Pocken,2022-07-22,3
als.wikipedia,Pocken,2022-07-23,2
als.wikipedia,Pocken,2022-07-24,3
als.wikipedia,Pocken,2022-07-25,2
als.wikipedia,Pocken,2022-07-26,2
als.wikipedia,Pocken,2022-07-27,1
als.wikipedia,Pocken,2022-07-28,1
als.wikipedia,Pocken,2022-07-29,1
als.wikipedia,Pocken,2022-07-30,2
als.wikipedia,Pocken,2022-07-31,1
als.wikipedia,Pocken,2022-08-01,0
als.wikipedia,Pocken,2022-08-02,5
als.wikipedia,Pocken,2022-08-03,1
als.wikipedia,Pocken,2022-08-04,0
als.wikipedia,Pocken,2022-08-05,5
als.wikipedia,Pocken,2022-08-06,1
als.wikipedia,Pocken,2022-08-07,1
als.wikipedia,Pocken,2022-08-08,3
als.wikipedia,Pocken,2022-08-09,4
als.wikipedia,Pocken,2022-08-10,0
als.wikipedia,Pocken,2022-08-11,1
als.wikipedia,Pocken,2022-08-12,0
als.wikipedia,Pocken,2022-08-13,1
als.wikipedia,Pocken,2022-08-14,2
als.wikipedia,Pocken,2022-08-15,5
als.wikipedia,Pocken,2022-08-16,4
als.wikipedia,Pocken,2022-08-17,3
als.wikipedia,Pocken,2022-08-18,0
als.wikipedia,Pocken,2022-08-19,0
als.wikipedia,Pocken,2022-08-20,1
als.wikipedia,Pocken,2022-08-21,1
als.wikipedia,Pocken,2022-08-22,2
als.wikipedia,Pocken,2022-08-23,1
als.wikipedia,Pocken,2022-08-24,1
als.wikipedia,Pocken,2022-08-25,1
als.wikipedia,Pocken,2022-08-26,0
als.wikipedia,Pocken,2022-08-27,0
als.wikipedia,Pocken,2022-08-28,0
als.wikipedia,Pocken,2022-08-29,2
als.wikipedia,Pocken,2022-08-30,1
als.wikipedia,Pocken,2022-09-01,3
als.wikipedia,Pocken,2022-09-02,3
als.wikipedia,Pocken,2022-09-03,0
als.wikipedia,Pocken,2022-09-04,0
als.wikipedia,Pocken,2022-09-05,1
als.wikipedia,Pocken,2022-09-06,1
als.wikipedia,Pocken,2022-09-07,1
als.wikipedia,Pocken,2022-09-08,2
als.wikipedia,Pocken,2022-09-09,3
als.wikipedia,Pocken,2022-09-10,0
als.wikipedia,Pocken,2022-09-11,2
als.wikipedia,Pocken,2022-09-12,0
als.wikipedia,Pocken,2022-09-13,0
als.wikipedia,Pocken,2022-09-14,0
als.wikipedia,Pocken,2022-09-15,1
als.wikipedia,Pocken,2022-09-16,2
als.wikipedia,Pocken,2022-09-17,1
als.wikipedia,Pocken,2022-09-18,2
als.wikipedia,Pocken,2022-09-19,2
als.wikipedia,Pocken,2022-09-20,5
als.wikipedia,Pocken,2022-09-21,2
als.wikipedia,Pocken,2022-09-22,1
als.wikipedia,Pocken,2022-09-23,1
als.wikipedia,Pocken,2022-09-24,1
als.wikipedia,Pocken,2022-09-25,1
als.wikipedia,Pocken,2022-09-27,0
als.wikipedia,Pocken,2022-09-28,1
als.wikipedia,Pocken,2022-09-29,0
als.wikipedia,Pocken,2022-10-01,1
als.wikipedia,Pocken,2022-10-02,2
als.wikipedia,Pocken,2022-10-03,1
als.wikipedia,Pocken,2022-10-04,1
als.wikipedia,Pocken,2022-10-05,2
als.wikipedia,Pocken,2022-10-06,1
als.wikipedia,Pocken,2022-10-07,1
als.wikipedia,Pocken,2022-10-08,2
als.wikipedia,Pocken,2022-10-09,0
als.wikipedia,Pocken,2022-10-10,2
als.wikipedia,Pocken,2022-10-11,2
als.wikipedia,Pocken,2022-10-12,0
als.wikipedia,Pocken,2022-10-13,0
als.wikipedia,Pocken,2022-10-14,0
als.wikipedia,Pocken,2022-10-15,0
als.wikipedia,Pocken,2022-10-16,0
als.wikipedia,Pocken,2022-10-17,1
als.wikipedia,Pocken,2022-10-18,0
als.wikipedia,Pocken,2022-10-20,3
als.wikipedia,Pocken,2022-10-21,1
als.wikipedia,Pocken,2022-10-22,1
als.wikipedia,Pocken,2022-10-23,1
als.wikipedia,Pocken,2022-10-24,0
als.wikipedia,Pocken,2022-10-25,1
als.wikipedia,Pocken,2022-10-26,3
als.wikipedia,Pocken,2022-10-27,3
als.wikipedia,Pocken,2022-10-29,2
als.wikipedia,Pocken,2022-10-30,0
als.wikipedia,Pocken,2022-10-31,0
als.wikipedia,Pocken,2022-11-01,3
als.wikipedia,Pocken,2022-11-02,1
als.wikipedia,Pocken,2022-11-03,1
als.wikipedia,Pocken,2022-11-04,2
als.wikipedia,Pocken,2022-11-05,1
als.wikipedia,Pocken,2022-11-06,0
als.wikipedia,Pocken,2022-11-07,0
als.wikipedia,Pocken,2022-11-08,0
als.wikipedia,Pocken,2022-11-09,4
als.wikipedia,Pocken,2022-11-10,0
als.wikipedia,Pocken,2022-11-11,1
als.wikipedia,Pocken,2022-11-12,1
als.wikipedia,Pocken,2022-11-13,1
als.wikipedia,Pocken,2022-11-14,1
als.wikipedia,Pocken,2022-11-15,1
als.wikipedia,Pocken,2022-11-16,1
als.wikipedia,Pocken,2022-11-17,1
als.wikipedia,Pocken,2022-11-18,2
als.wikipedia,Pocken,2022-11-19,1
als.wikipedia,Pocken,2022-11-20,3
als.wikipedia,Pocken,2022-11-21,1
als.wikipedia,Pocken,2022-11-22,0
als.wikipedia,Pocken,2022-11-23,2
als.wikipedia,Pocken,2022-11-24,1
als.wikipedia,Pocken,2022-11-26,0
als.wikipedia,Pocken,2022-11-27,1
als.wikipedia,Pocken,2022-11-28,0
als.wikipedia,Pocken,2022-11-29,0
als.wikipedia,Pocken,2022-11-30,2
als.wikipedia,Pocken,2022-12-01,0
als.wikipedia,Pocken,2022-12-02,1
als.wikipedia,Pocken,2022-12-03,0
