project,page_title,date,pageviews
am.wikipedia,ትኩሳት,2022-01-01,0
am.wikipedia,ትኩሳት,2022-01-02,0
am.wikipedia,ትኩሳት,2022-01-03,1
am.wikipedia,ትኩሳት,2022-01-04,0
am.wikipedia,ትኩሳት,2022-01-05,0
am.wikipedia,ትኩሳት,2022-01-06,5
am.wikipedia,ትኩሳት,2022-01-07,0
am.wikipedia,ትኩሳት,2022-01-08,0
am.wikipedia,ትኩሳት,2022-01-09,0
am.wikipedia,ትኩሳት,2022-01-10,0
am.wikipedia,ትኩሳት,2022-01-11,0
am.wikipedia,ትኩሳት,2022-01-12,0
am.wikipedia,ትኩሳት,2022-01-13,5
am.wikipedia,ትኩሳት,2022-01-14,0
am.wikipedia,ትኩሳት,2022-01-15,0
am.wikipedia,ትኩሳት,2022-01-16,1
am.wikipedia,ትኩሳት,2022-01-17,2
am.wikipedia,ትኩሳት,2022-01-18,4
am.wikipedia,ትኩሳት,2022-01-19,0
am.wikipedia,ትኩሳት,2022-01-20,0
am.wikipedia,ትኩሳት,2022-01-21,2
am.wikipedia,ትኩሳት,2022-01-22,0
am.wikipedia,ትኩሳት,2022-01-23,2
am.wikipedia,ትኩሳት,2022-01-24,2
am.wikipedia,ትኩሳት,2022-01-25,3
am.wikipedia,ትኩሳት,2022-01-26,3
am.wikipedia,ትኩሳት,2022-01-27,0
am.wikipedia,ትኩሳት,2022-01-28,1
am.wikipedia,ትኩሳት,2022-01-29,0
am.wikipedia,ትኩሳት,2022-01-30,2
am.wikipedia,ትኩሳት,2022-01-31,3
am.wikipedia,ትኩሳት,2022-02-01,1
am.wikipedia,ትኩሳት,2022-02-02,2
am.wikipedia,ትኩሳት,2022-02-03,0
am.wikipedia,ትኩሳት,2022-02-04,2
am.wikipedia,ትኩሳት,2022-02-05,2
am.wikipedia,ትኩሳት,2022-02-06,2
am.wikipedia,ትኩሳት,2022-02-07,0
am.wikipedia,ትኩሳት,2022-02-08,1
am.wikipedia,ትኩሳት,2022-02-09,0
am.wikipedia,ትኩሳት,2022-02-10,0
am.wikipedia,ትኩሳት,2022-02-11,0
am.wikipedia,ትኩሳት,2022-02-12,0
am.wikipedia,ትኩሳት,2022-02-13,0
am.wikipedia,ትኩሳት,2022-02-14,0
am.wikipedia,ትኩሳት,2022-02-15,0
am.wikipedia,ትኩሳት,2022-02-16,1
am.wikipedia,ትኩሳት,2022-02-17,0
am.wikipedia,ትኩሳት,2022-02-18,1
am.wikipedia,ትኩሳት,2022-02-19,2
am.wikipedia,ትኩሳት,2022-02-20,0
am.wikipedia,ትኩሳት,2022-02-21,1
am.wikipedia,ትኩሳት,2022-02-22,1
am.wikipedia,ትኩሳት,2022-02-23,2
am.wikipedia,ትኩሳት,2022-02-24,1
am.wikipedia,ትኩሳት,2022-02-25,1
am.wikipedia,ትኩሳት,2022-02-26,0
am.wikipedia,ትኩሳት,2022-02-27,0
am.wikipedia,ትኩሳት,2022-02-28,2
am.wikipedia,ትኩሳት,2022-03-01,2
am.wikipedia,ትኩሳት,2022-03-02,1
am.wikipedia,ትኩሳት,2022-03-03,1
am.wikipedia,ትኩሳት,2022-03-04,2
am.wikipedia,ትኩሳት,2022-03-05,1
am.wikipedia,ትኩሳት,2022-03-06,2
am.wikipedia,ትኩሳት,2022-03-07,0
am.wikipedia,ትኩሳት,2022-03-08,3
