project,page_title,date,pageviews
bjn.wikipedia,Kayap,2022-01-01,5
bjn.wikipedia,Kayap,2022-01-02,0
bjn.wikipedia,Kayap,2022-01-03,2
bjn.wikipedia,Kayap,2022-01-04,1
bjn.wikipedia,Kayap,2022-01-05,3
bjn.wikipedia,Kayap,2022-01-06,0
bjn.wikipedia,Kayap,2022-01-07,3
bjn.wikipedia,Kayap,2022-01-08,4
bjn.wikipedia,Kayap,2022-01-09,2
bjn.wikipedia,Kayap,2022-01-10,2
bjn.wikipedia,Kayap,2022-01-11,0
bjn.wikipedia,Kayap,2022-01-12,1
bjn.wikipedia,Kayap,2022-01-13,2
bjn.wikipedia,Kayap,2022-01-14,1
bjn.wikipedia,Kayap,2022-01-15,3
bjn.wikipedia,Kayap,2022-01-16,1
bjn.wikipedia,Kayap,2022-01-17,2
bjn.wikipedia,Kayap,2022-01-18,1
bjn.wikipedia,Kayap,2022-01-19,2
bjn.wikipedia,Kayap,2022-01-20,1
bjn.wikipedia,Kayap,2022-01-21,4
bjn.wikipedia,Kayap,2022-01-22,4
bjn.wikipedia,Kayap,2022-01-23,2
bjn.wikipedia,Kayap,2022-01-24,1
bjn.wikipedia,Kayap,2022-01-25,0
bjn.wikipedia,Kayap,2022-01-26,4
bjn.wikipedia,Kayap,2022-01-27,0
bjn.wikipedia,Kayap,2022-01-28,1
bjn.wikipedia,Kayap,2022-01-29,1
bjn.wikipedia,Kayap,2022-01-30,0
bjn.wikipedia,Kayap,2022-01-31,1
bjn.wikipedia,Kayap,2022-02-01,4
bjn.wikipedia,Kayap,2022-02-02,0
bjn.wikipedia,Kayap,2022-02-03,2
bjn.wikipedia,Kayap,2022-02-04,5
bjn.wikipedia,Kayap,2022-02-05,1
bjn.wikipedia,Kayap,2022-02-06,1
bjn.wikipedia,Kayap,2022-02-07,4
bjn.wikipedia,Kayap,2022-02-08,3
bjn.wikipedia,Kayap,2022-02-09,1
bjn.wikipedia,Kayap,2022-02-10,2
bjn.wikipedia,Kayap,2022-02-11,1
bjn.wikipedia,Kayap,2022-02-12,0
bjn.wikipedia,Kayap,2022-02-13,1
bjn.wikipedia,Kayap,2022-02-14,3
bjn.wikipedia,Kayap,2022-02-15,1
bjn.wikipedia,Kayap,2022-02-16,1
bjn.wikipedia,Kayap,2022-02-17,1
bjn.wikipedia,Kayap,2022-02-18,4
bjn.wikipedia,Kayap,2022-02-19,1
bjn.wikipedia,Kayap,2022-02-20,1
bjn.wikipedia,Kayap,2022-02-21,1
bjn.wikipedia,Kayap,2022-02-22,2
bjn.wikipedia,Kayap,2022-02-23,3
bjn.wikipedia,Kayap,2022-02-24,1
bjn.wikipedia,Kayap,2022-02-25,2
bjn.wikipedia,Kayap,2022-02-27,0
bjn.wikipedia,Kayap,2022-02-28,0
bjn.wikipedia,Kayap,2022-03-01,2
bjn.wikipedia,Kayap,2022-03-02,4
bjn.wikipedia,Kayap,2022-03-03,2
bjn.wikipedia,Kayap,2022-03-04,3
bjn.wikipedia,Kayap,2022-03-05,2
bjn.wikipedia,Kayap,2022-03-06,0
bjn.wikipedia,Kayap,2022-03-07,6
bjn.wikipedia,Kayap,2022-03-08,2
bjn.wikipedia,Kayap,2022-03-09,2
bjn.wikipedia,Kayap,2022-03-10,2
bjn.wikipedia,Kayap,2022-03-11,3
bjn.wikipedia,Kayap,2022-03-12,2
bjn.wikipedia,Kayap,2022-03-13,1
bjn.wikipedia,Kayap,2022-03-15,2
bjn.wikipedia,Kayap,2022-03-16,7
bjn.wikipedia,Kayap,2022-03-17,2
bjn.wikipedia,Kayap,2022-03-18,3
bjn.wikipedia,Kayap,2022-03-19,2
bjn.wikipedia,Kayap,2022-03-20,4
bjn.wikipedia,Kayap,2022-03-21,1
bjn.wikipedia,Kayap,2022-03-22,5
bjn.wikipedia,Kayap,2022-03-23,0
bjn.wikipedia,Kayap,2022-03-24,0
bjn.wikipedia,Kayap,2022-03-25,2
bjn.wikipedia,Kayap,2022-03-26,1
bjn.wikipedia,Kayap,2022-03-27,1
bjn.wikipedia,Kayap,2022-03-28,0
bjn.wikipedia,Kayap,2022-03-29,2
bjn.wikipedia,Kayap,2022-03-30,0
bjn.wikipedia,Kayap,2022-03-31,0
bjn.wikipedia,Kayap,2022-04-01,2
bjn.wikipedia,Kayap,2022-04-02,0
bjn.wikipedia,Kayap,2022-04-03,3
bjn.wikipedia,Kayap,2022-04-04,1
bjn.wikipedia,Kayap,2022-04-05,2
bjn.wikipedia,Kayap,2022-04-06,0
bjn.wikipedia,Kayap,2022-04-07,6
bjn.wikipedia,Kayap,2022-04-08,2
bjn.wikipedia,Kayap,2022-04-09,1
bjn.wikipedia,Kayap,2022-04-10,2
bjn.wikipedia,Kayap,2022-04-11,2
bjn.wikipedia,Kayap,2022-04-12,3
bjn.wikipedia,Kayap,2022-04-13,1
bjn.wikipedia,Kayap,2022-04-14,3
bjn.wikipedia,Kayap,2022-04-15,1
bjn.wikipedia,Kayap,2022-04-16,0
bjn.wikipedia,Kayap,2022-04-17,1
bjn.wikipedia,Kayap,2022-04-18,2
bjn.wikipedia,Kayap,2022-04-19,5
bjn.wikipedia,Kayap,2022-04-20,4
bjn.wikipedia,Kayap,2022-04-21,1
bjn.wikipedia,Kayap,2022-04-22,1
bjn.wikipedia,Kayap,2022-04-23,0
bjn.wikipedia,Kayap,2022-04-24,2
bjn.wikipedia,Kayap,2022-04-25,1
bjn.wikipedia,Kayap,2022-04-26,1
bjn.wikipedia,Kayap,2022-04-27,3
bjn.wikipedia,Kayap,2022-04-28,3
bjn.wikipedia,Kayap,2022-04-29,1
bjn.wikipedia,Kayap,2022-04-30,4
bjn.wikipedia,Kayap,2022-05-01,3
bjn.wikipedia,Kayap,2022-05-02,0
bjn.wikipedia,Kayap,2022-05-03,4
bjn.wikipedia,Kayap,2022-05-04,6
bjn.wikipedia,Kayap,2022-05-05,1
bjn.wikipedia,Kayap,2022-05-06,2
bjn.wikipedia,Kayap,2022-05-07,5
bjn.wikipedia,Kayap,2022-05-08,7
bjn.wikipedia,Kayap,2022-05-09,4
bjn.wikipedia,Kayap,2022-05-10,6
bjn.wikipedia,Kayap,2022-05-11,2
bjn.wikipedia,Kayap,2022-05-12,1
bjn.wikipedia,Kayap,2022-05-13,1
bjn.wikipedia,Kayap,2022-05-14,3
bjn.wikipedia,Kayap,2022-05-15,1
bjn.wikipedia,Kayap,2022-05-16,4
bjn.wikipedia,Kayap,2022-05-17,1
bjn.wikipedia,Kayap,2022-05-18,3
bjn.wikipedia,Kayap,2022-05-19,2
bjn.wikipedia,Kayap,2022-05-20,0
bjn.wikipedia,Kayap,2022-05-21,3
bjn.wikipedia,Kayap,2022-05-22,6
bjn.wikipedia,Kayap,2022-05-23,1
bjn.wikipedia,Kayap,2022-05-24,2
bjn.wikipedia,Kayap,2022-05-25,3
bjn.wikipedia,Kayap,2022-05-26,1
bjn.wikipedia,Kayap,2022-05-27,1
bjn.wikipedia,Kayap,2022-05-28,1
bjn.wikipedia,Kayap,2022-05-29,0
bjn.wikipedia,Kayap,2022-05-30,1
bjn.wikipedia,Kayap,2022-05-31,1
bjn.wikipedia,Kayap,2022-06-01,1
bjn.wikipedia,Kayap,2022-06-02,0
bjn.wikipedia,Kayap,2022-06-03,0
bjn.wikipedia,Kayap,2022-06-04,0
bjn.wikipedia,Kayap,2022-06-05,1
bjn.wikipedia,Kayap,2022-06-06,2
bjn.wikipedia,Kayap,2022-06-07,5
bjn.wikipedia,Kayap,2022-06-08,1
bjn.wikipedia,Kayap,2022-06-09,0
bjn.wikipedia,Kayap,2022-06-10,1
bjn.wikipedia,Kayap,2022-06-11,1
bjn.wikipedia,Kayap,2022-06-12,1
bjn.wikipedia,Kayap,2022-06-13,1
bjn.wikipedia,Kayap,2022-06-14,2
bjn.wikipedia,Kayap,2022-06-15,2
bjn.wikipedia,Kayap,2022-06-16,2
bjn.wikipedia,Kayap,2022-06-17,0
bjn.wikipedia,Kayap,2022-06-18,2
bjn.wikipedia,Kayap,2022-06-19,3
bjn.wikipedia,Kayap,2022-06-20,2
bjn.wikipedia,Kayap,2022-06-21,1
bjn.wikipedia,Kayap,2022-06-22,2
bjn.wikipedia,Kayap,2022-06-23,0
bjn.wikipedia,Kayap,2022-06-24,1
bjn.wikipedia,Kayap,2022-06-25,4
bjn.wikipedia,Kayap,2022-06-26,2
bjn.wikipedia,Kayap,2022-06-27,3
bjn.wikipedia,Kayap,2022-06-28,2
bjn.wikipedia,Kayap,2022-06-29,2
bjn.wikipedia,Kayap,2022-06-30,1
bjn.wikipedia,Kayap,2022-07-01,2
bjn.wikipedia,Kayap,2022-07-02,3
bjn.wikipedia,Kayap,2022-07-03,2
bjn.wikipedia,Kayap,2022-07-04,1
bjn.wikipedia,Kayap,2022-07-06,0
bjn.wikipedia,Kayap,2022-07-07,1
bjn.wikipedia,Kayap,2022-07-08,0
bjn.wikipedia,Kayap,2022-07-09,3
bjn.wikipedia,Kayap,2022-07-10,0
bjn.wikipedia,Kayap,2022-07-11,0
bjn.wikipedia,Kayap,2022-07-12,1
bjn.wikipedia,Kayap,2022-07-13,3
bjn.wikipedia,Kayap,2022-07-14,1
bjn.wikipedia,Kayap,2022-07-15,4
bjn.wikipedia,Kayap,2022-07-16,1
bjn.wikipedia,Kayap,2022-07-17,1
bjn.wikipedia,Kayap,2022-07-18,0
bjn.wikipedia,Kayap,2022-07-19,1
bjn.wikipedia,Kayap,2022-07-20,0
bjn.wikipedia,Kayap,2022-07-21,0
bjn.wikipedia,Kayap,2022-07-22,0
bjn.wikipedia,Kayap,2022-07-23,1
bjn.wikipedia,Kayap,2022-07-24,0
bjn.wikipedia,Kayap,2022-07-25,4
bjn.wikipedia,Kayap,2022-07-26,1
bjn.wikipedia,Kayap,2022-07-27,2
bjn.wikipedia,Kayap,2022-07-28,0
bjn.wikipedia,Kayap,2022-07-29,0
bjn.wikipedia,Kayap,2022-07-30,0
bjn.wikipedia,Kayap,2022-07-31,0
bjn.wikipedia,Kayap,2022-08-01,2
bjn.wikipedia,Kayap,2022-08-02,0
bjn.wikipedia,Kayap,2022-08-03,0
bjn.wikipedia,Kayap,2022-08-04,0
bjn.wikipedia,Kayap,2022-08-05,6
bjn.wikipedia,Kayap,2022-08-06,4
bjn.wikipedia,Kayap,2022-08-07,0
bjn.wikipedia,Kayap,2022-08-08,0
bjn.wikipedia,Kayap,2022-08-09,1
bjn.wikipedia,Kayap,2022-08-10,1
bjn.wikipedia,Kayap,2022-08-11,1
bjn.wikipedia,Kayap,2022-08-12,2
bjn.wikipedia,Kayap,2022-08-13,0
bjn.wikipedia,Kayap,2022-08-14,0
bjn.wikipedia,Kayap,2022-08-15,1
bjn.wikipedia,Kayap,2022-08-16,0
bjn.wikipedia,Kayap,2022-08-18,1
bjn.wikipedia,Kayap,2022-08-20,1
bjn.wikipedia,Kayap,2022-08-21,0
bjn.wikipedia,Kayap,2022-08-22,3
bjn.wikipedia,Kayap,2022-08-23,1
bjn.wikipedia,Kayap,2022-08-24,0
bjn.wikipedia,Kayap,2022-08-25,3
bjn.wikipedia,Kayap,2022-08-26,1
bjn.wikipedia,Kayap,2022-08-27,1
bjn.wikipedia,Kayap,2022-08-28,0
bjn.wikipedia,Kayap,2022-08-29,2
bjn.wikipedia,Kayap,2022-08-30,1
bjn.wikipedia,Kayap,2022-08-31,0
bjn.wikipedia,Kayap,2022-09-01,2
bjn.wikipedia,Kayap,2022-09-02,2
bjn.wikipedia,Kayap,2022-09-03,1
bjn.wikipedia,Kayap,2022-09-04,0
bjn.wikipedia,Kayap,2022-09-05,1
bjn.wikipedia,Kayap,2022-09-06,2
bjn.wikipedia,Kayap,2022-09-07,3
bjn.wikipedia,Kayap,2022-09-08,2
bjn.wikipedia,Kayap,2022-09-09,0
bjn.wikipedia,Kayap,2022-09-10,0
bjn.wikipedia,Kayap,2022-09-11,0
bjn.wikipedia,Kayap,2022-09-12,1
bjn.wikipedia,Kayap,2022-09-13,3
bjn.wikipedia,Kayap,2022-09-14,1
bjn.wikipedia,Kayap,2022-09-15,5
bjn.wikipedia,Kayap,2022-09-16,0
bjn.wikipedia,Kayap,2022-09-17,2
bjn.wikipedia,Kayap,2022-09-19,0
bjn.wikipedia,Kayap,2022-09-20,1
bjn.wikipedia,Kayap,2022-09-21,0
bjn.wikipedia,Kayap,2022-09-22,1
bjn.wikipedia,Kayap,2022-09-23,1
bjn.wikipedia,Kayap,2022-09-24,2
bjn.wikipedia,Kayap,2022-09-25,4
bjn.wikipedia,Kayap,2022-09-26,4
bjn.wikipedia,Kayap,2022-09-27,8
bjn.wikipedia,Kayap,2022-09-29,0
bjn.wikipedia,Kayap,2022-09-30,3
bjn.wikipedia,Kayap,2022-10-01,2
bjn.wikipedia,Kayap,2022-10-02,2
bjn.wikipedia,Kayap,2022-10-03,0
bjn.wikipedia,Kayap,2022-10-04,1
bjn.wikipedia,Kayap,2022-10-05,3
bjn.wikipedia,Kayap,2022-10-06,2
bjn.wikipedia,Kayap,2022-10-07,6
bjn.wikipedia,Kayap,2022-10-08,1
bjn.wikipedia,Kayap,2022-10-09,1
bjn.wikipedia,Kayap,2022-10-10,0
bjn.wikipedia,Kayap,2022-10-11,3
bjn.wikipedia,Kayap,2022-10-12,6
bjn.wikipedia,Kayap,2022-10-13,0
bjn.wikipedia,Kayap,2022-10-14,6
bjn.wikipedia,Kayap,2022-10-15,8
bjn.wikipedia,Kayap,2022-10-16,1
bjn.wikipedia,Kayap,2022-10-17,6
bjn.wikipedia,Kayap,2022-10-18,5
bjn.wikipedia,Kayap,2022-10-19,1
bjn.wikipedia,Kayap,2022-10-20,3
bjn.wikipedia,Kayap,2022-10-21,4
bjn.wikipedia,Kayap,2022-10-22,4
bjn.wikipedia,Kayap,2022-10-23,2
bjn.wikipedia,Kayap,2022-10-24,1
bjn.wikipedia,Kayap,2022-10-25,1
bjn.wikipedia,Kayap,2022-10-26,2
bjn.wikipedia,Kayap,2022-10-27,2
bjn.wikipedia,Kayap,2022-10-28,4
bjn.wikipedia,Kayap,2022-10-29,0
bjn.wikipedia,Kayap,2022-10-30,1
bjn.wikipedia,Kayap,2022-10-31,0
bjn.wikipedia,Kayap,2022-11-01,0
bjn.wikipedia,Kayap,2022-11-02,1
bjn.wikipedia,Kayap,2022-11-03,1
bjn.wikipedia,Kayap,2022-11-04,0
bjn.wikipedia,Kayap,2022-11-05,4
bjn.wikipedia,Kayap,2022-11-06,1
bjn.wikipedia,Kayap,2022-11-07,1
bjn.wikipedia,Kayap,2022-11-08,3
bjn.wikipedia,Kayap,2022-11-09,1
bjn.wikipedia,Kayap,2022-11-10,3
bjn.wikipedia,Kayap,2022-11-11,1
bjn.wikipedia,Kayap,2022-11-12,0
bjn.wikipedia,Kayap,2022-11-13,2
bjn.wikipedia,Kayap,2022-11-14,3
bjn.wikipedia,Kayap,2022-11-15,1
bjn.wikipedia,Kayap,2022-11-16,1
bjn.wikipedia,Kayap,2022-11-17,3
bjn.wikipedia,Kayap,2022-11-18,5
bjn.wikipedia,Kayap,2022-11-19,2
bjn.wikipedia,Kayap,2022-11-20,0
bjn.wikipedia,Kayap,2022-11-21,3
bjn.wikipedia,Kayap,2022-11-22,5
bjn.wikipedia,Kayap,2022-11-23,1
bjn.wikipedia,Kayap,2022-11-24,4
bjn.wikipedia,Kayap,2022-11-25,2
bjn.wikipedia,Kayap,2022-11-26,1
bjn.wikipedia,Kayap,2022-11-27,4
bjn.wikipedia,Kayap,2022-11-28,0
bjn.wikipedia,Kayap,2022-11-29,2
bjn.wikipedia,Kayap,2022-11-30,3
bjn.wikipedia,Kayap,2022-12-01,2
bjn.wikipedia,Kayap,2022-12-02,3
bjn.wikipedia,Kayap,2022-12-03,1
bjn.wikipedia,Kayap,2022-12-04,6
bjn.wikipedia,Kayap,2022-12-05,0
bjn.wikipedia,Kayap,2022-12-06,2
bjn.wikipedia,Kayap,2022-12-07,0
bjn.wikipedia,Kayap,2022-12-08,1
bjn.wikipedia,Kayap,2022-12-09,1
bjn.wikipedia,Kayap,2022-12-10,1
bjn.wikipedia,Kayap,2022-12-11,6
bjn.wikipedia,Kayap,2022-12-12,1
bjn.wikipedia,Kayap,2022-12-13,0
bjn.wikipedia,Kayap,2022-12-14,7
bjn.wikipedia,Kayap,2022-12-15,1
bjn.wikipedia,Kayap,2022-12-16,3
bjn.wikipedia,Kayap,2022-12-17,0
bjn.wikipedia,Kayap,2022-12-18,2
bjn.wikipedia,Kayap,2022-12-19,2
bjn.wikipedia,Kayap,2022-12-20,1
bjn.wikipedia,Kayap,2022-12-21,1
bjn.wikipedia,Kayap,2022-12-22,3
bjn.wikipedia,Kayap,2022-12-23,1
bjn.wikipedia,Kayap,2022-12-24,0
bjn.wikipedia,Kayap,2022-12-25,2
bjn.wikipedia,Kayap,2022-12-26,1
bjn.wikipedia,Kayap,2022-12-27,1
bjn.wikipedia,Kayap,2022-12-28,1
bjn.wikipedia,Kayap,2022-12-29,3
bjn.wikipedia,Kayap,2022-12-30,1
bjn.wikipedia,Kayap,2022-12-31,2
