project,page_title,date,pageviews
ce.wikipedia,Чоькачйалар,2022-12-15,5
ce.wikipedia,Чоькачйалар,2022-12-18,0
ce.wikipedia,Чоькачйалар,2022-12-19,1
ce.wikipedia,Чоькачйалар,2022-12-20,0
ce.wikipedia,Чоькачйалар,2022-12-21,0
ce.wikipedia,Чоькачйалар,2022-12-22,0
ce.wikipedia,Чоькачйалар,2022-12-26,1
ce.wikipedia,Чоькачйалар,2022-12-28,1
ce.wikipedia,Чоькачйалар,2022-12-29,0
ce.wikipedia,Чоькачйалар,2022-12-31,0
ce.wikipedia,Ӏеттор,2022-01-01,1
ce.wikipedia,Ӏеттор,2022-01-02,0
ce.wikipedia,Ӏеттор,2022-01-03,0
ce.wikipedia,Ӏеттор,2022-01-05,0
ce.wikipedia,Ӏеттор,2022-01-06,1
ce.wikipedia,Ӏеттор,2022-01-07,0
ce.wikipedia,Ӏеттор,2022-01-08,0
ce.wikipedia,Ӏеттор,2022-01-09,0
ce.wikipedia,Ӏеттор,2022-01-10,1
ce.wikipedia,Ӏеттор,2022-01-11,0
ce.wikipedia,Ӏеттор,2022-01-12,0
ce.wikipedia,Ӏеттор,2022-01-13,1
ce.wikipedia,Ӏеттор,2022-01-14,1
ce.wikipedia,Ӏеттор,2022-01-15,1
ce.wikipedia,Ӏеттор,2022-01-16,1
ce.wikipedia,Ӏеттор,2022-01-17,0
ce.wikipedia,Ӏеттор,2022-01-18,0
ce.wikipedia,Ӏеттор,2022-01-19,0
ce.wikipedia,Ӏеттор,2022-01-22,1
ce.wikipedia,Ӏеттор,2022-01-24,0
ce.wikipedia,Ӏеттор,2022-01-25,0
ce.wikipedia,Ӏеттор,2022-01-29,0
ce.wikipedia,Ӏеттор,2022-02-01,0
ce.wikipedia,Ӏеттор,2022-02-02,1
ce.wikipedia,Ӏеттор,2022-02-03,1
ce.wikipedia,Ӏеттор,2022-02-04,0
ce.wikipedia,Ӏеттор,2022-02-05,2
ce.wikipedia,Ӏеттор,2022-02-07,0
ce.wikipedia,Ӏеттор,2022-02-12,0
