project,page_name,redirect_name,date,views
da.wikipedia,Abekopper,NA,2022-05-19,5092
da.wikipedia,Abekopper,Monkeypox,2022-05-19,25
da.wikipedia,Abekopper,NA,2022-05-20,8519
da.wikipedia,Abekopper,Monkeypox,2022-05-20,3
da.wikipedia,Abekopper,NA,2022-05-21,1847
da.wikipedia,Abekopper,Monkeypox,2022-05-21,2
da.wikipedia,Abekopper,NA,2022-05-22,1125
da.wikipedia,Abekopper,Monkeypox,2022-05-22,1
da.wikipedia,Abekopper,NA,2022-05-23,3772
da.wikipedia,Abekopper,Monkeypox,2022-05-23,10
da.wikipedia,Abekopper,NA,2022-05-24,1909
da.wikipedia,Abekopper,Monkeypox,2022-05-24,1
da.wikipedia,Abekopper,NA,2022-05-25,776
da.wikipedia,Abekopper,Monkeypox,2022-05-25,2
da.wikipedia,Abekopper,NA,2022-05-26,606
da.wikipedia,Abekopper,Monkeypox,2022-05-26,1
da.wikipedia,Abekopper,NA,2022-05-27,394
da.wikipedia,Abekopper,NA,2022-05-28,311
da.wikipedia,Abekopper,NA,2022-05-29,154
da.wikipedia,Abekopper,NA,2022-05-30,119
da.wikipedia,Abekopper,NA,2022-05-31,90
da.wikipedia,Abekopper,NA,2022-06-01,106
da.wikipedia,Abekopper,Monkeypox,2022-06-01,1
da.wikipedia,Abekopper,NA,2022-06-02,76
da.wikipedia,Abekopper,Monkeypox,2022-06-02,1
da.wikipedia,Abekopper,NA,2022-06-03,74
da.wikipedia,Abekopper,NA,2022-06-04,56
da.wikipedia,Abekopper,Monkeypox,2022-06-04,0
da.wikipedia,Abekopper,NA,2022-06-05,30
da.wikipedia,Abekopper,NA,2022-06-06,39
da.wikipedia,Abekopper,Monkeypox,2022-06-06,0
da.wikipedia,Abekopper,NA,2022-06-07,48
da.wikipedia,Abekopper,NA,2022-06-08,39
da.wikipedia,Abekopper,NA,2022-06-09,31
da.wikipedia,Abekopper,NA,2022-06-10,33
da.wikipedia,Abekopper,NA,2022-06-11,24
da.wikipedia,Abekopper,NA,2022-06-12,34
da.wikipedia,Abekopper,NA,2022-06-13,47
da.wikipedia,Abekopper,NA,2022-06-14,48
da.wikipedia,Abekopper,NA,2022-06-15,207
da.wikipedia,Abekopper,Monkeypox,2022-06-15,0
da.wikipedia,Abekopper,NA,2022-06-16,66
da.wikipedia,Abekopper,NA,2022-06-17,39
da.wikipedia,Abekopper,NA,2022-06-18,27
da.wikipedia,Abekopper,NA,2022-06-19,29
da.wikipedia,Abekopper,NA,2022-06-20,24
da.wikipedia,Abekopper,NA,2022-06-21,33
da.wikipedia,Abekopper,NA,2022-06-22,39
da.wikipedia,Abekopper,NA,2022-06-23,20
da.wikipedia,Abekopper,NA,2022-06-24,15
da.wikipedia,Abekopper,NA,2022-06-25,18
da.wikipedia,Abekopper,Monkeypox,2022-06-25,0
da.wikipedia,Abekopper,NA,2022-06-26,8
da.wikipedia,Abekopper,NA,2022-06-27,16
da.wikipedia,Abekopper,NA,2022-06-28,16
da.wikipedia,Abekopper,NA,2022-06-29,11
da.wikipedia,Abekopper,Monkeypox,2022-06-29,0
da.wikipedia,Abekopper,NA,2022-06-30,18
da.wikipedia,Abekopper,Monkeypox,2022-06-30,1
da.wikipedia,Abekopper,NA,2022-07-01,6
da.wikipedia,Abekopper,NA,2022-07-02,12
da.wikipedia,Abekopper,NA,2022-07-03,8
da.wikipedia,Abekopper,Monkeypox,2022-07-03,1
da.wikipedia,Abekopper,NA,2022-07-04,3
da.wikipedia,Abekopper,NA,2022-07-05,12
da.wikipedia,Abekopper,Monkeypox,2022-07-05,1
da.wikipedia,Abekopper,NA,2022-07-06,10
da.wikipedia,Abekopper,Monkeypox,2022-07-06,1
da.wikipedia,Abekopper,NA,2022-07-07,4
da.wikipedia,Abekopper,Monkeypox,2022-07-07,0
da.wikipedia,Abekopper,NA,2022-07-08,2
da.wikipedia,Abekopper,NA,2022-07-09,12
da.wikipedia,Abekopper,NA,2022-07-10,9
da.wikipedia,Abekopper,NA,2022-07-11,3
da.wikipedia,Abekopper,Monkeypox,2022-07-11,0
da.wikipedia,Abekopper,NA,2022-07-12,2
da.wikipedia,Abekopper,Monkeypox,2022-07-12,1
da.wikipedia,Abekopper,NA,2022-07-13,3
da.wikipedia,Abekopper,NA,2022-07-14,11
da.wikipedia,Abekopper,NA,2022-07-15,8
da.wikipedia,Abekopper,NA,2022-07-16,8
da.wikipedia,Abekopper,NA,2022-07-17,2
da.wikipedia,Abekopper,Monkeypox,2022-07-17,0
da.wikipedia,Abekopper,NA,2022-07-18,4
da.wikipedia,Abekopper,NA,2022-07-19,2
da.wikipedia,Abekopper,NA,2022-07-20,8
da.wikipedia,Abekopper,Monkeypox,2022-07-20,0
da.wikipedia,Abekopper,NA,2022-07-21,4
da.wikipedia,Abekopper,NA,2022-07-22,16
da.wikipedia,Abekopper,NA,2022-07-23,73
da.wikipedia,Abekopper,Monkeypox,2022-07-23,0
da.wikipedia,Abekopper,NA,2022-07-24,57
da.wikipedia,Abekopper,NA,2022-07-25,44
da.wikipedia,Abekopper,Monkeypox,2022-07-25,0
da.wikipedia,Abekopper,NA,2022-07-26,19
da.wikipedia,Abekopper,NA,2022-07-27,24
da.wikipedia,Abekopper,NA,2022-07-28,18
da.wikipedia,Abekopper,Monkeypox,2022-07-28,2
da.wikipedia,Abekopper,NA,2022-07-29,61
da.wikipedia,Abekopper,NA,2022-07-30,84
da.wikipedia,Abekopper,NA,2022-07-31,68
da.wikipedia,Abekopper,NA,2022-08-01,46
da.wikipedia,Abekopper,NA,2022-08-02,67
da.wikipedia,Abekopper,NA,2022-08-03,34
da.wikipedia,Abekopper,NA,2022-08-04,36
da.wikipedia,Abekopper,Monkeypox,2022-08-04,0
da.wikipedia,Abekopper,NA,2022-08-05,50
da.wikipedia,Abekopper,NA,2022-08-06,74
da.wikipedia,Abekopper,NA,2022-08-07,50
da.wikipedia,Abekopper,Monkeypox,2022-08-07,0
da.wikipedia,Abekopper,NA,2022-08-08,95
da.wikipedia,Abekopper,Monkeypox,2022-08-08,1
da.wikipedia,Abekopper,NA,2022-08-09,103
da.wikipedia,Abekopper,NA,2022-08-10,90
da.wikipedia,Abekopper,NA,2022-08-11,62
da.wikipedia,Abekopper,NA,2022-08-12,53
da.wikipedia,Abekopper,NA,2022-08-13,56
da.wikipedia,Abekopper,Monkeypox,2022-08-13,0
da.wikipedia,Abekopper,NA,2022-08-14,25
da.wikipedia,Abekopper,NA,2022-08-15,39
da.wikipedia,Abekopper,Monkeypox,2022-08-15,0
da.wikipedia,Abekopper,NA,2022-08-16,32
da.wikipedia,Abekopper,Monkeypox,2022-08-16,0
da.wikipedia,Abekopper,NA,2022-08-17,31
da.wikipedia,Abekopper,NA,2022-08-18,48
da.wikipedia,Abekopper,Monkeypox,2022-08-18,1
da.wikipedia,Abekopper,NA,2022-08-19,53
da.wikipedia,Abekopper,NA,2022-08-20,34
da.wikipedia,Abekopper,NA,2022-08-21,15
da.wikipedia,Abekopper,NA,2022-08-22,25
da.wikipedia,Abekopper,NA,2022-08-23,15
da.wikipedia,Abekopper,Monkeypox,2022-08-23,1
da.wikipedia,Abekopper,NA,2022-08-24,17
da.wikipedia,Abekopper,NA,2022-08-25,12
da.wikipedia,Abekopper,NA,2022-08-26,8
da.wikipedia,Abekopper,NA,2022-08-27,9
da.wikipedia,Abekopper,NA,2022-08-28,8
da.wikipedia,Abekopper,Monkeypox,2022-08-28,0
da.wikipedia,Abekopper,NA,2022-08-29,15
da.wikipedia,Abekopper,NA,2022-08-30,11
da.wikipedia,Abekopper,NA,2022-08-31,9
da.wikipedia,Abekopper,NA,2022-09-01,5
da.wikipedia,Abekopper,NA,2022-09-02,4
da.wikipedia,Abekopper,NA,2022-09-03,8
da.wikipedia,Abekopper,Monkeypox,2022-09-03,0
da.wikipedia,Abekopper,NA,2022-09-04,3
da.wikipedia,Abekopper,Monkeypox,2022-09-04,0
da.wikipedia,Abekopper,NA,2022-09-05,5
da.wikipedia,Abekopper,NA,2022-09-06,8
da.wikipedia,Abekopper,Monkeypox,2022-09-06,0
da.wikipedia,Abekopper,NA,2022-09-07,10
da.wikipedia,Abekopper,Monkeypox,2022-09-07,0
da.wikipedia,Abekopper,NA,2022-09-08,6
da.wikipedia,Abekopper,NA,2022-09-09,8
