project,page_title,date,pageviews
en.wikipedia,Monkeypox_virus,2022-01-01,46
en.wikipedia,Monkeypox_virus,2022-01-02,47
en.wikipedia,Monkeypox_virus,2022-01-03,260
en.wikipedia,Monkeypox_virus,2022-01-04,103
en.wikipedia,Monkeypox_virus,2022-01-05,55
en.wikipedia,Monkeypox_virus,2022-01-06,43
en.wikipedia,Monkeypox_virus,2022-01-07,44
en.wikipedia,Monkeypox_virus,2022-01-08,30
en.wikipedia,Monkeypox_virus,2022-01-09,21
en.wikipedia,Monkeypox_virus,2022-01-10,51
en.wikipedia,Monkeypox_virus,2022-01-11,53
en.wikipedia,Monkeypox_virus,2022-01-12,57
en.wikipedia,Monkeypox_virus,2022-01-13,43
en.wikipedia,Monkeypox_virus,2022-01-14,33
en.wikipedia,Monkeypox_virus,2022-01-15,41
en.wikipedia,Monkeypox_virus,2022-01-16,28
en.wikipedia,Monkeypox_virus,2022-01-17,35
en.wikipedia,Monkeypox_virus,2022-01-18,36
en.wikipedia,Monkeypox_virus,2022-01-19,29
en.wikipedia,Monkeypox_virus,2022-01-20,39
en.wikipedia,Monkeypox_virus,2022-01-21,22
en.wikipedia,Monkeypox_virus,2022-01-22,45
en.wikipedia,Monkeypox_virus,2022-01-23,59
en.wikipedia,Monkeypox_virus,2022-01-24,49
en.wikipedia,Monkeypox_virus,2022-01-25,76
en.wikipedia,Monkeypox_virus,2022-01-26,72
en.wikipedia,Monkeypox_virus,2022-01-27,74
en.wikipedia,Monkeypox_virus,2022-01-28,45
en.wikipedia,Monkeypox_virus,2022-01-29,50
en.wikipedia,Monkeypox_virus,2022-01-30,37
en.wikipedia,Monkeypox_virus,2022-01-31,31
en.wikipedia,Monkeypox_virus,2022-02-01,38
en.wikipedia,Monkeypox_virus,2022-02-02,43
en.wikipedia,Monkeypox_virus,2022-02-03,50
en.wikipedia,Monkeypox_virus,2022-02-04,28
en.wikipedia,Monkeypox_virus,2022-02-05,70
en.wikipedia,Monkeypox_virus,2022-02-06,30
en.wikipedia,Monkeypox_virus,2022-02-07,47
en.wikipedia,Monkeypox_virus,2022-02-08,29
en.wikipedia,Monkeypox_virus,2022-02-09,44
en.wikipedia,Monkeypox_virus,2022-02-10,40
en.wikipedia,Monkeypox_virus,2022-02-11,30
en.wikipedia,Monkeypox_virus,2022-02-12,34
en.wikipedia,Monkeypox_virus,2022-02-13,33
en.wikipedia,Monkeypox_virus,2022-02-14,41
en.wikipedia,Monkeypox_virus,2022-02-15,27
en.wikipedia,Monkeypox_virus,2022-02-16,53
en.wikipedia,Monkeypox_virus,2022-02-17,39
en.wikipedia,Monkeypox_virus,2022-02-18,22
en.wikipedia,Monkeypox_virus,2022-02-19,23
en.wikipedia,Monkeypox_virus,2022-02-20,31
en.wikipedia,Monkeypox_virus,2022-02-21,32
en.wikipedia,Monkeypox_virus,2022-02-22,27
en.wikipedia,Monkeypox_virus,2022-02-23,39
en.wikipedia,Monkeypox_virus,2022-02-24,29
en.wikipedia,Monkeypox_virus,2022-02-25,23
