project,page_title,date,pageviews
he.wikipedia,נגיף_אבעבועות_הקוף,2022-08-29,44
he.wikipedia,נגיף_אבעבועות_הקוף,2022-08-30,14
he.wikipedia,נגיף_אבעבועות_הקוף,2022-08-31,9
he.wikipedia,נגיף_אבעבועות_הקוף,2022-09-01,9
he.wikipedia,נגיף_אבעבועות_הקוף,2022-09-02,11
he.wikipedia,נגיף_אבעבועות_הקוף,2022-09-03,11
he.wikipedia,נגיף_אבעבועות_הקוף,2022-09-04,10
he.wikipedia,נגיף_אבעבועות_הקוף,2022-09-05,4
he.wikipedia,נגיף_אבעבועות_הקוף,2022-09-06,5
he.wikipedia,נגיף_אבעבועות_הקוף,2022-09-07,10
he.wikipedia,נגיף_אבעבועות_הקוף,2022-09-08,5
he.wikipedia,נגיף_אבעבועות_הקוף,2022-09-09,3
he.wikipedia,נגיף_אבעבועות_הקוף,2022-09-10,1
he.wikipedia,נגיף_אבעבועות_הקוף,2022-09-11,3
he.wikipedia,נגיף_אבעבועות_הקוף,2022-09-12,3
he.wikipedia,נגיף_אבעבועות_הקוף,2022-09-13,0
he.wikipedia,נגיף_אבעבועות_הקוף,2022-09-14,5
he.wikipedia,נגיף_אבעבועות_הקוף,2022-09-15,1
he.wikipedia,נגיף_אבעבועות_הקוף,2022-09-16,0
he.wikipedia,נגיף_אבעבועות_הקוף,2022-09-17,4
he.wikipedia,נגיף_אבעבועות_הקוף,2022-09-18,8
he.wikipedia,נגיף_אבעבועות_הקוף,2022-09-19,4
he.wikipedia,נגיף_אבעבועות_הקוף,2022-09-20,2
he.wikipedia,נגיף_אבעבועות_הקוף,2022-09-22,8
he.wikipedia,נגיף_אבעבועות_הקוף,2022-09-23,11
he.wikipedia,נגיף_אבעבועות_הקוף,2022-09-24,9
he.wikipedia,נגיף_אבעבועות_הקוף,2022-09-25,4
he.wikipedia,נגיף_אבעבועות_הקוף,2022-09-26,7
he.wikipedia,נגיף_אבעבועות_הקוף,2022-09-27,10
he.wikipedia,נגיף_אבעבועות_הקוף,2022-09-28,8
he.wikipedia,נגיף_אבעבועות_הקוף,2022-09-29,3
he.wikipedia,נגיף_אבעבועות_הקוף,2022-09-30,7
he.wikipedia,נגיף_אבעבועות_הקוף,2022-10-01,7
he.wikipedia,נגיף_אבעבועות_הקוף,2022-10-02,2
he.wikipedia,נגיף_אבעבועות_הקוף,2022-10-03,4
he.wikipedia,נגיף_אבעבועות_הקוף,2022-10-04,4
he.wikipedia,נגיף_אבעבועות_הקוף,2022-10-05,1
he.wikipedia,נגיף_אבעבועות_הקוף,2022-10-06,7
he.wikipedia,נגיף_אבעבועות_הקוף,2022-10-07,4
he.wikipedia,נגיף_אבעבועות_הקוף,2022-10-08,4
he.wikipedia,נגיף_אבעבועות_הקוף,2022-10-09,3
he.wikipedia,נגיף_אבעבועות_הקוף,2022-10-10,7
he.wikipedia,נגיף_אבעבועות_הקוף,2022-10-11,5
he.wikipedia,נגיף_אבעבועות_הקוף,2022-10-12,5
he.wikipedia,נגיף_אבעבועות_הקוף,2022-10-13,4
he.wikipedia,נגיף_אבעבועות_הקוף,2022-10-15,10
he.wikipedia,נגיף_אבעבועות_הקוף,2022-10-17,1
he.wikipedia,נגיף_אבעבועות_הקוף,2022-10-18,2
he.wikipedia,נגיף_אבעבועות_הקוף,2022-10-19,3
he.wikipedia,נגיף_אבעבועות_הקוף,2022-10-20,0
he.wikipedia,נגיף_אבעבועות_הקוף,2022-10-21,2
he.wikipedia,נגיף_אבעבועות_הקוף,2022-10-22,0
he.wikipedia,נגיף_אבעבועות_הקוף,2022-10-23,1
he.wikipedia,נגיף_אבעבועות_הקוף,2022-10-24,2
he.wikipedia,נגיף_אבעבועות_הקוף,2022-10-25,1
he.wikipedia,נגיף_אבעבועות_הקוף,2022-10-26,2
he.wikipedia,נגיף_אבעבועות_הקוף,2022-10-27,0
he.wikipedia,נגיף_אבעבועות_הקוף,2022-10-28,0
he.wikipedia,נגיף_אבעבועות_הקוף,2022-10-29,0
he.wikipedia,נגיף_אבעבועות_הקוף,2022-10-30,0
he.wikipedia,נגיף_אבעבועות_הקוף,2022-10-31,1
he.wikipedia,נגיף_אבעבועות_הקוף,2022-11-03,0
he.wikipedia,נגיף_אבעבועות_הקוף,2022-11-04,1
he.wikipedia,נגיף_אבעבועות_הקוף,2022-11-05,3
he.wikipedia,נגיף_אבעבועות_הקוף,2022-11-06,1
he.wikipedia,נגיף_אבעבועות_הקוף,2022-11-08,0
he.wikipedia,נגיף_אבעבועות_הקוף,2022-11-09,0
he.wikipedia,נגיף_אבעבועות_הקוף,2022-11-10,0
he.wikipedia,נגיף_אבעבועות_הקוף,2022-11-11,0
he.wikipedia,נגיף_אבעבועות_הקוף,2022-11-12,0
he.wikipedia,נגיף_אבעבועות_הקוף,2022-11-14,3
he.wikipedia,נגיף_אבעבועות_הקוף,2022-11-16,0
he.wikipedia,נגיף_אבעבועות_הקוף,2022-11-17,2
he.wikipedia,נגיף_אבעבועות_הקוף,2022-11-18,0
he.wikipedia,נגיף_אבעבועות_הקוף,2022-11-19,1
he.wikipedia,נגיף_אבעבועות_הקוף,2022-11-20,0
he.wikipedia,נגיף_אבעבועות_הקוף,2022-11-21,2
he.wikipedia,נגיף_אבעבועות_הקוף,2022-11-22,1
he.wikipedia,נגיף_אבעבועות_הקוף,2022-11-23,5
he.wikipedia,נגיף_אבעבועות_הקוף,2022-11-24,0
he.wikipedia,נגיף_אבעבועות_הקוף,2022-11-25,2
he.wikipedia,נגיף_אבעבועות_הקוף,2022-11-26,0
he.wikipedia,נגיף_אבעבועות_הקוף,2022-11-27,0
he.wikipedia,נגיף_אבעבועות_הקוף,2022-11-28,0
he.wikipedia,נגיף_אבעבועות_הקוף,2022-11-29,0
he.wikipedia,נגיף_אבעבועות_הקוף,2022-11-30,1
he.wikipedia,נגיף_אבעבועות_הקוף,2022-12-01,1
he.wikipedia,נגיף_אבעבועות_הקוף,2022-12-03,0
he.wikipedia,נגיף_אבעבועות_הקוף,2022-12-04,1
he.wikipedia,נגיף_אבעבועות_הקוף,2022-12-05,0
he.wikipedia,נגיף_אבעבועות_הקוף,2022-12-07,0
he.wikipedia,נגיף_אבעבועות_הקוף,2022-12-08,2
he.wikipedia,נגיף_אבעבועות_הקוף,2022-12-09,0
he.wikipedia,נגיף_אבעבועות_הקוף,2022-12-10,0
he.wikipedia,נגיף_אבעבועות_הקוף,2022-12-11,0
he.wikipedia,נגיף_אבעבועות_הקוף,2022-12-12,2
he.wikipedia,נגיף_אבעבועות_הקוף,2022-12-13,1
he.wikipedia,נגיף_אבעבועות_הקוף,2022-12-16,0
he.wikipedia,נגיף_אבעבועות_הקוף,2022-12-18,1
he.wikipedia,נגיף_אבעבועות_הקוף,2022-12-20,2
he.wikipedia,נגיף_אבעבועות_הקוף,2022-12-21,0
he.wikipedia,נגיף_אבעבועות_הקוף,2022-12-22,1
he.wikipedia,נגיף_אבעבועות_הקוף,2022-12-23,1
he.wikipedia,נגיף_אבעבועות_הקוף,2022-12-24,1
he.wikipedia,נגיף_אבעבועות_הקוף,2022-12-25,1
he.wikipedia,נגיף_אבעבועות_הקוף,2022-12-27,0
he.wikipedia,נגיף_אבעבועות_הקוף,2022-12-30,0
he.wikipedia,נגיף_אבעבועות_הקוף,2022-12-31,0
