project,page_title,date,pageviews
hr.wikipedia,Majmunske_boginje,2022-07-31,17
hr.wikipedia,Majmunske_boginje,2022-08-01,39
hr.wikipedia,Majmunske_boginje,2022-08-02,23
hr.wikipedia,Majmunske_boginje,2022-08-03,20
hr.wikipedia,Majmunske_boginje,2022-08-04,15
hr.wikipedia,Majmunske_boginje,2022-08-05,7
hr.wikipedia,Majmunske_boginje,2022-08-06,6
hr.wikipedia,Majmunske_boginje,2022-08-07,8
hr.wikipedia,Majmunske_boginje,2022-08-08,6
hr.wikipedia,Majmunske_boginje,2022-08-09,10
hr.wikipedia,Majmunske_boginje,2022-08-10,7
hr.wikipedia,Majmunske_boginje,2022-08-11,13
hr.wikipedia,Majmunske_boginje,2022-08-12,9
hr.wikipedia,Majmunske_boginje,2022-08-13,6
hr.wikipedia,Majmunske_boginje,2022-08-14,9
hr.wikipedia,Majmunske_boginje,2022-08-15,4
hr.wikipedia,Majmunske_boginje,2022-08-16,8
hr.wikipedia,Majmunske_boginje,2022-08-17,6
hr.wikipedia,Majmunske_boginje,2022-08-18,12
hr.wikipedia,Majmunske_boginje,2022-08-19,17
hr.wikipedia,Majmunske_boginje,2022-08-20,7
hr.wikipedia,Majmunske_boginje,2022-08-21,5
hr.wikipedia,Majmunske_boginje,2022-08-22,7
hr.wikipedia,Majmunske_boginje,2022-08-23,8
hr.wikipedia,Majmunske_boginje,2022-08-24,10
hr.wikipedia,Majmunske_boginje,2022-08-25,9
hr.wikipedia,Majmunske_boginje,2022-08-26,14
hr.wikipedia,Majmunske_boginje,2022-08-27,7
hr.wikipedia,Majmunske_boginje,2022-08-28,8
hr.wikipedia,Majmunske_boginje,2022-08-29,7
hr.wikipedia,Majmunske_boginje,2022-08-30,6
hr.wikipedia,Majmunske_boginje,2022-08-31,6
hr.wikipedia,Majmunske_boginje,2022-09-01,2
hr.wikipedia,Majmunske_boginje,2022-09-02,5
hr.wikipedia,Majmunske_boginje,2022-09-03,2
hr.wikipedia,Majmunske_boginje,2022-09-04,5
hr.wikipedia,Majmunske_boginje,2022-09-05,2
hr.wikipedia,Majmunske_boginje,2022-09-06,5
hr.wikipedia,Majmunske_boginje,2022-09-07,2
hr.wikipedia,Majmunske_boginje,2022-09-08,3
