project,page_title,date,pageviews
io.wikipedia,Simio-variolo,2022-05-29,12
io.wikipedia,Simio-variolo,2022-05-30,1
io.wikipedia,Simio-variolo,2022-05-31,0
io.wikipedia,Simio-variolo,2022-06-01,2
io.wikipedia,Simio-variolo,2022-06-02,1
io.wikipedia,Simio-variolo,2022-06-03,0
io.wikipedia,Simio-variolo,2022-06-05,0
io.wikipedia,Simio-variolo,2022-06-06,0
io.wikipedia,Simio-variolo,2022-06-08,0
io.wikipedia,Simio-variolo,2022-06-09,0
io.wikipedia,Simio-variolo,2022-06-10,0
io.wikipedia,Simio-variolo,2022-06-11,0
io.wikipedia,Simio-variolo,2022-06-12,1
io.wikipedia,Simio-variolo,2022-06-13,0
io.wikipedia,Simio-variolo,2022-06-14,1
io.wikipedia,Simio-variolo,2022-06-15,1
io.wikipedia,Simio-variolo,2022-06-18,3
io.wikipedia,Simio-variolo,2022-06-22,0
io.wikipedia,Simio-variolo,2022-06-23,0
io.wikipedia,Simio-variolo,2022-06-24,0
io.wikipedia,Simio-variolo,2022-06-25,0
io.wikipedia,Simio-variolo,2022-06-26,0
io.wikipedia,Simio-variolo,2022-06-27,0
io.wikipedia,Simio-variolo,2022-06-28,1
io.wikipedia,Simio-variolo,2022-06-29,1
io.wikipedia,Simio-variolo,2022-06-30,0
io.wikipedia,Simio-variolo,2022-07-01,0
io.wikipedia,Simio-variolo,2022-07-02,1
io.wikipedia,Simio-variolo,2022-07-03,0
io.wikipedia,Simio-variolo,2022-07-04,4
io.wikipedia,Simio-variolo,2022-07-05,1
io.wikipedia,Simio-variolo,2022-07-07,0
io.wikipedia,Simio-variolo,2022-07-08,1
io.wikipedia,Simio-variolo,2022-07-10,0
io.wikipedia,Simio-variolo,2022-07-11,1
io.wikipedia,Simio-variolo,2022-07-12,0
io.wikipedia,Simio-variolo,2022-07-13,0
io.wikipedia,Simio-variolo,2022-07-16,0
io.wikipedia,Simio-variolo,2022-07-17,0
io.wikipedia,Simio-variolo,2022-07-18,0
io.wikipedia,Simio-variolo,2022-07-19,0
io.wikipedia,Simio-variolo,2022-07-22,0
io.wikipedia,Simio-variolo,2022-07-23,4
io.wikipedia,Simio-variolo,2022-07-25,0
io.wikipedia,Simio-variolo,2022-07-26,0
io.wikipedia,Simio-variolo,2022-07-27,1
io.wikipedia,Simio-variolo,2022-07-28,0
io.wikipedia,Simio-variolo,2022-07-29,0
io.wikipedia,Simio-variolo,2022-07-30,2
io.wikipedia,Simio-variolo,2022-07-31,0
io.wikipedia,Simio-variolo,2022-08-01,1
io.wikipedia,Simio-variolo,2022-08-02,0
io.wikipedia,Simio-variolo,2022-08-04,0
io.wikipedia,Simio-variolo,2022-08-05,1
io.wikipedia,Simio-variolo,2022-08-06,0
io.wikipedia,Simio-variolo,2022-08-07,0
io.wikipedia,Simio-variolo,2022-08-11,0
io.wikipedia,Simio-variolo,2022-08-12,0
io.wikipedia,Simio-variolo,2022-08-13,0
io.wikipedia,Simio-variolo,2022-08-14,0
io.wikipedia,Simio-variolo,2022-08-15,0
io.wikipedia,Simio-variolo,2022-08-16,0
io.wikipedia,Simio-variolo,2022-08-17,0
io.wikipedia,Simio-variolo,2022-08-19,0
io.wikipedia,Simio-variolo,2022-08-22,0
io.wikipedia,Simio-variolo,2022-08-23,4
io.wikipedia,Simio-variolo,2022-08-24,4
io.wikipedia,Simio-variolo,2022-08-25,4
