project,page_title,date,pageviews
it.wikipedia,Monkeypox_virus,2022-05-20,344
it.wikipedia,Monkeypox_virus,2022-05-21,410
it.wikipedia,Monkeypox_virus,2022-05-22,663
it.wikipedia,Monkeypox_virus,2022-05-23,913
it.wikipedia,Monkeypox_virus,2022-05-24,812
it.wikipedia,Monkeypox_virus,2022-05-25,449
it.wikipedia,Monkeypox_virus,2022-05-26,375
it.wikipedia,Monkeypox_virus,2022-05-27,403
it.wikipedia,Monkeypox_virus,2022-05-28,286
it.wikipedia,Monkeypox_virus,2022-05-29,167
it.wikipedia,Monkeypox_virus,2022-05-30,180
it.wikipedia,Monkeypox_virus,2022-05-31,162
it.wikipedia,Monkeypox_virus,2022-06-01,141
it.wikipedia,Monkeypox_virus,2022-06-02,129
it.wikipedia,Monkeypox_virus,2022-06-03,103
it.wikipedia,Monkeypox_virus,2022-06-04,70
it.wikipedia,Monkeypox_virus,2022-06-05,47
it.wikipedia,Monkeypox_virus,2022-06-06,46
it.wikipedia,Monkeypox_virus,2022-06-07,45
it.wikipedia,Monkeypox_virus,2022-06-08,29
it.wikipedia,Monkeypox_virus,2022-06-09,39
it.wikipedia,Monkeypox_virus,2022-06-10,20
it.wikipedia,Monkeypox_virus,2022-06-11,36
it.wikipedia,Monkeypox_virus,2022-06-12,33
it.wikipedia,Monkeypox_virus,2022-06-13,19
it.wikipedia,Monkeypox_virus,2022-06-14,39
it.wikipedia,Monkeypox_virus,2022-06-15,53
it.wikipedia,Monkeypox_virus,2022-06-16,36
it.wikipedia,Monkeypox_virus,2022-06-17,23
it.wikipedia,Monkeypox_virus,2022-06-18,21
it.wikipedia,Monkeypox_virus,2022-06-19,12
it.wikipedia,Monkeypox_virus,2022-06-20,15
it.wikipedia,Monkeypox_virus,2022-06-21,20
it.wikipedia,Monkeypox_virus,2022-06-22,21
it.wikipedia,Monkeypox_virus,2022-06-23,19
it.wikipedia,Monkeypox_virus,2022-06-24,17
it.wikipedia,Monkeypox_virus,2022-06-25,14
it.wikipedia,Monkeypox_virus,2022-06-26,21
it.wikipedia,Monkeypox_virus,2022-06-27,24
it.wikipedia,Monkeypox_virus,2022-06-28,22
it.wikipedia,Monkeypox_virus,2022-06-29,28
it.wikipedia,Monkeypox_virus,2022-06-30,30
it.wikipedia,Monkeypox_virus,2022-07-01,20
it.wikipedia,Monkeypox_virus,2022-07-02,16
it.wikipedia,Monkeypox_virus,2022-07-03,9
it.wikipedia,Monkeypox_virus,2022-07-04,34
it.wikipedia,Monkeypox_virus,2022-07-05,14
it.wikipedia,Monkeypox_virus,2022-07-06,14
it.wikipedia,Monkeypox_virus,2022-07-07,32
it.wikipedia,Monkeypox_virus,2022-07-08,20
it.wikipedia,Monkeypox_virus,2022-07-09,17
it.wikipedia,Monkeypox_virus,2022-07-10,9
it.wikipedia,Monkeypox_virus,2022-07-11,16
it.wikipedia,Monkeypox_virus,2022-07-12,13
it.wikipedia,Monkeypox_virus,2022-07-13,12
it.wikipedia,Monkeypox_virus,2022-07-14,12
it.wikipedia,Monkeypox_virus,2022-07-15,13
it.wikipedia,Monkeypox_virus,2022-07-16,17
it.wikipedia,Monkeypox_virus,2022-07-17,16
it.wikipedia,Monkeypox_virus,2022-07-18,28
it.wikipedia,Monkeypox_virus,2022-07-19,19
it.wikipedia,Monkeypox_virus,2022-07-20,21
it.wikipedia,Monkeypox_virus,2022-07-21,23
it.wikipedia,Monkeypox_virus,2022-07-22,21
it.wikipedia,Monkeypox_virus,2022-07-23,199
it.wikipedia,Monkeypox_virus,2022-07-24,154
it.wikipedia,Monkeypox_virus,2022-07-25,127
it.wikipedia,Monkeypox_virus,2022-07-26,85
it.wikipedia,Monkeypox_virus,2022-07-27,69
it.wikipedia,Monkeypox_virus,2022-07-28,64
it.wikipedia,Monkeypox_virus,2022-07-29,95
it.wikipedia,Monkeypox_virus,2022-07-30,122
it.wikipedia,Monkeypox_virus,2022-07-31,108
it.wikipedia,Monkeypox_virus,2022-08-01,70
it.wikipedia,Monkeypox_virus,2022-08-02,65
it.wikipedia,Monkeypox_virus,2022-08-03,101
it.wikipedia,Monkeypox_virus,2022-08-04,92
it.wikipedia,Monkeypox_virus,2022-08-05,81
it.wikipedia,Monkeypox_virus,2022-08-06,119
it.wikipedia,Monkeypox_virus,2022-08-07,68
it.wikipedia,Monkeypox_virus,2022-08-08,70
it.wikipedia,Monkeypox_virus,2022-08-09,123
it.wikipedia,Monkeypox_virus,2022-08-10,55
it.wikipedia,Monkeypox_virus,2022-08-11,62
it.wikipedia,Monkeypox_virus,2022-08-12,34
it.wikipedia,Monkeypox_virus,2022-08-13,24
it.wikipedia,Monkeypox_virus,2022-08-14,24
it.wikipedia,Monkeypox_virus,2022-08-15,21
it.wikipedia,Monkeypox_virus,2022-08-16,29
it.wikipedia,Monkeypox_virus,2022-08-17,21
it.wikipedia,Monkeypox_virus,2022-08-18,33
it.wikipedia,Monkeypox_virus,2022-08-19,31
it.wikipedia,Monkeypox_virus,2022-08-20,11
it.wikipedia,Monkeypox_virus,2022-08-21,33
it.wikipedia,Monkeypox_virus,2022-08-22,25
it.wikipedia,Monkeypox_virus,2022-08-23,111
it.wikipedia,Monkeypox_virus,2022-08-24,74
it.wikipedia,Monkeypox_virus,2022-08-25,47
it.wikipedia,Monkeypox_virus,2022-08-26,43
it.wikipedia,Monkeypox_virus,2022-08-27,22
it.wikipedia,Monkeypox_virus,2022-08-28,12
it.wikipedia,Monkeypox_virus,2022-08-29,22
it.wikipedia,Monkeypox_virus,2022-08-30,31
it.wikipedia,Monkeypox_virus,2022-08-31,20
it.wikipedia,Monkeypox_virus,2022-09-01,11
it.wikipedia,Monkeypox_virus,2022-09-02,17
it.wikipedia,Monkeypox_virus,2022-09-03,13
it.wikipedia,Monkeypox_virus,2022-09-04,13
it.wikipedia,Monkeypox_virus,2022-09-05,13
it.wikipedia,Monkeypox_virus,2022-09-06,17
it.wikipedia,Monkeypox_virus,2022-09-07,10
it.wikipedia,Monkeypox_virus,2022-09-08,11
it.wikipedia,Monkeypox_virus,2022-09-09,15
it.wikipedia,Monkeypox_virus,2022-09-10,10
it.wikipedia,Monkeypox_virus,2022-09-11,8
it.wikipedia,Monkeypox_virus,2022-09-12,9
it.wikipedia,Monkeypox_virus,2022-09-13,8
it.wikipedia,Monkeypox_virus,2022-09-14,4
it.wikipedia,Monkeypox_virus,2022-09-15,9
it.wikipedia,Monkeypox_virus,2022-09-16,7
it.wikipedia,Monkeypox_virus,2022-09-17,7
it.wikipedia,Monkeypox_virus,2022-09-18,14
it.wikipedia,Monkeypox_virus,2022-09-19,3
it.wikipedia,Monkeypox_virus,2022-09-20,8
it.wikipedia,Monkeypox_virus,2022-09-21,6
it.wikipedia,Monkeypox_virus,2022-09-22,7
it.wikipedia,Monkeypox_virus,2022-09-23,2
it.wikipedia,Monkeypox_virus,2022-09-24,11
it.wikipedia,Monkeypox_virus,2022-09-25,15
it.wikipedia,Monkeypox_virus,2022-09-26,5
it.wikipedia,Monkeypox_virus,2022-09-27,3
it.wikipedia,Monkeypox_virus,2022-09-28,3
it.wikipedia,Monkeypox_virus,2022-09-29,6
it.wikipedia,Monkeypox_virus,2022-09-30,3
it.wikipedia,Monkeypox_virus,2022-10-01,4
it.wikipedia,Monkeypox_virus,2022-10-02,2
it.wikipedia,Monkeypox_virus,2022-10-03,3
it.wikipedia,Monkeypox_virus,2022-10-04,5
it.wikipedia,Monkeypox_virus,2022-10-05,4
it.wikipedia,Monkeypox_virus,2022-10-06,5
it.wikipedia,Monkeypox_virus,2022-10-07,1
it.wikipedia,Monkeypox_virus,2022-10-08,6
it.wikipedia,Monkeypox_virus,2022-10-09,12
it.wikipedia,Monkeypox_virus,2022-10-10,8
it.wikipedia,Monkeypox_virus,2022-10-11,5
it.wikipedia,Monkeypox_virus,2022-10-12,8
it.wikipedia,Monkeypox_virus,2022-10-13,3
it.wikipedia,Monkeypox_virus,2022-10-14,1
it.wikipedia,Monkeypox_virus,2022-10-15,7
it.wikipedia,Monkeypox_virus,2022-10-16,2
it.wikipedia,Monkeypox_virus,2022-10-17,5
it.wikipedia,Monkeypox_virus,2022-10-18,7
it.wikipedia,Monkeypox_virus,2022-10-19,7
it.wikipedia,Monkeypox_virus,2022-10-20,7
it.wikipedia,Monkeypox_virus,2022-10-21,10
it.wikipedia,Monkeypox_virus,2022-10-22,1
it.wikipedia,Monkeypox_virus,2022-10-23,3
it.wikipedia,Monkeypox_virus,2022-10-24,2
it.wikipedia,Monkeypox_virus,2022-10-25,7
it.wikipedia,Monkeypox_virus,2022-10-26,1
it.wikipedia,Monkeypox_virus,2022-10-27,9
it.wikipedia,Monkeypox_virus,2022-10-28,5
it.wikipedia,Monkeypox_virus,2022-10-29,6
it.wikipedia,Monkeypox_virus,2022-10-30,2
it.wikipedia,Monkeypox_virus,2022-10-31,3
it.wikipedia,Monkeypox_virus,2022-11-01,3
it.wikipedia,Monkeypox_virus,2022-11-02,5
it.wikipedia,Monkeypox_virus,2022-11-03,4
it.wikipedia,Monkeypox_virus,2022-11-04,1
it.wikipedia,Monkeypox_virus,2022-11-05,4
it.wikipedia,Monkeypox_virus,2022-11-06,1
it.wikipedia,Monkeypox_virus,2022-11-07,5
it.wikipedia,Monkeypox_virus,2022-11-08,4
