project,page_title,date,pageviews
ka.wikipedia,მაიმუნის_ყვავილი,2022-05-23,907
ka.wikipedia,მაიმუნის_ყვავილი,2022-05-24,1169
ka.wikipedia,მაიმუნის_ყვავილი,2022-05-25,574
ka.wikipedia,მაიმუნის_ყვავილი,2022-05-26,250
ka.wikipedia,მაიმუნის_ყვავილი,2022-05-27,279
ka.wikipedia,მაიმუნის_ყვავილი,2022-05-28,148
ka.wikipedia,მაიმუნის_ყვავილი,2022-05-29,216
ka.wikipedia,მაიმუნის_ყვავილი,2022-05-30,227
ka.wikipedia,მაიმუნის_ყვავილი,2022-05-31,259
ka.wikipedia,მაიმუნის_ყვავილი,2022-06-01,197
ka.wikipedia,მაიმუნის_ყვავილი,2022-06-02,259
ka.wikipedia,მაიმუნის_ყვავილი,2022-06-03,178
ka.wikipedia,მაიმუნის_ყვავილი,2022-06-04,145
ka.wikipedia,მაიმუნის_ყვავილი,2022-06-05,144
ka.wikipedia,მაიმუნის_ყვავილი,2022-06-06,435
ka.wikipedia,მაიმუნის_ყვავილი,2022-06-07,684
ka.wikipedia,მაიმუნის_ყვავილი,2022-06-08,319
ka.wikipedia,მაიმუნის_ყვავილი,2022-06-09,212
ka.wikipedia,მაიმუნის_ყვავილი,2022-06-10,161
ka.wikipedia,მაიმუნის_ყვავილი,2022-06-11,121
ka.wikipedia,მაიმუნის_ყვავილი,2022-06-12,84
ka.wikipedia,მაიმუნის_ყვავილი,2022-06-13,123
ka.wikipedia,მაიმუნის_ყვავილი,2022-06-14,137
ka.wikipedia,მაიმუნის_ყვავილი,2022-06-15,2370
ka.wikipedia,მაიმუნის_ყვავილი,2022-06-16,935
ka.wikipedia,მაიმუნის_ყვავილი,2022-06-17,225
ka.wikipedia,მაიმუნის_ყვავილი,2022-06-18,203
ka.wikipedia,მაიმუნის_ყვავილი,2022-06-19,222
ka.wikipedia,მაიმუნის_ყვავილი,2022-06-20,206
ka.wikipedia,მაიმუნის_ყვავილი,2022-06-21,156
ka.wikipedia,მაიმუნის_ყვავილი,2022-06-22,162
ka.wikipedia,მაიმუნის_ყვავილი,2022-06-23,143
ka.wikipedia,მაიმუნის_ყვავილი,2022-06-24,123
ka.wikipedia,მაიმუნის_ყვავილი,2022-06-25,119
ka.wikipedia,მაიმუნის_ყვავილი,2022-06-26,124
ka.wikipedia,მაიმუნის_ყვავილი,2022-06-27,94
ka.wikipedia,მაიმუნის_ყვავილი,2022-06-28,115
ka.wikipedia,მაიმუნის_ყვავილი,2022-06-29,105
ka.wikipedia,მაიმუნის_ყვავილი,2022-06-30,81
ka.wikipedia,მაიმუნის_ყვავილი,2022-07-01,97
ka.wikipedia,მაიმუნის_ყვავილი,2022-07-02,74
ka.wikipedia,მაიმუნის_ყვავილი,2022-07-03,72
ka.wikipedia,მაიმუნის_ყვავილი,2022-07-04,95
ka.wikipedia,მაიმუნის_ყვავილი,2022-07-05,67
ka.wikipedia,მაიმუნის_ყვავილი,2022-07-06,73
ka.wikipedia,მაიმუნის_ყვავილი,2022-07-07,67
ka.wikipedia,მაიმუნის_ყვავილი,2022-07-08,74
ka.wikipedia,მაიმუნის_ყვავილი,2022-07-09,94
ka.wikipedia,მაიმუნის_ყვავილი,2022-07-10,69
ka.wikipedia,მაიმუნის_ყვავილი,2022-07-11,83
ka.wikipedia,მაიმუნის_ყვავილი,2022-07-12,81
ka.wikipedia,მაიმუნის_ყვავილი,2022-07-13,74
ka.wikipedia,მაიმუნის_ყვავილი,2022-07-14,57
ka.wikipedia,მაიმუნის_ყვავილი,2022-07-15,57
ka.wikipedia,მაიმუნის_ყვავილი,2022-07-16,60
ka.wikipedia,მაიმუნის_ყვავილი,2022-07-17,69
ka.wikipedia,მაიმუნის_ყვავილი,2022-07-18,60
ka.wikipedia,მაიმუნის_ყვავილი,2022-07-19,59
ka.wikipedia,მაიმუნის_ყვავილი,2022-07-20,55
ka.wikipedia,მაიმუნის_ყვავილი,2022-07-21,61
ka.wikipedia,მაიმუნის_ყვავილი,2022-07-22,39
ka.wikipedia,მაიმუნის_ყვავილი,2022-07-23,157
ka.wikipedia,მაიმუნის_ყვავილი,2022-07-24,303
ka.wikipedia,მაიმუნის_ყვავილი,2022-07-25,205
ka.wikipedia,მაიმუნის_ყვავილი,2022-07-26,117
ka.wikipedia,მაიმუნის_ყვავილი,2022-07-27,84
ka.wikipedia,მაიმუნის_ყვავილი,2022-07-28,119
ka.wikipedia,მაიმუნის_ყვავილი,2022-07-29,85
ka.wikipedia,მაიმუნის_ყვავილი,2022-07-30,119
ka.wikipedia,მაიმუნის_ყვავილი,2022-07-31,159
ka.wikipedia,მაიმუნის_ყვავილი,2022-08-01,125
ka.wikipedia,მაიმუნის_ყვავილი,2022-08-02,115
ka.wikipedia,მაიმუნის_ყვავილი,2022-08-03,117
ka.wikipedia,მაიმუნის_ყვავილი,2022-08-04,95
ka.wikipedia,მაიმუნის_ყვავილი,2022-08-05,144
ka.wikipedia,მაიმუნის_ყვავილი,2022-08-06,80
ka.wikipedia,მაიმუნის_ყვავილი,2022-08-07,97
ka.wikipedia,მაიმუნის_ყვავილი,2022-08-08,79
ka.wikipedia,მაიმუნის_ყვავილი,2022-08-09,43
ka.wikipedia,მაიმუნის_ყვავილი,2022-08-10,68
ka.wikipedia,მაიმუნის_ყვავილი,2022-08-11,61
ka.wikipedia,მაიმუნის_ყვავილი,2022-08-12,51
ka.wikipedia,მაიმუნის_ყვავილი,2022-08-13,48
ka.wikipedia,მაიმუნის_ყვავილი,2022-08-14,51
ka.wikipedia,მაიმუნის_ყვავილი,2022-08-15,66
ka.wikipedia,მაიმუნის_ყვავილი,2022-08-16,50
ka.wikipedia,მაიმუნის_ყვავილი,2022-08-17,36
ka.wikipedia,მაიმუნის_ყვავილი,2022-08-18,51
ka.wikipedia,მაიმუნის_ყვავილი,2022-08-19,27
ka.wikipedia,მაიმუნის_ყვავილი,2022-08-20,31
ka.wikipedia,მაიმუნის_ყვავილი,2022-08-21,35
ka.wikipedia,მაიმუნის_ყვავილი,2022-08-22,27
ka.wikipedia,მაიმუნის_ყვავილი,2022-08-23,39
ka.wikipedia,მაიმუნის_ყვავილი,2022-08-24,50
ka.wikipedia,მაიმუნის_ყვავილი,2022-08-25,32
ka.wikipedia,მაიმუნის_ყვავილი,2022-08-26,40
ka.wikipedia,მაიმუნის_ყვავილი,2022-08-27,22
ka.wikipedia,მაიმუნის_ყვავილი,2022-08-28,25
ka.wikipedia,მაიმუნის_ყვავილი,2022-08-29,27
ka.wikipedia,მაიმუნის_ყვავილი,2022-08-30,17
ka.wikipedia,მაიმუნის_ყვავილი,2022-08-31,41
ka.wikipedia,მაიმუნის_ყვავილი,2022-09-01,19
ka.wikipedia,მაიმუნის_ყვავილი,2022-09-02,10
ka.wikipedia,მაიმუნის_ყვავილი,2022-09-03,20
ka.wikipedia,მაიმუნის_ყვავილი,2022-09-04,14
ka.wikipedia,მაიმუნის_ყვავილი,2022-09-05,16
ka.wikipedia,მაიმუნის_ყვავილი,2022-09-06,14
ka.wikipedia,მაიმუნის_ყვავილი,2022-09-07,8
ka.wikipedia,მაიმუნის_ყვავილი,2022-09-08,15
ka.wikipedia,მაიმუნის_ყვავილი,2022-09-09,23
ka.wikipedia,მაიმუნის_ყვავილი,2022-09-10,7
ka.wikipedia,მაიმუნის_ყვავილი,2022-09-11,18
ka.wikipedia,მაიმუნის_ყვავილი,2022-09-12,15
ka.wikipedia,მაიმუნის_ყვავილი,2022-09-13,21
ka.wikipedia,მაიმუნის_ყვავილი,2022-09-14,14
ka.wikipedia,მაიმუნის_ყვავილი,2022-09-15,13
ka.wikipedia,მაიმუნის_ყვავილი,2022-09-16,18
ka.wikipedia,მაიმუნის_ყვავილი,2022-09-17,9
ka.wikipedia,მაიმუნის_ყვავილი,2022-09-18,11
ka.wikipedia,მაიმუნის_ყვავილი,2022-09-19,18
ka.wikipedia,მაიმუნის_ყვავილი,2022-09-20,12
ka.wikipedia,მაიმუნის_ყვავილი,2022-09-21,18
