project,page_title,date,pageviews
kk.wikipedia,Ұшық,2022-01-01,26
kk.wikipedia,Ұшық,2022-01-02,24
kk.wikipedia,Ұшық,2022-01-03,17
kk.wikipedia,Ұшық,2022-01-04,33
kk.wikipedia,Ұшық,2022-01-05,5
kk.wikipedia,Ұшық,2022-01-06,1
kk.wikipedia,Ұшық,2022-01-07,1
kk.wikipedia,Ұшық,2022-01-08,8
kk.wikipedia,Ұшық,2022-01-09,2
kk.wikipedia,Ұшық,2022-01-10,13
kk.wikipedia,Ұшық,2022-01-11,27
kk.wikipedia,Ұшық,2022-01-12,25
kk.wikipedia,Ұшық,2022-01-13,23
kk.wikipedia,Ұшық,2022-01-14,27
kk.wikipedia,Ұшық,2022-01-15,25
kk.wikipedia,Ұшық,2022-01-16,24
kk.wikipedia,Ұшық,2022-01-17,26
kk.wikipedia,Ұшық,2022-01-18,22
kk.wikipedia,Ұшық,2022-01-19,26
kk.wikipedia,Ұшық,2022-01-20,28
kk.wikipedia,Ұшық,2022-01-21,31
kk.wikipedia,Ұшық,2022-01-22,26
kk.wikipedia,Ұшық,2022-01-23,18
kk.wikipedia,Ұшық,2022-01-24,27
kk.wikipedia,Ұшық,2022-01-25,52
kk.wikipedia,Ұшық,2022-01-26,50
kk.wikipedia,Ұшық,2022-01-27,40
kk.wikipedia,Ұшық,2022-01-28,28
kk.wikipedia,Ұшық,2022-01-29,20
kk.wikipedia,Ұшық,2022-01-30,30
kk.wikipedia,Ұшық,2022-01-31,48
kk.wikipedia,Ұшық,2022-02-01,44
kk.wikipedia,Ұшық,2022-02-02,46
kk.wikipedia,Ұшық,2022-02-03,31
kk.wikipedia,Ұшық,2022-02-04,25
kk.wikipedia,Ұшық,2022-02-05,26
kk.wikipedia,Ұшық,2022-02-06,29
kk.wikipedia,Ұшық,2022-02-07,42
kk.wikipedia,Ұшық,2022-02-08,48
kk.wikipedia,Ұшық,2022-02-09,50
kk.wikipedia,Ұшық,2022-02-10,49
kk.wikipedia,Ұшық,2022-02-11,27
kk.wikipedia,Ұшық,2022-02-12,17
kk.wikipedia,Ұшық,2022-02-13,25
kk.wikipedia,Ұшық,2022-02-14,28
kk.wikipedia,Ұшық,2022-02-15,30
kk.wikipedia,Ұшық,2022-02-16,37
kk.wikipedia,Ұшық,2022-02-17,43
kk.wikipedia,Ұшық,2022-02-18,45
kk.wikipedia,Ұшық,2022-02-19,23
kk.wikipedia,Ұшық,2022-02-20,18
kk.wikipedia,Ұшық,2022-02-21,35
kk.wikipedia,Ұшық,2022-02-22,28
kk.wikipedia,Ұшық,2022-02-23,51
kk.wikipedia,Ұшық,2022-02-24,21
kk.wikipedia,Ұшық,2022-02-25,20
kk.wikipedia,Ұшық,2022-02-26,23
kk.wikipedia,Ұшық,2022-02-27,26
kk.wikipedia,Ұшық,2022-02-28,34
kk.wikipedia,Ұшық,2022-03-01,41
kk.wikipedia,Ұшық,2022-03-02,46
kk.wikipedia,Ұшық,2022-03-03,20
kk.wikipedia,Ұшық,2022-03-04,30
kk.wikipedia,Ұшық,2022-03-05,17
kk.wikipedia,Ұшық,2022-03-06,30
kk.wikipedia,Ұшық,2022-03-07,16
kk.wikipedia,Ұшық,2022-03-08,32
kk.wikipedia,Ұшық,2022-03-09,33
kk.wikipedia,Ұшық,2022-03-10,33
kk.wikipedia,Ұшық,2022-03-11,55
kk.wikipedia,Ұшық,2022-03-12,24
