project,page_title,date,pageviews
ky.wikipedia,Конъюнктивит,2022-01-01,4
ky.wikipedia,Конъюнктивит,2022-01-02,3
ky.wikipedia,Конъюнктивит,2022-01-03,3
ky.wikipedia,Конъюнктивит,2022-01-04,1
ky.wikipedia,Конъюнктивит,2022-01-05,1
ky.wikipedia,Конъюнктивит,2022-01-06,5
ky.wikipedia,Конъюнктивит,2022-01-07,2
ky.wikipedia,Конъюнктивит,2022-01-08,2
ky.wikipedia,Конъюнктивит,2022-01-09,0
ky.wikipedia,Конъюнктивит,2022-01-10,1
ky.wikipedia,Конъюнктивит,2022-01-11,1
ky.wikipedia,Конъюнктивит,2022-01-12,2
ky.wikipedia,Конъюнктивит,2022-01-13,3
ky.wikipedia,Конъюнктивит,2022-01-14,1
ky.wikipedia,Конъюнктивит,2022-01-15,11
ky.wikipedia,Конъюнктивит,2022-01-16,3
ky.wikipedia,Конъюнктивит,2022-01-17,8
ky.wikipedia,Конъюнктивит,2022-01-18,1
ky.wikipedia,Конъюнктивит,2022-01-19,2
ky.wikipedia,Конъюнктивит,2022-01-20,5
ky.wikipedia,Конъюнктивит,2022-01-21,2
ky.wikipedia,Конъюнктивит,2022-01-22,2
ky.wikipedia,Конъюнктивит,2022-01-23,3
ky.wikipedia,Конъюнктивит,2022-01-24,1
ky.wikipedia,Конъюнктивит,2022-01-25,10
ky.wikipedia,Конъюнктивит,2022-01-26,0
ky.wikipedia,Конъюнктивит,2022-01-27,3
ky.wikipedia,Конъюнктивит,2022-01-28,2
ky.wikipedia,Конъюнктивит,2022-01-29,1
ky.wikipedia,Конъюнктивит,2022-01-30,2
ky.wikipedia,Конъюнктивит,2022-01-31,0
ky.wikipedia,Конъюнктивит,2022-02-01,1
ky.wikipedia,Конъюнктивит,2022-02-02,6
ky.wikipedia,Конъюнктивит,2022-02-04,3
ky.wikipedia,Конъюнктивит,2022-02-06,3
ky.wikipedia,Конъюнктивит,2022-02-07,8
ky.wikipedia,Конъюнктивит,2022-02-08,0
ky.wikipedia,Конъюнктивит,2022-02-09,6
ky.wikipedia,Конъюнктивит,2022-02-10,4
ky.wikipedia,Конъюнктивит,2022-02-11,1
ky.wikipedia,Конъюнктивит,2022-02-12,0
ky.wikipedia,Конъюнктивит,2022-02-13,0
ky.wikipedia,Конъюнктивит,2022-02-14,1
ky.wikipedia,Конъюнктивит,2022-02-15,2
ky.wikipedia,Конъюнктивит,2022-02-16,3
ky.wikipedia,Конъюнктивит,2022-02-17,3
ky.wikipedia,Конъюнктивит,2022-02-18,1
ky.wikipedia,Конъюнктивит,2022-02-19,2
ky.wikipedia,Конъюнктивит,2022-02-20,4
ky.wikipedia,Конъюнктивит,2022-02-21,1
ky.wikipedia,Конъюнктивит,2022-02-22,4
ky.wikipedia,Конъюнктивит,2022-02-23,3
ky.wikipedia,Конъюнктивит,2022-02-24,3
ky.wikipedia,Конъюнктивит,2022-02-25,3
ky.wikipedia,Конъюнктивит,2022-02-26,3
ky.wikipedia,Конъюнктивит,2022-02-27,3
ky.wikipedia,Конъюнктивит,2022-02-28,4
ky.wikipedia,Конъюнктивит,2022-03-01,3
ky.wikipedia,Конъюнктивит,2022-03-02,5
ky.wikipedia,Конъюнктивит,2022-03-03,1
ky.wikipedia,Конъюнктивит,2022-03-04,3
ky.wikipedia,Конъюнктивит,2022-03-05,14
ky.wikipedia,Конъюнктивит,2022-03-06,1
ky.wikipedia,Конъюнктивит,2022-03-07,2
ky.wikipedia,Конъюнктивит,2022-03-08,1
ky.wikipedia,Конъюнктивит,2022-03-09,4
ky.wikipedia,Конъюнктивит,2022-03-10,12
ky.wikipedia,Конъюнктивит,2022-03-11,4
ky.wikipedia,Конъюнктивит,2022-03-12,5
ky.wikipedia,Конъюнктивит,2022-03-13,7
ky.wikipedia,Конъюнктивит,2022-03-14,5
ky.wikipedia,Конъюнктивит,2022-03-15,9
ky.wikipedia,Конъюнктивит,2022-03-16,4
ky.wikipedia,Конъюнктивит,2022-03-17,1
