project,page_title,date,pageviews
ml.wikipedia,മങ്കിപോക്സ്_വൈറസ്,2022-07-14,7
ml.wikipedia,മങ്കിപോക്സ്_വൈറസ്,2022-07-15,26
ml.wikipedia,മങ്കിപോക്സ്_വൈറസ്,2022-07-16,3
ml.wikipedia,മങ്കിപോക്സ്_വൈറസ്,2022-07-17,6
ml.wikipedia,മങ്കിപോക്സ്_വൈറസ്,2022-07-18,3
ml.wikipedia,മങ്കിപോക്സ്_വൈറസ്,2022-07-19,1
ml.wikipedia,മങ്കിപോക്സ്_വൈറസ്,2022-07-20,6
ml.wikipedia,മങ്കിപോക്സ്_വൈറസ്,2022-07-21,0
ml.wikipedia,മങ്കിപോക്സ്_വൈറസ്,2022-07-22,2
ml.wikipedia,മങ്കിപോക്സ്_വൈറസ്,2022-07-23,6
ml.wikipedia,മങ്കിപോക്സ്_വൈറസ്,2022-07-24,6
ml.wikipedia,മങ്കിപോക്സ്_വൈറസ്,2022-07-25,10
ml.wikipedia,മങ്കിപോക്സ്_വൈറസ്,2022-07-26,1
ml.wikipedia,മങ്കിപോക്സ്_വൈറസ്,2022-07-27,1
ml.wikipedia,മങ്കിപോക്സ്_വൈറസ്,2022-07-28,7
ml.wikipedia,മങ്കിപോക്സ്_വൈറസ്,2022-07-29,4
ml.wikipedia,മങ്കിപോക്സ്_വൈറസ്,2022-07-30,2
ml.wikipedia,മങ്കിപോക്സ്_വൈറസ്,2022-07-31,2
ml.wikipedia,മങ്കിപോക്സ്_വൈറസ്,2022-08-01,5
ml.wikipedia,മങ്കിപോക്സ്_വൈറസ്,2022-08-02,15
ml.wikipedia,മങ്കിപോക്സ്_വൈറസ്,2022-08-03,4
ml.wikipedia,മങ്കിപോക്സ്_വൈറസ്,2022-08-04,3
ml.wikipedia,മങ്കിപോക്സ്_വൈറസ്,2022-08-05,7
ml.wikipedia,മങ്കിപോക്സ്_വൈറസ്,2022-08-06,2
ml.wikipedia,മങ്കിപോക്സ്_വൈറസ്,2022-08-07,4
ml.wikipedia,മങ്കിപോക്സ്_വൈറസ്,2022-08-08,3
ml.wikipedia,മങ്കിപോക്സ്_വൈറസ്,2022-08-09,4
ml.wikipedia,മങ്കിപോക്സ്_വൈറസ്,2022-08-10,6
ml.wikipedia,മങ്കിപോക്സ്_വൈറസ്,2022-08-11,4
ml.wikipedia,മങ്കിപോക്സ്_വൈറസ്,2022-08-12,2
ml.wikipedia,മങ്കിപോക്സ്_വൈറസ്,2022-08-14,1
ml.wikipedia,മങ്കിപോക്സ്_വൈറസ്,2022-08-15,3
ml.wikipedia,മങ്കിപോക്സ്_വൈറസ്,2022-08-16,1
ml.wikipedia,മങ്കിപോക്സ്_വൈറസ്,2022-08-17,3
ml.wikipedia,മങ്കിപോക്സ്_വൈറസ്,2022-08-19,8
ml.wikipedia,മങ്കിപോക്സ്_വൈറസ്,2022-08-20,3
ml.wikipedia,മങ്കിപോക്സ്_വൈറസ്,2022-08-21,4
ml.wikipedia,മങ്കിപോക്സ്_വൈറസ്,2022-08-22,0
ml.wikipedia,മങ്കിപോക്സ്_വൈറസ്,2022-08-23,2
ml.wikipedia,മങ്കിപോക്സ്_വൈറസ്,2022-08-24,2
ml.wikipedia,മങ്കിപോക്സ്_വൈറസ്,2022-08-26,1
ml.wikipedia,മങ്കിപോക്സ്_വൈറസ്,2022-08-29,1
ml.wikipedia,മങ്കിപോക്സ്_വൈറസ്,2022-08-31,0
ml.wikipedia,മങ്കിപോക്സ്_വൈറസ്,2022-09-01,0
ml.wikipedia,മങ്കിപോക്സ്_വൈറസ്,2022-09-03,0
ml.wikipedia,മങ്കിപോക്സ്_വൈറസ്,2022-09-04,3
ml.wikipedia,മങ്കിപോക്സ്_വൈറസ്,2022-09-08,0
ml.wikipedia,മങ്കിപോക്സ്_വൈറസ്,2022-09-09,1
ml.wikipedia,മങ്കിപോക്സ്_വൈറസ്,2022-09-10,2
ml.wikipedia,മങ്കിപോക്സ്_വൈറസ്,2022-09-11,2
ml.wikipedia,മങ്കിപോക്സ്_വൈറസ്,2022-09-12,0
ml.wikipedia,മങ്കിപോക്സ്_വൈറസ്,2022-09-13,1
ml.wikipedia,മങ്കിപോക്സ്_വൈറസ്,2022-09-15,0
ml.wikipedia,മങ്കിപോക്സ്_വൈറസ്,2022-09-18,1
ml.wikipedia,മങ്കിപോക്സ്_വൈറസ്,2022-09-19,0
ml.wikipedia,മങ്കിപോക്സ്_വൈറസ്,2022-09-20,0
ml.wikipedia,മങ്കിപോക്സ്_വൈറസ്,2022-09-21,3
ml.wikipedia,മങ്കിപോക്സ്_വൈറസ്,2022-09-23,1
ml.wikipedia,മങ്കിപോക്സ്_വൈറസ്,2022-09-24,4
ml.wikipedia,മങ്കിപോക്സ്_വൈറസ്,2022-09-26,7
