project,page_title,date,pageviews
nah.wikipedia,Matlalzahuatl,2022-01-01,2
nah.wikipedia,Matlalzahuatl,2022-01-02,0
nah.wikipedia,Matlalzahuatl,2022-01-03,0
nah.wikipedia,Matlalzahuatl,2022-01-04,0
nah.wikipedia,Matlalzahuatl,2022-01-05,1
nah.wikipedia,Matlalzahuatl,2022-01-06,0
nah.wikipedia,Matlalzahuatl,2022-01-07,0
nah.wikipedia,Matlalzahuatl,2022-01-08,1
nah.wikipedia,Matlalzahuatl,2022-01-09,2
nah.wikipedia,Matlalzahuatl,2022-01-10,1
nah.wikipedia,Matlalzahuatl,2022-01-11,0
nah.wikipedia,Matlalzahuatl,2022-01-12,0
nah.wikipedia,Matlalzahuatl,2022-01-13,2
nah.wikipedia,Matlalzahuatl,2022-01-14,0
nah.wikipedia,Matlalzahuatl,2022-01-15,1
nah.wikipedia,Matlalzahuatl,2022-01-16,0
nah.wikipedia,Matlalzahuatl,2022-01-17,0
nah.wikipedia,Matlalzahuatl,2022-01-18,0
nah.wikipedia,Matlalzahuatl,2022-01-19,0
nah.wikipedia,Matlalzahuatl,2022-01-20,0
nah.wikipedia,Matlalzahuatl,2022-01-21,0
nah.wikipedia,Matlalzahuatl,2022-01-22,0
nah.wikipedia,Matlalzahuatl,2022-01-23,1
nah.wikipedia,Matlalzahuatl,2022-01-24,2
nah.wikipedia,Matlalzahuatl,2022-01-25,2
nah.wikipedia,Matlalzahuatl,2022-01-26,0
nah.wikipedia,Matlalzahuatl,2022-01-27,0
nah.wikipedia,Matlalzahuatl,2022-01-28,0
nah.wikipedia,Matlalzahuatl,2022-01-29,1
nah.wikipedia,Matlalzahuatl,2022-01-30,0
nah.wikipedia,Matlalzahuatl,2022-01-31,1
nah.wikipedia,Matlalzahuatl,2022-02-01,0
nah.wikipedia,Matlalzahuatl,2022-02-02,0
nah.wikipedia,Matlalzahuatl,2022-02-03,1
nah.wikipedia,Matlalzahuatl,2022-02-04,0
nah.wikipedia,Matlalzahuatl,2022-02-05,0
nah.wikipedia,Matlalzahuatl,2022-02-06,0
nah.wikipedia,Matlalzahuatl,2022-02-07,0
nah.wikipedia,Matlalzahuatl,2022-02-08,1
nah.wikipedia,Matlalzahuatl,2022-02-09,1
nah.wikipedia,Matlalzahuatl,2022-02-10,0
nah.wikipedia,Matlalzahuatl,2022-02-11,2
nah.wikipedia,Matlalzahuatl,2022-02-12,1
nah.wikipedia,Matlalzahuatl,2022-02-13,1
nah.wikipedia,Matlalzahuatl,2022-02-14,0
nah.wikipedia,Matlalzahuatl,2022-02-15,1
nah.wikipedia,Matlalzahuatl,2022-02-16,0
nah.wikipedia,Matlalzahuatl,2022-02-17,0
nah.wikipedia,Matlalzahuatl,2022-02-18,0
nah.wikipedia,Matlalzahuatl,2022-02-19,0
nah.wikipedia,Matlalzahuatl,2022-02-20,0
nah.wikipedia,Matlalzahuatl,2022-02-21,0
nah.wikipedia,Matlalzahuatl,2022-02-22,0
nah.wikipedia,Matlalzahuatl,2022-02-23,1
nah.wikipedia,Matlalzahuatl,2022-02-24,0
nah.wikipedia,Matlalzahuatl,2022-02-25,0
nah.wikipedia,Matlalzahuatl,2022-02-26,0
nah.wikipedia,Matlalzahuatl,2022-02-27,0
nah.wikipedia,Matlalzahuatl,2022-02-28,2
nah.wikipedia,Matlalzahuatl,2022-03-01,1
nah.wikipedia,Matlalzahuatl,2022-03-02,2
nah.wikipedia,Matlalzahuatl,2022-03-03,1
nah.wikipedia,Matlalzahuatl,2022-03-04,0
nah.wikipedia,Matlalzahuatl,2022-03-05,2
nah.wikipedia,Matlalzahuatl,2022-03-06,1
nah.wikipedia,Matlalzahuatl,2022-03-07,0
nah.wikipedia,Matlalzahuatl,2022-03-08,1
nah.wikipedia,Matlalzahuatl,2022-03-09,3
