project,page_title,date,pageviews
ne.wikipedia,मङ्किपक्स,2022-08-14,31
ne.wikipedia,मङ्किपक्स,2022-08-15,5
ne.wikipedia,मङ्किपक्स,2022-08-16,3
ne.wikipedia,मङ्किपक्स,2022-08-17,0
ne.wikipedia,मङ्किपक्स,2022-08-18,0
ne.wikipedia,मङ्किपक्स,2022-08-19,0
ne.wikipedia,मङ्किपक्स,2022-08-20,0
ne.wikipedia,मङ्किपक्स,2022-08-21,2
ne.wikipedia,मङ्किपक्स,2022-08-22,0
ne.wikipedia,मङ्किपक्स,2022-08-23,0
ne.wikipedia,मङ्किपक्स,2022-08-24,1
ne.wikipedia,मङ्किपक्स,2022-08-25,0
ne.wikipedia,मङ्किपक्स,2022-08-26,2
ne.wikipedia,मङ्किपक्स,2022-08-27,0
ne.wikipedia,मङ्किपक्स,2022-08-28,0
ne.wikipedia,मङ्किपक्स,2022-08-29,0
ne.wikipedia,मङ्किपक्स,2022-08-30,0
ne.wikipedia,मङ्किपक्स,2022-08-31,1
ne.wikipedia,मङ्किपक्स,2022-09-01,4
ne.wikipedia,मङ्किपक्स,2022-09-02,2
ne.wikipedia,मङ्किपक्स,2022-09-03,1
ne.wikipedia,मङ्किपक्स,2022-09-04,3
ne.wikipedia,मङ्किपक्स,2022-09-05,2
ne.wikipedia,मङ्किपक्स,2022-09-06,0
ne.wikipedia,मङ्किपक्स,2022-09-07,1
ne.wikipedia,मङ्किपक्स,2022-09-08,2
ne.wikipedia,मङ्किपक्स,2022-09-09,0
ne.wikipedia,मङ्किपक्स,2022-09-10,0
ne.wikipedia,मङ्किपक्स,2022-09-11,1
ne.wikipedia,मङ्किपक्स,2022-09-12,0
ne.wikipedia,मङ्किपक्स,2022-09-15,0
ne.wikipedia,मङ्किपक्स,2022-09-17,1
ne.wikipedia,मङ्किपक्स,2022-09-18,2
ne.wikipedia,मङ्किपक्स,2022-09-19,3
ne.wikipedia,मङ्किपक्स,2022-09-20,0
ne.wikipedia,मङ्किपक्स,2022-09-21,2
ne.wikipedia,मङ्किपक्स,2022-09-22,0
ne.wikipedia,मङ्किपक्स,2022-09-23,0
ne.wikipedia,मङ्किपक्स,2022-09-24,1
ne.wikipedia,मङ्किपक्स,2022-09-25,0
ne.wikipedia,मङ्किपक्स,2022-09-26,0
ne.wikipedia,मङ्किपक्स,2022-09-27,0
ne.wikipedia,मङ्किपक्स,2022-09-28,0
ne.wikipedia,मङ्किपक्स,2022-09-30,0
ne.wikipedia,मङ्किपक्स,2022-10-01,0
ne.wikipedia,मङ्किपक्स,2022-10-02,0
ne.wikipedia,मङ्किपक्स,2022-10-03,0
ne.wikipedia,मङ्किपक्स,2022-10-04,0
ne.wikipedia,मङ्किपक्स,2022-10-05,0
ne.wikipedia,मङ्किपक्स,2022-10-06,5
ne.wikipedia,मङ्किपक्स,2022-10-07,0
ne.wikipedia,मङ्किपक्स,2022-10-08,0
ne.wikipedia,मङ्किपक्स,2022-10-09,0
ne.wikipedia,मङ्किपक्स,2022-10-10,0
ne.wikipedia,मङ्किपक्स,2022-10-11,0
ne.wikipedia,मङ्किपक्स,2022-10-12,0
ne.wikipedia,मङ्किपक्स,2022-10-13,0
ne.wikipedia,मङ्किपक्स,2022-10-14,0
ne.wikipedia,मङ्किपक्स,2022-10-15,0
ne.wikipedia,मङ्किपक्स,2022-10-16,0
ne.wikipedia,मङ्किपक्स,2022-10-17,0
ne.wikipedia,मङ्किपक्स,2022-10-18,0
ne.wikipedia,मङ्किपक्स,2022-10-19,0
ne.wikipedia,मङ्किपक्स,2022-10-20,0
ne.wikipedia,मङ्किपक्स,2022-10-21,0
ne.wikipedia,मङ्किपक्स,2022-10-22,0
ne.wikipedia,मङ्किपक्स,2022-10-24,0
ne.wikipedia,मङ्किपक्स,2022-10-25,1
ne.wikipedia,मङ्किपक्स,2022-10-26,0
ne.wikipedia,मङ्किपक्स,2022-10-27,0
ne.wikipedia,मङ्किपक्स,2022-10-29,0
ne.wikipedia,मङ्किपक्स,2022-10-30,0
ne.wikipedia,मङ्किपक्स,2022-10-31,0
ne.wikipedia,मङ्किपक्स,2022-11-01,0
ne.wikipedia,मङ्किपक्स,2022-11-02,0
ne.wikipedia,मङ्किपक्स,2022-11-03,0
ne.wikipedia,मङ्किपक्स,2022-11-04,0
ne.wikipedia,मङ्किपक्स,2022-11-05,0
ne.wikipedia,मङ्किपक्स,2022-11-06,0
ne.wikipedia,मङ्किपक्स,2022-11-07,1
ne.wikipedia,मङ्किपक्स,2022-11-08,0
ne.wikipedia,मङ्किपक्स,2022-11-09,1
ne.wikipedia,मङ्किपक्स,2022-11-11,0
ne.wikipedia,मङ्किपक्स,2022-11-12,0
ne.wikipedia,मङ्किपक्स,2022-11-13,0
ne.wikipedia,मङ्किपक्स,2022-11-14,0
ne.wikipedia,मङ्किपक्स,2022-11-15,0
ne.wikipedia,मङ्किपक्स,2022-11-16,0
ne.wikipedia,मङ्किपक्स,2022-11-17,0
ne.wikipedia,मङ्किपक्स,2022-11-18,2
ne.wikipedia,मङ्किपक्स,2022-11-19,0
ne.wikipedia,मङ्किपक्स,2022-11-20,0
ne.wikipedia,मङ्किपक्स,2022-11-21,0
ne.wikipedia,मङ्किपक्स,2022-11-22,1
ne.wikipedia,मङ्किपक्स,2022-11-23,0
ne.wikipedia,मङ्किपक्स,2022-11-24,0
ne.wikipedia,मङ्किपक्स,2022-11-25,0
ne.wikipedia,मङ्किपक्स,2022-11-26,0
ne.wikipedia,मङ्किपक्स,2022-11-27,0
ne.wikipedia,मङ्किपक्स,2022-11-28,0
ne.wikipedia,मङ्किपक्स,2022-11-29,1
ne.wikipedia,मङ्किपक्स,2022-11-30,0
