project,page_title,date,pageviews
nia.wikipedia,Mofa'aukhu,2022-06-18,3
nia.wikipedia,Mofa'aukhu,2022-06-19,3
nia.wikipedia,Mofa'aukhu,2022-06-20,1
nia.wikipedia,Mofa'aukhu,2022-06-21,0
nia.wikipedia,Mofa'aukhu,2022-06-22,0
nia.wikipedia,Mofa'aukhu,2022-06-23,0
nia.wikipedia,Mofa'aukhu,2022-06-24,2
nia.wikipedia,Mofa'aukhu,2022-06-26,1
nia.wikipedia,Mofa'aukhu,2022-06-27,2
nia.wikipedia,Mofa'aukhu,2022-06-28,0
nia.wikipedia,Mofa'aukhu,2022-06-29,1
nia.wikipedia,Mofa'aukhu,2022-06-30,0
nia.wikipedia,Mofa'aukhu,2022-07-01,1
nia.wikipedia,Mofa'aukhu,2022-07-02,1
nia.wikipedia,Mofa'aukhu,2022-07-03,1
nia.wikipedia,Mofa'aukhu,2022-07-04,0
nia.wikipedia,Mofa'aukhu,2022-07-05,1
nia.wikipedia,Mofa'aukhu,2022-07-06,0
nia.wikipedia,Mofa'aukhu,2022-07-07,1
nia.wikipedia,Mofa'aukhu,2022-07-08,0
nia.wikipedia,Mofa'aukhu,2022-07-09,0
nia.wikipedia,Mofa'aukhu,2022-07-10,1
nia.wikipedia,Mofa'aukhu,2022-07-11,1
nia.wikipedia,Mofa'aukhu,2022-07-12,0
nia.wikipedia,Mofa'aukhu,2022-07-13,0
nia.wikipedia,Mofa'aukhu,2022-07-14,0
nia.wikipedia,Mofa'aukhu,2022-07-15,0
nia.wikipedia,Mofa'aukhu,2022-07-16,1
nia.wikipedia,Mofa'aukhu,2022-07-17,0
nia.wikipedia,Mofa'aukhu,2022-07-18,0
nia.wikipedia,Mofa'aukhu,2022-07-19,2
nia.wikipedia,Mofa'aukhu,2022-07-21,1
nia.wikipedia,Mofa'aukhu,2022-07-22,0
nia.wikipedia,Mofa'aukhu,2022-07-23,1
nia.wikipedia,Mofa'aukhu,2022-07-24,0
nia.wikipedia,Mofa'aukhu,2022-07-25,0
nia.wikipedia,Mofa'aukhu,2022-07-27,2
nia.wikipedia,Mofa'aukhu,2022-07-28,3
nia.wikipedia,Mofa'aukhu,2022-07-29,1
nia.wikipedia,Mofa'aukhu,2022-07-30,2
nia.wikipedia,Mofa'aukhu,2022-07-31,4
nia.wikipedia,Mofa'aukhu,2022-08-01,4
nia.wikipedia,Mofa'aukhu,2022-08-02,2
nia.wikipedia,Mofa'aukhu,2022-08-03,2
nia.wikipedia,Mofa'aukhu,2022-08-04,2
nia.wikipedia,Mofa'aukhu,2022-08-05,0
nia.wikipedia,Mofa'aukhu,2022-08-06,2
nia.wikipedia,Mofa'aukhu,2022-08-07,1
nia.wikipedia,Mofa'aukhu,2022-08-08,9
nia.wikipedia,Mofa'aukhu,2022-08-09,4
nia.wikipedia,Mofa'aukhu,2022-08-10,3
nia.wikipedia,Mofa'aukhu,2022-08-11,3
nia.wikipedia,Mofa'aukhu,2022-08-12,4
nia.wikipedia,Mofa'aukhu,2022-08-13,2
nia.wikipedia,Mofa'aukhu,2022-08-14,1
nia.wikipedia,Mofa'aukhu,2022-08-15,1
nia.wikipedia,Mofa'aukhu,2022-08-16,2
nia.wikipedia,Mofa'aukhu,2022-08-17,4
nia.wikipedia,Mofa'aukhu,2022-08-18,1
nia.wikipedia,Mofa'aukhu,2022-08-19,1
nia.wikipedia,Mofa'aukhu,2022-08-20,1
nia.wikipedia,Mofa'aukhu,2022-08-21,3
nia.wikipedia,Mofa'aukhu,2022-08-22,1
nia.wikipedia,Mofa'aukhu,2022-08-23,5
nia.wikipedia,Mofa'aukhu,2022-08-24,2
nia.wikipedia,Mofa'aukhu,2022-08-25,2
nia.wikipedia,Mofa'aukhu,2022-08-26,0
nia.wikipedia,Mofa'aukhu,2022-08-27,3
nia.wikipedia,Mofa'aukhu,2022-08-28,3
nia.wikipedia,Mofa'aukhu,2022-08-29,3
nia.wikipedia,Mofa'aukhu,2022-08-30,0
nia.wikipedia,Mofa'aukhu,2022-08-31,0
nia.wikipedia,Mofa'aukhu,2022-09-01,2
nia.wikipedia,Mofa'aukhu,2022-09-02,0
nia.wikipedia,Mofa'aukhu,2022-09-03,0
nia.wikipedia,Mofa'aukhu,2022-09-04,1
nia.wikipedia,Mofa'aukhu,2022-09-05,0
nia.wikipedia,Mofa'aukhu,2022-09-06,0
nia.wikipedia,Mofa'aukhu,2022-09-07,0
nia.wikipedia,Mofa'aukhu,2022-09-08,0
nia.wikipedia,Mofa'aukhu,2022-09-09,1
nia.wikipedia,Mofa'aukhu,2022-09-11,0
nia.wikipedia,Mofa'aukhu,2022-09-12,1
nia.wikipedia,Mofa'aukhu,2022-09-13,1
nia.wikipedia,Mofa'aukhu,2022-09-14,0
nia.wikipedia,Mofa'aukhu,2022-09-15,0
nia.wikipedia,Mofa'aukhu,2022-09-16,6
nia.wikipedia,Mofa'aukhu,2022-09-18,1
nia.wikipedia,Mofa'aukhu,2022-09-19,0
nia.wikipedia,Mofa'aukhu,2022-09-20,0
nia.wikipedia,Mofa'aukhu,2022-09-21,0
nia.wikipedia,Mofa'aukhu,2022-09-22,1
nia.wikipedia,Mofa'aukhu,2022-09-23,0
nia.wikipedia,Mofa'aukhu,2022-09-24,2
nia.wikipedia,Mofa'aukhu,2022-09-25,0
nia.wikipedia,Mofa'aukhu,2022-09-26,0
nia.wikipedia,Mofa'aukhu,2022-09-27,0
nia.wikipedia,Mofa'aukhu,2022-09-28,1
nia.wikipedia,Mofa'aukhu,2022-09-30,1
nia.wikipedia,Mofa'aukhu,2022-10-01,2
nia.wikipedia,Mofa'aukhu,2022-10-02,1
nia.wikipedia,Mofa'aukhu,2022-10-03,0
nia.wikipedia,Mofa'aukhu,2022-10-04,1
nia.wikipedia,Mofa'aukhu,2022-10-05,2
nia.wikipedia,Mofa'aukhu,2022-10-06,0
nia.wikipedia,Mofa'aukhu,2022-10-07,1
nia.wikipedia,Mofa'aukhu,2022-10-08,0
nia.wikipedia,Mofa'aukhu,2022-10-09,1
nia.wikipedia,Mofa'aukhu,2022-10-10,1
nia.wikipedia,Mofa'aukhu,2022-10-11,2
nia.wikipedia,Mofa'aukhu,2022-10-12,0
nia.wikipedia,Mofa'aukhu,2022-10-13,0
