project,page_title,date,pageviews
nl.wikipedia,Apenpokkenvirus,2022-05-20,1328
nl.wikipedia,Apenpokkenvirus,2022-05-21,991
nl.wikipedia,Apenpokkenvirus,2022-05-22,1452
nl.wikipedia,Apenpokkenvirus,2022-05-23,2113
nl.wikipedia,Apenpokkenvirus,2022-05-24,1186
nl.wikipedia,Apenpokkenvirus,2022-05-25,774
nl.wikipedia,Apenpokkenvirus,2022-05-26,416
nl.wikipedia,Apenpokkenvirus,2022-05-27,301
nl.wikipedia,Apenpokkenvirus,2022-05-28,255
nl.wikipedia,Apenpokkenvirus,2022-05-29,248
nl.wikipedia,Apenpokkenvirus,2022-05-30,316
nl.wikipedia,Apenpokkenvirus,2022-05-31,209
nl.wikipedia,Apenpokkenvirus,2022-06-01,155
nl.wikipedia,Apenpokkenvirus,2022-06-02,123
nl.wikipedia,Apenpokkenvirus,2022-06-03,153
nl.wikipedia,Apenpokkenvirus,2022-06-04,101
nl.wikipedia,Apenpokkenvirus,2022-06-05,91
nl.wikipedia,Apenpokkenvirus,2022-06-06,95
nl.wikipedia,Apenpokkenvirus,2022-06-07,67
nl.wikipedia,Apenpokkenvirus,2022-06-08,83
nl.wikipedia,Apenpokkenvirus,2022-06-09,71
nl.wikipedia,Apenpokkenvirus,2022-06-10,62
nl.wikipedia,Apenpokkenvirus,2022-06-11,60
nl.wikipedia,Apenpokkenvirus,2022-06-12,61
nl.wikipedia,Apenpokkenvirus,2022-06-13,75
nl.wikipedia,Apenpokkenvirus,2022-06-14,120
nl.wikipedia,Apenpokkenvirus,2022-06-15,162
nl.wikipedia,Apenpokkenvirus,2022-06-16,123
nl.wikipedia,Apenpokkenvirus,2022-06-17,86
nl.wikipedia,Apenpokkenvirus,2022-06-18,69
nl.wikipedia,Apenpokkenvirus,2022-06-19,75
nl.wikipedia,Apenpokkenvirus,2022-06-20,42
nl.wikipedia,Apenpokkenvirus,2022-06-21,50
nl.wikipedia,Apenpokkenvirus,2022-06-22,112
nl.wikipedia,Apenpokkenvirus,2022-06-23,52
nl.wikipedia,Apenpokkenvirus,2022-06-24,65
nl.wikipedia,Apenpokkenvirus,2022-06-25,48
nl.wikipedia,Apenpokkenvirus,2022-06-26,24
nl.wikipedia,Apenpokkenvirus,2022-06-27,18
nl.wikipedia,Apenpokkenvirus,2022-06-28,23
nl.wikipedia,Apenpokkenvirus,2022-06-29,16
nl.wikipedia,Apenpokkenvirus,2022-06-30,10
nl.wikipedia,Apenpokkenvirus,2022-07-01,31
nl.wikipedia,Apenpokkenvirus,2022-07-02,36
nl.wikipedia,Apenpokkenvirus,2022-07-03,79
nl.wikipedia,Apenpokkenvirus,2022-07-04,85
nl.wikipedia,Apenpokkenvirus,2022-07-05,56
nl.wikipedia,Apenpokkenvirus,2022-07-06,85
nl.wikipedia,Apenpokkenvirus,2022-07-07,40
nl.wikipedia,Apenpokkenvirus,2022-07-08,74
nl.wikipedia,Apenpokkenvirus,2022-07-09,23
nl.wikipedia,Apenpokkenvirus,2022-07-10,27
nl.wikipedia,Apenpokkenvirus,2022-07-11,34
nl.wikipedia,Apenpokkenvirus,2022-07-12,34
nl.wikipedia,Apenpokkenvirus,2022-07-13,32
nl.wikipedia,Apenpokkenvirus,2022-07-14,41
nl.wikipedia,Apenpokkenvirus,2022-07-15,24
nl.wikipedia,Apenpokkenvirus,2022-07-16,64
nl.wikipedia,Apenpokkenvirus,2022-07-17,51
