project,page_title,date,pageviews
pl.wikipedia,Ospa_małpia,2022-01-01,7
pl.wikipedia,Ospa_małpia,2022-01-02,6
pl.wikipedia,Ospa_małpia,2022-01-03,49
pl.wikipedia,Ospa_małpia,2022-01-04,27
pl.wikipedia,Ospa_małpia,2022-01-05,12
pl.wikipedia,Ospa_małpia,2022-01-06,7
pl.wikipedia,Ospa_małpia,2022-01-07,0
pl.wikipedia,Ospa_małpia,2022-01-08,3
pl.wikipedia,Ospa_małpia,2022-01-09,4
pl.wikipedia,Ospa_małpia,2022-01-10,3
pl.wikipedia,Ospa_małpia,2022-01-11,1
pl.wikipedia,Ospa_małpia,2022-01-12,3
pl.wikipedia,Ospa_małpia,2022-01-13,7
pl.wikipedia,Ospa_małpia,2022-01-14,6
pl.wikipedia,Ospa_małpia,2022-01-15,2
pl.wikipedia,Ospa_małpia,2022-01-16,3
pl.wikipedia,Ospa_małpia,2022-01-17,7
pl.wikipedia,Ospa_małpia,2022-01-18,8
pl.wikipedia,Ospa_małpia,2022-01-19,4
pl.wikipedia,Ospa_małpia,2022-01-20,5
pl.wikipedia,Ospa_małpia,2022-01-21,5
pl.wikipedia,Ospa_małpia,2022-01-22,1
pl.wikipedia,Ospa_małpia,2022-01-23,2
pl.wikipedia,Ospa_małpia,2022-01-24,7
pl.wikipedia,Ospa_małpia,2022-01-25,4
pl.wikipedia,Ospa_małpia,2022-01-26,0
pl.wikipedia,Ospa_małpia,2022-01-27,5
pl.wikipedia,Ospa_małpia,2022-01-28,3
pl.wikipedia,Ospa_małpia,2022-01-29,6
pl.wikipedia,Ospa_małpia,2022-01-30,5
pl.wikipedia,Ospa_małpia,2022-01-31,6
pl.wikipedia,Ospa_małpia,2022-02-01,2
pl.wikipedia,Ospa_małpia,2022-02-02,8
pl.wikipedia,Ospa_małpia,2022-02-03,3
pl.wikipedia,Ospa_małpia,2022-02-04,4
pl.wikipedia,Ospa_małpia,2022-02-05,2
pl.wikipedia,Ospa_małpia,2022-02-06,4
pl.wikipedia,Ospa_małpia,2022-02-07,6
pl.wikipedia,Ospa_małpia,2022-02-08,0
pl.wikipedia,Ospa_małpia,2022-02-09,3
pl.wikipedia,Ospa_małpia,2022-02-10,2
pl.wikipedia,Ospa_małpia,2022-02-11,2
pl.wikipedia,Ospa_małpia,2022-02-12,5
pl.wikipedia,Ospa_małpia,2022-02-13,2
pl.wikipedia,Ospa_małpia,2022-02-14,3
pl.wikipedia,Ospa_małpia,2022-02-15,3
pl.wikipedia,Ospa_małpia,2022-02-16,1
pl.wikipedia,Ospa_małpia,2022-02-17,8
pl.wikipedia,Ospa_małpia,2022-02-18,1
pl.wikipedia,Ospa_małpia,2022-02-19,5
pl.wikipedia,Ospa_małpia,2022-02-20,5
pl.wikipedia,Ospa_małpia,2022-02-21,1
pl.wikipedia,Ospa_małpia,2022-02-22,4
pl.wikipedia,Ospa_małpia,2022-02-23,3
pl.wikipedia,Ospa_małpia,2022-02-24,3
pl.wikipedia,Ospa_małpia,2022-02-25,0
pl.wikipedia,Ospa_małpia,2022-02-26,1
pl.wikipedia,Ospa_małpia,2022-02-27,2
pl.wikipedia,Ospa_małpia,2022-02-28,2
pl.wikipedia,Ospa_małpia,2022-03-01,4
pl.wikipedia,Ospa_małpia,2022-03-02,0
pl.wikipedia,Ospa_małpia,2022-03-03,4
pl.wikipedia,Ospa_małpia,2022-03-04,0
pl.wikipedia,Ospa_małpia,2022-03-05,1
pl.wikipedia,Ospa_małpia,2022-03-06,0
pl.wikipedia,Ospa_małpia,2022-03-07,1
pl.wikipedia,Ospa_małpia,2022-03-08,0
pl.wikipedia,Ospa_małpia,2022-03-09,3
pl.wikipedia,Ospa_małpia,2022-03-10,3
pl.wikipedia,Ospa_małpia,2022-03-12,2
pl.wikipedia,Ospa_małpia,2022-03-13,2
pl.wikipedia,Ospa_małpia,2022-03-14,5
pl.wikipedia,Ospa_małpia,2022-03-15,4
