project,page_title,date,pageviews
pwn.wikipedia,pugupugu_a_drail,2022-06-26,7
pwn.wikipedia,pugupugu_a_drail,2022-06-27,5
pwn.wikipedia,pugupugu_a_drail,2022-06-28,7
pwn.wikipedia,pugupugu_a_drail,2022-06-29,3
pwn.wikipedia,pugupugu_a_drail,2022-06-30,0
pwn.wikipedia,pugupugu_a_drail,2022-07-01,1
pwn.wikipedia,pugupugu_a_drail,2022-07-02,0
pwn.wikipedia,pugupugu_a_drail,2022-07-03,0
pwn.wikipedia,pugupugu_a_drail,2022-07-04,0
pwn.wikipedia,pugupugu_a_drail,2022-07-06,1
pwn.wikipedia,pugupugu_a_drail,2022-07-07,1
pwn.wikipedia,pugupugu_a_drail,2022-07-08,3
pwn.wikipedia,pugupugu_a_drail,2022-07-09,0
pwn.wikipedia,pugupugu_a_drail,2022-07-10,0
pwn.wikipedia,pugupugu_a_drail,2022-07-11,0
pwn.wikipedia,pugupugu_a_drail,2022-07-12,0
pwn.wikipedia,pugupugu_a_drail,2022-07-13,1
pwn.wikipedia,pugupugu_a_drail,2022-07-14,1
pwn.wikipedia,pugupugu_a_drail,2022-07-15,1
pwn.wikipedia,pugupugu_a_drail,2022-07-16,0
pwn.wikipedia,pugupugu_a_drail,2022-07-18,0
pwn.wikipedia,pugupugu_a_drail,2022-07-19,0
pwn.wikipedia,pugupugu_a_drail,2022-07-21,0
pwn.wikipedia,pugupugu_a_drail,2022-07-22,0
pwn.wikipedia,pugupugu_a_drail,2022-07-23,1
pwn.wikipedia,pugupugu_a_drail,2022-07-24,0
pwn.wikipedia,pugupugu_a_drail,2022-07-25,2
pwn.wikipedia,pugupugu_a_drail,2022-07-26,1
pwn.wikipedia,pugupugu_a_drail,2022-07-27,0
pwn.wikipedia,pugupugu_a_drail,2022-07-28,0
pwn.wikipedia,pugupugu_a_drail,2022-07-29,1
pwn.wikipedia,pugupugu_a_drail,2022-07-30,0
pwn.wikipedia,pugupugu_a_drail,2022-07-31,0
pwn.wikipedia,pugupugu_a_drail,2022-08-01,1
pwn.wikipedia,pugupugu_a_drail,2022-08-02,1
pwn.wikipedia,pugupugu_a_drail,2022-08-05,5
pwn.wikipedia,pugupugu_a_drail,2022-08-06,0
pwn.wikipedia,pugupugu_a_drail,2022-08-08,0
pwn.wikipedia,pugupugu_a_drail,2022-08-09,0
pwn.wikipedia,pugupugu_a_drail,2022-08-10,0
pwn.wikipedia,pugupugu_a_drail,2022-08-12,1
pwn.wikipedia,pugupugu_a_drail,2022-08-13,1
pwn.wikipedia,pugupugu_a_drail,2022-08-14,0
pwn.wikipedia,pugupugu_a_drail,2022-08-15,0
pwn.wikipedia,pugupugu_a_drail,2022-08-16,0
pwn.wikipedia,pugupugu_a_drail,2022-08-17,0
pwn.wikipedia,pugupugu_a_drail,2022-08-18,0
pwn.wikipedia,pugupugu_a_drail,2022-08-19,0
pwn.wikipedia,pugupugu_a_drail,2022-08-21,0
pwn.wikipedia,pugupugu_a_drail,2022-08-22,0
pwn.wikipedia,pugupugu_a_drail,2022-08-23,0
pwn.wikipedia,pugupugu_a_drail,2022-08-24,0
pwn.wikipedia,pugupugu_a_drail,2022-08-25,1
pwn.wikipedia,pugupugu_a_drail,2022-08-26,0
pwn.wikipedia,pugupugu_a_drail,2022-08-27,0
