project,page_title,date,pageviews
ro.wikipedia,Variola_maimuței,2022-06-15,34
ro.wikipedia,Variola_maimuței,2022-06-16,161
ro.wikipedia,Variola_maimuței,2022-06-17,105
ro.wikipedia,Variola_maimuței,2022-06-18,50
ro.wikipedia,Variola_maimuței,2022-06-19,48
ro.wikipedia,Variola_maimuței,2022-06-20,51
ro.wikipedia,Variola_maimuței,2022-06-21,45
ro.wikipedia,Variola_maimuței,2022-06-22,37
ro.wikipedia,Variola_maimuței,2022-06-23,23
ro.wikipedia,Variola_maimuței,2022-06-24,30
ro.wikipedia,Variola_maimuței,2022-06-25,39
ro.wikipedia,Variola_maimuței,2022-06-26,26
ro.wikipedia,Variola_maimuței,2022-06-27,24
ro.wikipedia,Variola_maimuței,2022-06-28,23
ro.wikipedia,Variola_maimuței,2022-06-29,47
ro.wikipedia,Variola_maimuței,2022-06-30,37
ro.wikipedia,Variola_maimuței,2022-07-01,39
ro.wikipedia,Variola_maimuței,2022-07-02,33
ro.wikipedia,Variola_maimuței,2022-07-03,34
ro.wikipedia,Variola_maimuței,2022-07-04,26
ro.wikipedia,Variola_maimuței,2022-07-05,9
ro.wikipedia,Variola_maimuței,2022-07-06,28
ro.wikipedia,Variola_maimuței,2022-07-07,33
ro.wikipedia,Variola_maimuței,2022-07-08,34
ro.wikipedia,Variola_maimuței,2022-07-09,22
ro.wikipedia,Variola_maimuței,2022-07-10,20
ro.wikipedia,Variola_maimuței,2022-07-11,14
ro.wikipedia,Variola_maimuței,2022-07-12,15
ro.wikipedia,Variola_maimuței,2022-07-13,19
ro.wikipedia,Variola_maimuței,2022-07-14,12
ro.wikipedia,Variola_maimuței,2022-07-15,55
ro.wikipedia,Variola_maimuței,2022-07-16,39
ro.wikipedia,Variola_maimuței,2022-07-17,18
ro.wikipedia,Variola_maimuței,2022-07-18,10
ro.wikipedia,Variola_maimuței,2022-07-19,18
ro.wikipedia,Variola_maimuței,2022-07-20,12
ro.wikipedia,Variola_maimuței,2022-07-21,15
ro.wikipedia,Variola_maimuței,2022-07-22,11
ro.wikipedia,Variola_maimuței,2022-07-23,43
ro.wikipedia,Variola_maimuței,2022-07-24,55
ro.wikipedia,Variola_maimuței,2022-07-25,49
ro.wikipedia,Variola_maimuței,2022-07-26,31
ro.wikipedia,Variola_maimuței,2022-07-27,25
ro.wikipedia,Variola_maimuței,2022-07-28,18
ro.wikipedia,Variola_maimuței,2022-07-29,28
ro.wikipedia,Variola_maimuței,2022-07-30,22
ro.wikipedia,Variola_maimuței,2022-07-31,23
ro.wikipedia,Variola_maimuței,2022-08-01,82
ro.wikipedia,Variola_maimuței,2022-08-02,46
ro.wikipedia,Variola_maimuței,2022-08-03,31
ro.wikipedia,Variola_maimuței,2022-08-04,30
ro.wikipedia,Variola_maimuței,2022-08-05,26
ro.wikipedia,Variola_maimuței,2022-08-06,29
ro.wikipedia,Variola_maimuței,2022-08-07,6
ro.wikipedia,Variola_maimuței,2022-08-08,47
ro.wikipedia,Variola_maimuței,2022-08-09,43
ro.wikipedia,Variola_maimuței,2022-08-10,23
ro.wikipedia,Variola_maimuței,2022-08-11,11
ro.wikipedia,Variola_maimuței,2022-08-12,2
ro.wikipedia,Variola_maimuței,2022-08-13,12
ro.wikipedia,Variola_maimuței,2022-08-14,7
ro.wikipedia,Variola_maimuței,2022-08-15,15
ro.wikipedia,Variola_maimuței,2022-08-16,16
ro.wikipedia,Variola_maimuței,2022-08-17,25
ro.wikipedia,Variola_maimuței,2022-08-18,8
ro.wikipedia,Variola_maimuței,2022-08-19,12
ro.wikipedia,Variola_maimuței,2022-08-20,4
ro.wikipedia,Variola_maimuței,2022-08-21,12
ro.wikipedia,Variola_maimuței,2022-08-22,4
ro.wikipedia,Variola_maimuței,2022-08-23,19
ro.wikipedia,Variola_maimuței,2022-08-24,20
ro.wikipedia,Variola_maimuței,2022-08-25,21
ro.wikipedia,Variola_maimuței,2022-08-26,6
ro.wikipedia,Variola_maimuței,2022-08-27,7
ro.wikipedia,Variola_maimuței,2022-08-28,4
ro.wikipedia,Variola_maimuței,2022-08-29,3
ro.wikipedia,Variola_maimuței,2022-08-30,4
ro.wikipedia,Variola_maimuței,2022-08-31,5
ro.wikipedia,Variola_maimuței,2022-09-01,11
ro.wikipedia,Variola_maimuței,2022-09-02,4
ro.wikipedia,Variola_maimuței,2022-09-03,4
ro.wikipedia,Variola_maimuței,2022-09-04,5
ro.wikipedia,Variola_maimuței,2022-09-05,4
ro.wikipedia,Variola_maimuței,2022-09-06,4
ro.wikipedia,Variola_maimuței,2022-09-07,3
ro.wikipedia,Variola_maimuței,2022-09-08,2
ro.wikipedia,Variola_maimuței,2022-09-09,4
ro.wikipedia,Variola_maimuței,2022-09-10,8
ro.wikipedia,Variola_maimuței,2022-09-11,1
ro.wikipedia,Variola_maimuței,2022-09-12,6
ro.wikipedia,Variola_maimuței,2022-09-13,2
ro.wikipedia,Variola_maimuței,2022-09-14,0
ro.wikipedia,Variola_maimuței,2022-09-15,4
ro.wikipedia,Variola_maimuței,2022-09-16,5
ro.wikipedia,Variola_maimuței,2022-09-17,10
ro.wikipedia,Variola_maimuței,2022-09-18,6
ro.wikipedia,Variola_maimuței,2022-09-19,3
ro.wikipedia,Variola_maimuței,2022-09-20,5
ro.wikipedia,Variola_maimuței,2022-09-21,1
ro.wikipedia,Variola_maimuței,2022-09-22,10
ro.wikipedia,Variola_maimuței,2022-09-23,6
ro.wikipedia,Variola_maimuței,2022-09-24,3
ro.wikipedia,Variola_maimuței,2022-09-25,1
ro.wikipedia,Variola_maimuței,2022-09-26,1
ro.wikipedia,Variola_maimuței,2022-09-27,2
ro.wikipedia,Variola_maimuței,2022-09-28,0
ro.wikipedia,Variola_maimuței,2022-09-29,9
ro.wikipedia,Variola_maimuței,2022-09-30,1
ro.wikipedia,Variola_maimuței,2022-10-01,3
ro.wikipedia,Variola_maimuței,2022-10-02,3
ro.wikipedia,Variola_maimuței,2022-10-03,2
ro.wikipedia,Variola_maimuței,2022-10-04,3
ro.wikipedia,Variola_maimuței,2022-10-05,1
ro.wikipedia,Variola_maimuței,2022-10-06,2
ro.wikipedia,Variola_maimuței,2022-10-07,0
ro.wikipedia,Variola_maimuței,2022-10-08,2
ro.wikipedia,Variola_maimuței,2022-10-09,9
ro.wikipedia,Variola_maimuței,2022-10-10,4
ro.wikipedia,Variola_maimuței,2022-10-11,4
ro.wikipedia,Variola_maimuței,2022-10-12,3
ro.wikipedia,Variola_maimuței,2022-10-13,1
ro.wikipedia,Variola_maimuței,2022-10-14,1
ro.wikipedia,Variola_maimuței,2022-10-15,1
ro.wikipedia,Variola_maimuței,2022-10-16,2
ro.wikipedia,Variola_maimuței,2022-10-17,3
ro.wikipedia,Variola_maimuței,2022-10-18,4
ro.wikipedia,Variola_maimuței,2022-10-19,1
ro.wikipedia,Variola_maimuței,2022-10-20,2
ro.wikipedia,Variola_maimuței,2022-10-21,2
ro.wikipedia,Variola_maimuței,2022-10-22,0
ro.wikipedia,Variola_maimuței,2022-10-23,1
ro.wikipedia,Variola_maimuței,2022-10-24,2
ro.wikipedia,Variola_maimuței,2022-10-25,3
ro.wikipedia,Variola_maimuței,2022-10-26,0
ro.wikipedia,Variola_maimuței,2022-10-27,1
ro.wikipedia,Variola_maimuței,2022-10-28,4
ro.wikipedia,Variola_maimuței,2022-10-29,3
ro.wikipedia,Variola_maimuței,2022-10-30,0
ro.wikipedia,Variola_maimuței,2022-10-31,8
ro.wikipedia,Variola_maimuței,2022-11-01,5
ro.wikipedia,Variola_maimuței,2022-11-02,1
ro.wikipedia,Variola_maimuței,2022-11-03,4
ro.wikipedia,Variola_maimuței,2022-11-04,2
ro.wikipedia,Variola_maimuței,2022-11-06,6
ro.wikipedia,Variola_maimuței,2022-11-07,5
ro.wikipedia,Variola_maimuței,2022-11-08,1
ro.wikipedia,Variola_maimuței,2022-11-09,4
ro.wikipedia,Variola_maimuței,2022-11-10,0
ro.wikipedia,Variola_maimuței,2022-11-11,4
ro.wikipedia,Variola_maimuței,2022-11-12,5
ro.wikipedia,Variola_maimuței,2022-11-13,2
ro.wikipedia,Variola_maimuței,2022-11-14,10
ro.wikipedia,Variola_maimuței,2022-11-15,8
ro.wikipedia,Variola_maimuței,2022-11-16,2
ro.wikipedia,Variola_maimuței,2022-11-17,0
ro.wikipedia,Variola_maimuței,2022-11-18,1
ro.wikipedia,Variola_maimuței,2022-11-19,2
ro.wikipedia,Variola_maimuței,2022-11-20,2
ro.wikipedia,Variola_maimuței,2022-11-21,3
ro.wikipedia,Variola_maimuței,2022-11-22,3
ro.wikipedia,Variola_maimuței,2022-11-23,3
ro.wikipedia,Variola_maimuței,2022-11-24,4
ro.wikipedia,Variola_maimuței,2022-11-25,0
ro.wikipedia,Variola_maimuței,2022-11-26,2
ro.wikipedia,Variola_maimuței,2022-11-27,0
ro.wikipedia,Variola_maimuței,2022-11-28,1
ro.wikipedia,Variola_maimuței,2022-11-29,2
ro.wikipedia,Variola_maimuței,2022-11-30,3
ro.wikipedia,Variola_maimuței,2022-12-01,0
ro.wikipedia,Variola_maimuței,2022-12-02,1
ro.wikipedia,Variola_maimuței,2022-12-03,2
ro.wikipedia,Variola_maimuței,2022-12-04,1
ro.wikipedia,Variola_maimuței,2022-12-05,1
ro.wikipedia,Variola_maimuței,2022-12-06,0
ro.wikipedia,Variola_maimuței,2022-12-07,2
ro.wikipedia,Variola_maimuței,2022-12-08,4
ro.wikipedia,Variola_maimuței,2022-12-09,2
ro.wikipedia,Variola_maimuței,2022-12-10,1
ro.wikipedia,Variola_maimuței,2022-12-11,3
ro.wikipedia,Variola_maimuței,2022-12-12,1
ro.wikipedia,Variola_maimuței,2022-12-13,0
ro.wikipedia,Variola_maimuței,2022-12-14,1
ro.wikipedia,Variola_maimuței,2022-12-15,2
ro.wikipedia,Variola_maimuței,2022-12-16,3
ro.wikipedia,Variola_maimuței,2022-12-17,0
ro.wikipedia,Variola_maimuței,2022-12-18,3
ro.wikipedia,Variola_maimuței,2022-12-19,0
ro.wikipedia,Variola_maimuței,2022-12-20,3
ro.wikipedia,Variola_maimuței,2022-12-21,3
ro.wikipedia,Variola_maimuței,2022-12-22,1
ro.wikipedia,Variola_maimuței,2022-12-23,0
ro.wikipedia,Variola_maimuței,2022-12-24,0
ro.wikipedia,Variola_maimuței,2022-12-25,2
ro.wikipedia,Variola_maimuței,2022-12-26,2
ro.wikipedia,Variola_maimuței,2022-12-27,1
ro.wikipedia,Variola_maimuței,2022-12-28,0
ro.wikipedia,Variola_maimuței,2022-12-29,1
ro.wikipedia,Variola_maimuței,2022-12-30,1
ro.wikipedia,Variola_maimuței,2022-12-31,2
