project,page_title,date,pageviews
simple.wikipedia,Monkeypox_virus,2022-05-21,21
simple.wikipedia,Monkeypox_virus,2022-05-22,46
simple.wikipedia,Monkeypox_virus,2022-05-23,52
simple.wikipedia,Monkeypox_virus,2022-05-24,21
simple.wikipedia,Monkeypox_virus,2022-05-25,18
simple.wikipedia,Monkeypox_virus,2022-05-26,17
simple.wikipedia,Monkeypox_virus,2022-05-27,9
simple.wikipedia,Monkeypox_virus,2022-05-28,22
simple.wikipedia,Monkeypox_virus,2022-05-29,11
simple.wikipedia,Monkeypox_virus,2022-05-30,3
simple.wikipedia,Monkeypox_virus,2022-05-31,4
simple.wikipedia,Monkeypox_virus,2022-06-01,6
simple.wikipedia,Monkeypox_virus,2022-06-02,2
simple.wikipedia,Monkeypox_virus,2022-06-03,2
simple.wikipedia,Monkeypox_virus,2022-06-04,2
simple.wikipedia,Monkeypox_virus,2022-06-05,4
simple.wikipedia,Monkeypox_virus,2022-06-06,0
simple.wikipedia,Monkeypox_virus,2022-06-07,2
simple.wikipedia,Monkeypox_virus,2022-06-08,1
simple.wikipedia,Monkeypox_virus,2022-06-09,9
simple.wikipedia,Monkeypox_virus,2022-06-10,1
simple.wikipedia,Monkeypox_virus,2022-06-11,2
simple.wikipedia,Monkeypox_virus,2022-06-12,1
simple.wikipedia,Monkeypox_virus,2022-06-13,3
simple.wikipedia,Monkeypox_virus,2022-06-14,3
simple.wikipedia,Monkeypox_virus,2022-06-15,2
simple.wikipedia,Monkeypox_virus,2022-06-16,4
simple.wikipedia,Monkeypox_virus,2022-06-17,0
simple.wikipedia,Monkeypox_virus,2022-06-18,1
simple.wikipedia,Monkeypox_virus,2022-06-19,4
simple.wikipedia,Monkeypox_virus,2022-06-20,1
simple.wikipedia,Monkeypox_virus,2022-06-21,3
simple.wikipedia,Monkeypox_virus,2022-06-22,1
simple.wikipedia,Monkeypox_virus,2022-06-23,5
simple.wikipedia,Monkeypox_virus,2022-06-24,4
simple.wikipedia,Monkeypox_virus,2022-06-25,11
simple.wikipedia,Monkeypox_virus,2022-06-26,3
simple.wikipedia,Monkeypox_virus,2022-06-27,2
simple.wikipedia,Monkeypox_virus,2022-06-28,3
simple.wikipedia,Monkeypox_virus,2022-06-29,1
simple.wikipedia,Monkeypox_virus,2022-06-30,4
simple.wikipedia,Monkeypox_virus,2022-07-01,6
simple.wikipedia,Monkeypox_virus,2022-07-02,7
simple.wikipedia,Monkeypox_virus,2022-07-03,3
simple.wikipedia,Monkeypox_virus,2022-07-04,2
simple.wikipedia,Monkeypox_virus,2022-07-05,2
simple.wikipedia,Monkeypox_virus,2022-07-06,7
simple.wikipedia,Monkeypox_virus,2022-07-07,11
simple.wikipedia,Monkeypox_virus,2022-07-08,2
simple.wikipedia,Monkeypox_virus,2022-07-09,1
simple.wikipedia,Monkeypox_virus,2022-07-10,0
simple.wikipedia,Monkeypox_virus,2022-07-11,1
simple.wikipedia,Monkeypox_virus,2022-07-12,1
simple.wikipedia,Monkeypox_virus,2022-07-13,2
simple.wikipedia,Monkeypox_virus,2022-07-14,1
simple.wikipedia,Monkeypox_virus,2022-07-15,2
simple.wikipedia,Monkeypox_virus,2022-07-16,1
simple.wikipedia,Monkeypox_virus,2022-07-17,2
simple.wikipedia,Monkeypox_virus,2022-07-18,0
simple.wikipedia,Monkeypox_virus,2022-07-19,1
simple.wikipedia,Monkeypox_virus,2022-07-21,1
simple.wikipedia,Monkeypox_virus,2022-07-22,0
simple.wikipedia,Monkeypox_virus,2022-07-23,9
simple.wikipedia,Monkeypox_virus,2022-07-24,1
simple.wikipedia,Monkeypox_virus,2022-07-25,8
simple.wikipedia,Monkeypox_virus,2022-07-26,5
simple.wikipedia,Monkeypox_virus,2022-07-27,3
simple.wikipedia,Monkeypox_virus,2022-07-28,0
simple.wikipedia,Monkeypox_virus,2022-07-29,5
simple.wikipedia,Monkeypox_virus,2022-07-30,5
simple.wikipedia,Monkeypox_virus,2022-07-31,5
simple.wikipedia,Monkeypox_virus,2022-08-01,4
simple.wikipedia,Monkeypox_virus,2022-08-02,1
simple.wikipedia,Monkeypox_virus,2022-08-03,2
simple.wikipedia,Monkeypox_virus,2022-08-05,1
simple.wikipedia,Monkeypox_virus,2022-08-06,4
simple.wikipedia,Monkeypox_virus,2022-08-07,0
simple.wikipedia,Monkeypox_virus,2022-08-09,2
simple.wikipedia,Monkeypox_virus,2022-08-10,0
simple.wikipedia,Monkeypox_virus,2022-08-11,0
simple.wikipedia,Monkeypox_virus,2022-08-12,2
simple.wikipedia,Monkeypox_virus,2022-08-13,3
simple.wikipedia,Monkeypox_virus,2022-08-14,1
simple.wikipedia,Monkeypox_virus,2022-08-15,0
simple.wikipedia,Monkeypox_virus,2022-08-16,0
simple.wikipedia,Monkeypox_virus,2022-08-17,0
simple.wikipedia,Monkeypox_virus,2022-08-18,3
simple.wikipedia,Monkeypox_virus,2022-08-19,0
simple.wikipedia,Monkeypox_virus,2022-08-20,0
simple.wikipedia,Monkeypox_virus,2022-08-21,1
simple.wikipedia,Monkeypox_virus,2022-08-22,2
simple.wikipedia,Monkeypox_virus,2022-08-23,0
simple.wikipedia,Monkeypox_virus,2022-08-24,0
simple.wikipedia,Monkeypox_virus,2022-08-25,0
simple.wikipedia,Monkeypox_virus,2022-08-26,0
simple.wikipedia,Monkeypox_virus,2022-08-27,1
simple.wikipedia,Monkeypox_virus,2022-08-28,0
simple.wikipedia,Monkeypox_virus,2022-08-29,0
simple.wikipedia,Monkeypox_virus,2022-08-30,1
simple.wikipedia,Monkeypox_virus,2022-08-31,0
simple.wikipedia,Monkeypox_virus,2022-09-01,1
simple.wikipedia,Monkeypox_virus,2022-09-02,0
simple.wikipedia,Monkeypox_virus,2022-09-03,0
simple.wikipedia,Monkeypox_virus,2022-09-04,0
simple.wikipedia,Monkeypox_virus,2022-09-05,1
simple.wikipedia,Monkeypox_virus,2022-09-06,1
