project,page_title,date,pageviews
sl.wikipedia,Opičje_koze,2022-05-20,242
sl.wikipedia,Opičje_koze,2022-05-21,304
sl.wikipedia,Opičje_koze,2022-05-22,2371
sl.wikipedia,Opičje_koze,2022-05-23,2502
sl.wikipedia,Opičje_koze,2022-05-24,2870
sl.wikipedia,Opičje_koze,2022-05-25,876
sl.wikipedia,Opičje_koze,2022-05-26,381
sl.wikipedia,Opičje_koze,2022-05-27,171
sl.wikipedia,Opičje_koze,2022-05-28,164
sl.wikipedia,Opičje_koze,2022-05-29,144
sl.wikipedia,Opičje_koze,2022-05-30,88
sl.wikipedia,Opičje_koze,2022-05-31,94
sl.wikipedia,Opičje_koze,2022-06-01,102
sl.wikipedia,Opičje_koze,2022-06-02,113
sl.wikipedia,Opičje_koze,2022-06-03,100
sl.wikipedia,Opičje_koze,2022-06-04,71
sl.wikipedia,Opičje_koze,2022-06-05,96
sl.wikipedia,Opičje_koze,2022-06-06,157
sl.wikipedia,Opičje_koze,2022-06-07,50
sl.wikipedia,Opičje_koze,2022-06-08,49
sl.wikipedia,Opičje_koze,2022-06-09,55
sl.wikipedia,Opičje_koze,2022-06-10,26
sl.wikipedia,Opičje_koze,2022-06-11,26
sl.wikipedia,Opičje_koze,2022-06-12,32
sl.wikipedia,Opičje_koze,2022-06-13,22
sl.wikipedia,Opičje_koze,2022-06-14,46
sl.wikipedia,Opičje_koze,2022-06-15,58
sl.wikipedia,Opičje_koze,2022-06-16,25
sl.wikipedia,Opičje_koze,2022-06-17,17
sl.wikipedia,Opičje_koze,2022-06-18,18
sl.wikipedia,Opičje_koze,2022-06-19,6
sl.wikipedia,Opičje_koze,2022-06-20,27
sl.wikipedia,Opičje_koze,2022-06-21,16
sl.wikipedia,Opičje_koze,2022-06-22,19
sl.wikipedia,Opičje_koze,2022-06-23,12
sl.wikipedia,Opičje_koze,2022-06-24,15
sl.wikipedia,Opičje_koze,2022-06-25,13
sl.wikipedia,Opičje_koze,2022-06-26,19
sl.wikipedia,Opičje_koze,2022-06-27,16
sl.wikipedia,Opičje_koze,2022-06-28,17
sl.wikipedia,Opičje_koze,2022-06-29,15
sl.wikipedia,Opičje_koze,2022-06-30,15
sl.wikipedia,Opičje_koze,2022-07-01,13
sl.wikipedia,Opičje_koze,2022-07-02,21
sl.wikipedia,Opičje_koze,2022-07-03,12
sl.wikipedia,Opičje_koze,2022-07-04,17
sl.wikipedia,Opičje_koze,2022-07-05,17
sl.wikipedia,Opičje_koze,2022-07-06,12
sl.wikipedia,Opičje_koze,2022-07-07,17
sl.wikipedia,Opičje_koze,2022-07-08,20
sl.wikipedia,Opičje_koze,2022-07-09,13
sl.wikipedia,Opičje_koze,2022-07-10,14
sl.wikipedia,Opičje_koze,2022-07-11,18
sl.wikipedia,Opičje_koze,2022-07-12,11
sl.wikipedia,Opičje_koze,2022-07-13,16
sl.wikipedia,Opičje_koze,2022-07-14,15
sl.wikipedia,Opičje_koze,2022-07-15,12
sl.wikipedia,Opičje_koze,2022-07-16,7
sl.wikipedia,Opičje_koze,2022-07-17,8
sl.wikipedia,Opičje_koze,2022-07-18,16
sl.wikipedia,Opičje_koze,2022-07-19,18
sl.wikipedia,Opičje_koze,2022-07-20,8
sl.wikipedia,Opičje_koze,2022-07-21,10
sl.wikipedia,Opičje_koze,2022-07-22,13
sl.wikipedia,Opičje_koze,2022-07-23,68
sl.wikipedia,Opičje_koze,2022-07-24,44
sl.wikipedia,Opičje_koze,2022-07-25,32
sl.wikipedia,Opičje_koze,2022-07-26,12
sl.wikipedia,Opičje_koze,2022-07-27,15
sl.wikipedia,Opičje_koze,2022-07-28,33
sl.wikipedia,Opičje_koze,2022-07-29,49
sl.wikipedia,Opičje_koze,2022-07-30,41
sl.wikipedia,Opičje_koze,2022-07-31,26
sl.wikipedia,Opičje_koze,2022-08-01,37
sl.wikipedia,Opičje_koze,2022-08-02,48
sl.wikipedia,Opičje_koze,2022-08-03,44
sl.wikipedia,Opičje_koze,2022-08-04,30
sl.wikipedia,Opičje_koze,2022-08-05,29
sl.wikipedia,Opičje_koze,2022-08-06,14
sl.wikipedia,Opičje_koze,2022-08-07,18
sl.wikipedia,Opičje_koze,2022-08-08,28
sl.wikipedia,Opičje_koze,2022-08-09,20
sl.wikipedia,Opičje_koze,2022-08-10,10
sl.wikipedia,Opičje_koze,2022-08-11,11
sl.wikipedia,Opičje_koze,2022-08-12,12
sl.wikipedia,Opičje_koze,2022-08-13,15
sl.wikipedia,Opičje_koze,2022-08-14,11
sl.wikipedia,Opičje_koze,2022-08-15,21
sl.wikipedia,Opičje_koze,2022-08-16,10
sl.wikipedia,Opičje_koze,2022-08-17,9
sl.wikipedia,Opičje_koze,2022-08-18,9
sl.wikipedia,Opičje_koze,2022-08-19,9
sl.wikipedia,Opičje_koze,2022-08-20,5
sl.wikipedia,Opičje_koze,2022-08-21,7
sl.wikipedia,Opičje_koze,2022-08-22,10
sl.wikipedia,Opičje_koze,2022-08-23,10
sl.wikipedia,Opičje_koze,2022-08-24,15
sl.wikipedia,Opičje_koze,2022-08-25,10
sl.wikipedia,Opičje_koze,2022-08-26,9
sl.wikipedia,Opičje_koze,2022-08-27,5
sl.wikipedia,Opičje_koze,2022-08-28,8
sl.wikipedia,Opičje_koze,2022-08-29,7
sl.wikipedia,Opičje_koze,2022-08-30,2
sl.wikipedia,Opičje_koze,2022-08-31,6
sl.wikipedia,Opičje_koze,2022-09-01,4
sl.wikipedia,Opičje_koze,2022-09-02,1
sl.wikipedia,Opičje_koze,2022-09-03,8
sl.wikipedia,Opičje_koze,2022-09-04,2
sl.wikipedia,Opičje_koze,2022-09-05,8
sl.wikipedia,Opičje_koze,2022-09-06,1
sl.wikipedia,Opičje_koze,2022-09-07,1
sl.wikipedia,Opičje_koze,2022-09-08,1
sl.wikipedia,Opičje_koze,2022-09-09,3
sl.wikipedia,Opičje_koze,2022-09-10,4
sl.wikipedia,Opičje_koze,2022-09-11,2
sl.wikipedia,Opičje_koze,2022-09-12,2
sl.wikipedia,Opičje_koze,2022-09-13,6
sl.wikipedia,Opičje_koze,2022-09-14,4
sl.wikipedia,Opičje_koze,2022-09-15,3
sl.wikipedia,Opičje_koze,2022-09-16,7
sl.wikipedia,Opičje_koze,2022-09-17,5
sl.wikipedia,Opičje_koze,2022-09-18,1
sl.wikipedia,Opičje_koze,2022-09-19,5
sl.wikipedia,Opičje_koze,2022-09-20,6
sl.wikipedia,Opičje_koze,2022-09-21,1
sl.wikipedia,Opičje_koze,2022-09-22,1
sl.wikipedia,Opičje_koze,2022-09-23,1
sl.wikipedia,Opičje_koze,2022-09-24,6
sl.wikipedia,Opičje_koze,2022-09-25,5
sl.wikipedia,Opičje_koze,2022-09-26,4
sl.wikipedia,Opičje_koze,2022-09-27,3
sl.wikipedia,Opičje_koze,2022-09-28,2
sl.wikipedia,Opičje_koze,2022-09-29,0
sl.wikipedia,Opičje_koze,2022-09-30,4
sl.wikipedia,Opičje_koze,2022-10-01,3
sl.wikipedia,Opičje_koze,2022-10-02,2
sl.wikipedia,Opičje_koze,2022-10-03,9
sl.wikipedia,Opičje_koze,2022-10-04,1
sl.wikipedia,Opičje_koze,2022-10-05,2
sl.wikipedia,Opičje_koze,2022-10-06,12
sl.wikipedia,Opičje_koze,2022-10-07,0
sl.wikipedia,Opičje_koze,2022-10-09,3
sl.wikipedia,Opičje_koze,2022-10-10,1
sl.wikipedia,Opičje_koze,2022-10-11,2
sl.wikipedia,Opičje_koze,2022-10-12,3
sl.wikipedia,Opičje_koze,2022-10-13,2
sl.wikipedia,Opičje_koze,2022-10-14,1
sl.wikipedia,Opičje_koze,2022-10-15,5
sl.wikipedia,Opičje_koze,2022-10-16,1
sl.wikipedia,Opičje_koze,2022-10-17,3
sl.wikipedia,Opičje_koze,2022-10-18,1
sl.wikipedia,Opičje_koze,2022-10-19,4
sl.wikipedia,Opičje_koze,2022-10-20,3
sl.wikipedia,Opičje_koze,2022-10-21,2
sl.wikipedia,Opičje_koze,2022-10-22,4
sl.wikipedia,Opičje_koze,2022-10-23,2
sl.wikipedia,Opičje_koze,2022-10-24,1
sl.wikipedia,Opičje_koze,2022-10-25,5
sl.wikipedia,Opičje_koze,2022-10-26,1
sl.wikipedia,Opičje_koze,2022-10-27,4
sl.wikipedia,Opičje_koze,2022-10-28,2
sl.wikipedia,Opičje_koze,2022-10-29,1
sl.wikipedia,Opičje_koze,2022-10-30,0
sl.wikipedia,Opičje_koze,2022-10-31,4
sl.wikipedia,Opičje_koze,2022-11-01,5
sl.wikipedia,Opičje_koze,2022-11-02,5
sl.wikipedia,Opičje_koze,2022-11-03,1
sl.wikipedia,Opičje_koze,2022-11-04,2
sl.wikipedia,Opičje_koze,2022-11-05,1
sl.wikipedia,Opičje_koze,2022-11-06,7
sl.wikipedia,Opičje_koze,2022-11-07,3
sl.wikipedia,Opičje_koze,2022-11-08,11
sl.wikipedia,Opičje_koze,2022-11-09,2
sl.wikipedia,Opičje_koze,2022-11-10,5
sl.wikipedia,Opičje_koze,2022-11-11,3
sl.wikipedia,Opičje_koze,2022-11-12,3
sl.wikipedia,Opičje_koze,2022-11-13,1
sl.wikipedia,Opičje_koze,2022-11-14,2
sl.wikipedia,Opičje_koze,2022-11-15,11
sl.wikipedia,Opičje_koze,2022-11-16,1
sl.wikipedia,Opičje_koze,2022-11-18,4
sl.wikipedia,Opičje_koze,2022-11-19,2
sl.wikipedia,Opičje_koze,2022-11-20,0
sl.wikipedia,Opičje_koze,2022-11-21,2
sl.wikipedia,Opičje_koze,2022-11-22,1
sl.wikipedia,Opičje_koze,2022-11-23,3
sl.wikipedia,Opičje_koze,2022-11-24,7
sl.wikipedia,Opičje_koze,2022-11-25,2
sl.wikipedia,Opičje_koze,2022-11-26,4
sl.wikipedia,Opičje_koze,2022-11-27,3
sl.wikipedia,Opičje_koze,2022-11-28,4
sl.wikipedia,Opičje_koze,2022-11-29,5
sl.wikipedia,Opičje_koze,2022-11-30,3
sl.wikipedia,Opičje_koze,2022-12-01,1
sl.wikipedia,Opičje_koze,2022-12-02,0
sl.wikipedia,Opičje_koze,2022-12-03,3
sl.wikipedia,Opičje_koze,2022-12-04,5
sl.wikipedia,Opičje_koze,2022-12-05,5
sl.wikipedia,Opičje_koze,2022-12-06,2
sl.wikipedia,Opičje_koze,2022-12-07,5
sl.wikipedia,Opičje_koze,2022-12-08,0
sl.wikipedia,Opičje_koze,2022-12-09,2
sl.wikipedia,Opičje_koze,2022-12-10,3
sl.wikipedia,Opičje_koze,2022-12-11,2
sl.wikipedia,Opičje_koze,2022-12-12,1
sl.wikipedia,Opičje_koze,2022-12-13,1
sl.wikipedia,Opičje_koze,2022-12-14,0
sl.wikipedia,Opičje_koze,2022-12-15,0
sl.wikipedia,Opičje_koze,2022-12-16,0
sl.wikipedia,Opičje_koze,2022-12-17,2
sl.wikipedia,Opičje_koze,2022-12-18,0
sl.wikipedia,Opičje_koze,2022-12-19,4
sl.wikipedia,Opičje_koze,2022-12-20,1
sl.wikipedia,Opičje_koze,2022-12-21,2
sl.wikipedia,Opičje_koze,2022-12-22,0
sl.wikipedia,Opičje_koze,2022-12-23,2
sl.wikipedia,Opičje_koze,2022-12-24,2
sl.wikipedia,Opičje_koze,2022-12-25,2
sl.wikipedia,Opičje_koze,2022-12-26,0
sl.wikipedia,Opičje_koze,2022-12-27,3
sl.wikipedia,Opičje_koze,2022-12-28,2
sl.wikipedia,Opičje_koze,2022-12-29,0
sl.wikipedia,Opičje_koze,2022-12-30,1
sl.wikipedia,Opičje_koze,2022-12-31,1
sl.wikipedia,Antipiretik,2022-01-01,3
sl.wikipedia,Antipiretik,2022-01-02,1
sl.wikipedia,Antipiretik,2022-01-03,1
sl.wikipedia,Antipiretik,2022-01-04,5
sl.wikipedia,Antipiretik,2022-01-05,4
sl.wikipedia,Antipiretik,2022-01-06,3
sl.wikipedia,Antipiretik,2022-01-07,1
sl.wikipedia,Antipiretik,2022-01-08,1
sl.wikipedia,Antipiretik,2022-01-09,7
sl.wikipedia,Antipiretik,2022-01-10,3
sl.wikipedia,Antipiretik,2022-01-11,5
sl.wikipedia,Antipiretik,2022-01-12,5
sl.wikipedia,Antipiretik,2022-01-13,3
sl.wikipedia,Antipiretik,2022-01-14,2
sl.wikipedia,Antipiretik,2022-01-15,5
sl.wikipedia,Antipiretik,2022-01-16,5
sl.wikipedia,Antipiretik,2022-01-17,2
sl.wikipedia,Antipiretik,2022-01-18,3
sl.wikipedia,Antipiretik,2022-01-19,0
sl.wikipedia,Antipiretik,2022-01-20,9
sl.wikipedia,Antipiretik,2022-01-21,1
sl.wikipedia,Antipiretik,2022-01-22,7
sl.wikipedia,Antipiretik,2022-01-23,12
sl.wikipedia,Antipiretik,2022-01-24,5
sl.wikipedia,Antipiretik,2022-01-25,0
sl.wikipedia,Antipiretik,2022-01-26,2
sl.wikipedia,Antipiretik,2022-01-27,5
sl.wikipedia,Antipiretik,2022-01-28,1
sl.wikipedia,Antipiretik,2022-01-29,9
sl.wikipedia,Antipiretik,2022-01-30,1
sl.wikipedia,Antipiretik,2022-01-31,5
sl.wikipedia,Antipiretik,2022-02-01,5
sl.wikipedia,Antipiretik,2022-02-02,2
sl.wikipedia,Antipiretik,2022-02-03,7
sl.wikipedia,Antipiretik,2022-02-04,6
