project,page_title,date,pageviews
so.wikipedia,Daaf,2022-01-01,1
so.wikipedia,Daaf,2022-01-03,1
so.wikipedia,Daaf,2022-01-06,0
so.wikipedia,Daaf,2022-01-07,0
so.wikipedia,Daaf,2022-01-08,0
so.wikipedia,Daaf,2022-01-10,1
so.wikipedia,Daaf,2022-01-11,0
so.wikipedia,Daaf,2022-01-12,0
so.wikipedia,Daaf,2022-01-13,0
so.wikipedia,Daaf,2022-01-14,2
so.wikipedia,Daaf,2022-01-16,0
so.wikipedia,Daaf,2022-01-17,0
so.wikipedia,Daaf,2022-01-18,0
so.wikipedia,Daaf,2022-01-19,0
so.wikipedia,Daaf,2022-01-20,0
so.wikipedia,Daaf,2022-01-21,0
so.wikipedia,Daaf,2022-01-22,0
so.wikipedia,Daaf,2022-01-23,0
so.wikipedia,Daaf,2022-01-25,1
so.wikipedia,Daaf,2022-01-27,1
so.wikipedia,Daaf,2022-01-28,0
so.wikipedia,Daaf,2022-01-29,1
so.wikipedia,Daaf,2022-01-30,0
so.wikipedia,Daaf,2022-01-31,0
so.wikipedia,Daaf,2022-02-01,0
so.wikipedia,Daaf,2022-02-02,0
so.wikipedia,Daaf,2022-02-03,1
so.wikipedia,Daaf,2022-02-05,0
so.wikipedia,Daaf,2022-02-06,1
so.wikipedia,Daaf,2022-02-07,0
so.wikipedia,Daaf,2022-02-08,0
so.wikipedia,Daaf,2022-02-11,0
so.wikipedia,Daaf,2022-02-12,0
so.wikipedia,Daaf,2022-02-13,0
so.wikipedia,Daaf,2022-02-14,0
so.wikipedia,Daaf,2022-02-15,0
so.wikipedia,Daaf,2022-02-16,0
so.wikipedia,Daaf,2022-02-17,0
so.wikipedia,Daaf,2022-02-19,1
so.wikipedia,Daaf,2022-02-20,0
so.wikipedia,Daaf,2022-02-21,0
so.wikipedia,Daaf,2022-02-22,0
so.wikipedia,Daaf,2022-02-23,0
so.wikipedia,Daaf,2022-02-24,1
so.wikipedia,Daaf,2022-02-25,0
so.wikipedia,Daaf,2022-02-26,0
so.wikipedia,Daaf,2022-02-28,0
so.wikipedia,Daaf,2022-03-01,0
so.wikipedia,Daaf,2022-03-02,0
so.wikipedia,Daaf,2022-03-03,0
