project,page_name,redirect_name,date,views
sr.wikipedia,Majmunske boginje,NA,2022-05-22,856
sr.wikipedia,Majmunske boginje,NA,2022-05-22,856
sr.wikipedia,Majmunske boginje,Monkeypox,2022-05-22,9
sr.wikipedia,Majmunske boginje,Monkeypox,2022-05-22,9
sr.wikipedia,Majmunske boginje,Monkeypox,2022-05-22,9
sr.wikipedia,Majmunske boginje,Monkeypox,2022-05-22,9
sr.wikipedia,Majmunske boginje,NA,2022-05-23,752
sr.wikipedia,Majmunske boginje,NA,2022-05-23,752
sr.wikipedia,Majmunske boginje,Monkeypox,2022-05-23,8
sr.wikipedia,Majmunske boginje,Monkeypox,2022-05-23,8
sr.wikipedia,Majmunske boginje,Monkeypox,2022-05-23,8
sr.wikipedia,Majmunske boginje,Monkeypox,2022-05-23,8
sr.wikipedia,Majmunske boginje,NA,2022-05-24,680
sr.wikipedia,Majmunske boginje,NA,2022-05-24,680
sr.wikipedia,Majmunske boginje,Monkeypox,2022-05-24,2
sr.wikipedia,Majmunske boginje,Monkeypox,2022-05-24,2
sr.wikipedia,Majmunske boginje,Monkeypox,2022-05-24,2
sr.wikipedia,Majmunske boginje,Monkeypox,2022-05-24,2
sr.wikipedia,Majmunske boginje,NA,2022-05-25,387
sr.wikipedia,Majmunske boginje,NA,2022-05-25,387
sr.wikipedia,Majmunske boginje,Monkeypox,2022-05-25,0
sr.wikipedia,Majmunske boginje,Monkeypox,2022-05-25,0
sr.wikipedia,Majmunske boginje,Monkeypox,2022-05-25,0
sr.wikipedia,Majmunske boginje,Monkeypox,2022-05-25,0
sr.wikipedia,Majmunske boginje,NA,2022-05-26,221
sr.wikipedia,Majmunske boginje,NA,2022-05-26,221
sr.wikipedia,Majmunske boginje,Monkeypox,2022-05-26,0
sr.wikipedia,Majmunske boginje,Monkeypox,2022-05-26,0
sr.wikipedia,Majmunske boginje,Monkeypox,2022-05-26,0
sr.wikipedia,Majmunske boginje,Monkeypox,2022-05-26,0
sr.wikipedia,Majmunske boginje,NA,2022-05-27,155
sr.wikipedia,Majmunske boginje,NA,2022-05-27,155
sr.wikipedia,Majmunske boginje,Monkeypox,2022-05-27,0
sr.wikipedia,Majmunske boginje,Monkeypox,2022-05-27,0
sr.wikipedia,Majmunske boginje,Monkeypox,2022-05-27,0
sr.wikipedia,Majmunske boginje,Monkeypox,2022-05-27,0
sr.wikipedia,Majmunske boginje,NA,2022-05-28,155
sr.wikipedia,Majmunske boginje,NA,2022-05-28,155
sr.wikipedia,Majmunske boginje,NA,2022-05-29,124
sr.wikipedia,Majmunske boginje,NA,2022-05-29,124
sr.wikipedia,Majmunske boginje,Monkeypox,2022-05-29,0
sr.wikipedia,Majmunske boginje,Monkeypox,2022-05-29,0
sr.wikipedia,Majmunske boginje,Monkeypox,2022-05-29,0
sr.wikipedia,Majmunske boginje,Monkeypox,2022-05-29,0
sr.wikipedia,Majmunske boginje,NA,2022-05-30,69
sr.wikipedia,Majmunske boginje,NA,2022-05-30,69
sr.wikipedia,Majmunske boginje,NA,2022-05-31,56
sr.wikipedia,Majmunske boginje,NA,2022-05-31,56
sr.wikipedia,Majmunske boginje,Monkeypox,2022-05-31,0
