project,page_name,redirect_name,date,views
sv.wikipedia,Apkoppsvirus,NA,2022-01-01,0
sv.wikipedia,Apkoppsvirus,NA,2022-01-02,1
sv.wikipedia,Apkoppsvirus,NA,2022-01-03,19
sv.wikipedia,Apkoppsvirus,NA,2022-01-04,13
sv.wikipedia,Apkoppsvirus,NA,2022-01-05,1
sv.wikipedia,Apkoppsvirus,NA,2022-01-06,1
sv.wikipedia,Apkoppsvirus,NA,2022-01-09,1
sv.wikipedia,Apkoppsvirus,NA,2022-01-10,1
sv.wikipedia,Apkoppsvirus,NA,2022-01-11,0
sv.wikipedia,Apkoppsvirus,NA,2022-01-12,1
sv.wikipedia,Apkoppsvirus,NA,2022-01-13,1
sv.wikipedia,Apkoppsvirus,NA,2022-01-14,1
sv.wikipedia,Apkoppsvirus,NA,2022-01-16,0
sv.wikipedia,Apkoppsvirus,NA,2022-01-17,0
sv.wikipedia,Apkoppsvirus,NA,2022-01-19,4
sv.wikipedia,Apkoppsvirus,NA,2022-01-20,0
sv.wikipedia,Apkoppsvirus,NA,2022-01-21,1
sv.wikipedia,Apkoppsvirus,NA,2022-01-22,0
sv.wikipedia,Apkoppsvirus,NA,2022-01-23,2
sv.wikipedia,Apkoppsvirus,NA,2022-01-25,1
sv.wikipedia,Apkoppsvirus,NA,2022-01-26,6
sv.wikipedia,Apkoppsvirus,NA,2022-01-27,2
sv.wikipedia,Apkoppsvirus,NA,2022-01-28,2
sv.wikipedia,Apkoppsvirus,NA,2022-01-29,0
sv.wikipedia,Apkoppsvirus,NA,2022-01-30,2
sv.wikipedia,Apkoppsvirus,NA,2022-01-31,1
sv.wikipedia,Apkoppsvirus,NA,2022-02-01,1
sv.wikipedia,Apkoppsvirus,NA,2022-02-02,0
sv.wikipedia,Apkoppsvirus,NA,2022-02-03,0
sv.wikipedia,Apkoppsvirus,NA,2022-02-04,0
sv.wikipedia,Apkoppsvirus,NA,2022-02-05,1
sv.wikipedia,Apkoppsvirus,NA,2022-02-06,0
sv.wikipedia,Apkoppsvirus,NA,2022-02-07,0
sv.wikipedia,Apkoppsvirus,NA,2022-02-08,0
sv.wikipedia,Apkoppsvirus,NA,2022-02-09,0
sv.wikipedia,Apkoppsvirus,NA,2022-02-10,0
sv.wikipedia,Apkoppsvirus,NA,2022-02-11,0
sv.wikipedia,Apkoppsvirus,NA,2022-02-13,1
sv.wikipedia,Apkoppsvirus,NA,2022-02-14,0
sv.wikipedia,Apkoppsvirus,NA,2022-02-15,2
sv.wikipedia,Apkoppsvirus,NA,2022-02-16,3
sv.wikipedia,Apkoppsvirus,NA,2022-02-17,1
sv.wikipedia,Apkoppsvirus,NA,2022-02-19,0
sv.wikipedia,Apkoppsvirus,NA,2022-02-21,0
sv.wikipedia,Apkoppsvirus,NA,2022-02-22,0
sv.wikipedia,Apkoppsvirus,NA,2022-02-23,0
sv.wikipedia,Apkoppsvirus,NA,2022-02-24,0
sv.wikipedia,Apkoppsvirus,NA,2022-02-25,0
sv.wikipedia,Apkoppsvirus,NA,2022-02-26,0
sv.wikipedia,Apkoppsvirus,NA,2022-02-28,0
sv.wikipedia,Apkoppsvirus,NA,2022-03-04,2
sv.wikipedia,Apkoppsvirus,NA,2022-03-06,1
sv.wikipedia,Apkoppsvirus,NA,2022-03-07,0
sv.wikipedia,Apkoppsvirus,NA,2022-03-09,0
sv.wikipedia,Apkoppsvirus,NA,2022-03-10,0
sv.wikipedia,Apkoppsvirus,NA,2022-03-11,1
sv.wikipedia,Apkoppsvirus,NA,2022-03-12,0
sv.wikipedia,Apkoppsvirus,NA,2022-03-14,0
sv.wikipedia,Apkoppsvirus,NA,2022-03-15,0
sv.wikipedia,Apkoppsvirus,NA,2022-03-16,2
sv.wikipedia,Apkoppsvirus,NA,2022-03-17,0
sv.wikipedia,Apkoppsvirus,NA,2022-03-18,1
sv.wikipedia,Apkoppsvirus,NA,2022-03-19,0
sv.wikipedia,Apkoppsvirus,NA,2022-03-21,0
sv.wikipedia,Apkoppsvirus,NA,2022-03-22,2
sv.wikipedia,Apkoppsvirus,NA,2022-03-24,0
sv.wikipedia,Apkoppsvirus,NA,2022-03-26,2
sv.wikipedia,Apkoppsvirus,NA,2022-03-27,1
sv.wikipedia,Apkoppsvirus,NA,2022-03-28,1
sv.wikipedia,Apkoppsvirus,NA,2022-03-30,1
sv.wikipedia,Apkoppsvirus,NA,2022-03-31,2
sv.wikipedia,Apkoppsvirus,NA,2022-04-01,4
sv.wikipedia,Apkoppsvirus,NA,2022-04-03,0
sv.wikipedia,Apkoppsvirus,NA,2022-04-04,1
sv.wikipedia,Apkoppsvirus,NA,2022-04-05,1
sv.wikipedia,Apkoppsvirus,NA,2022-04-08,1
sv.wikipedia,Apkoppsvirus,NA,2022-04-10,1
sv.wikipedia,Apkoppsvirus,NA,2022-04-12,1
sv.wikipedia,Apkoppsvirus,NA,2022-04-13,0
sv.wikipedia,Apkoppsvirus,NA,2022-04-14,0
sv.wikipedia,Apkoppsvirus,NA,2022-04-15,0
sv.wikipedia,Apkoppsvirus,NA,2022-04-16,0
sv.wikipedia,Apkoppsvirus,NA,2022-04-18,0
sv.wikipedia,Apkoppsvirus,NA,2022-04-19,1
sv.wikipedia,Apkoppsvirus,NA,2022-04-20,2
sv.wikipedia,Apkoppsvirus,NA,2022-04-24,1
sv.wikipedia,Apkoppsvirus,NA,2022-04-26,0
sv.wikipedia,Apkoppsvirus,NA,2022-04-28,1
sv.wikipedia,Apkoppsvirus,NA,2022-04-30,0
sv.wikipedia,Apkoppsvirus,NA,2022-05-02,0
sv.wikipedia,Apkoppsvirus,NA,2022-05-04,3
sv.wikipedia,Apkoppsvirus,NA,2022-05-05,2
sv.wikipedia,Apkoppsvirus,NA,2022-05-06,0
sv.wikipedia,Apkoppsvirus,NA,2022-05-07,177
sv.wikipedia,Apkoppsvirus,NA,2022-05-08,64
sv.wikipedia,Apkoppsvirus,NA,2022-05-09,28
sv.wikipedia,Apkoppsvirus,NA,2022-05-10,13
sv.wikipedia,Apkoppsvirus,NA,2022-05-11,4
sv.wikipedia,Apkoppsvirus,NA,2022-05-12,2
sv.wikipedia,Apkoppsvirus,NA,2022-05-13,2
sv.wikipedia,Apkoppsvirus,NA,2022-05-14,61
sv.wikipedia,Apkoppsvirus,NA,2022-05-15,22
sv.wikipedia,Apkoppsvirus,NA,2022-05-16,59
sv.wikipedia,Apkoppsvirus,NA,2022-05-17,622
sv.wikipedia,Apkoppsvirus,NA,2022-05-18,551
sv.wikipedia,Apkoppsvirus,NA,2022-05-19,5849
sv.wikipedia,Apkoppsvirus,NA,2022-05-20,8322
sv.wikipedia,Apkoppsvirus,NA,2022-05-21,1808
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-05-21,21
sv.wikipedia,Apkoppsvirus,NA,2022-05-22,1154
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-05-22,35
sv.wikipedia,Apkoppsvirus,NA,2022-05-23,917
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-05-23,41
sv.wikipedia,Apkoppsvirus,NA,2022-05-24,480
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-05-24,23
sv.wikipedia,Apkoppsvirus,NA,2022-05-25,641
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-05-25,11
sv.wikipedia,Apkoppsvirus,NA,2022-05-26,287
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-05-26,11
sv.wikipedia,Apkoppsvirus,NA,2022-05-27,211
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-05-27,6
sv.wikipedia,Apkoppsvirus,NA,2022-05-28,129
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-05-28,8
sv.wikipedia,Apkoppsvirus,NA,2022-05-29,98
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-05-29,6
sv.wikipedia,Apkoppsvirus,NA,2022-05-30,159
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-05-30,5
sv.wikipedia,Apkoppsvirus,NA,2022-05-31,185
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-05-31,4
sv.wikipedia,Apkoppsvirus,NA,2022-06-01,89
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-06-01,4
sv.wikipedia,Apkoppsvirus,NA,2022-06-02,67
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-06-02,2
sv.wikipedia,Apkoppsvirus,NA,2022-06-03,42
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-06-03,1
sv.wikipedia,Apkoppsvirus,NA,2022-06-04,86
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-06-04,2
sv.wikipedia,Apkoppsvirus,NA,2022-06-05,56
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-06-05,2
sv.wikipedia,Apkoppsvirus,NA,2022-06-06,31
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-06-06,1
sv.wikipedia,Apkoppsvirus,NA,2022-06-07,26
sv.wikipedia,Apkoppsvirus,NA,2022-06-08,46
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-06-08,2
sv.wikipedia,Apkoppsvirus,NA,2022-06-09,43
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-06-09,6
sv.wikipedia,Apkoppsvirus,NA,2022-06-10,24
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-06-10,1
sv.wikipedia,Apkoppsvirus,NA,2022-06-11,25
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-06-11,1
sv.wikipedia,Apkoppsvirus,NA,2022-06-12,29
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-06-12,2
sv.wikipedia,Apkoppsvirus,NA,2022-06-13,12
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-06-13,2
sv.wikipedia,Apkoppsvirus,NA,2022-06-14,40
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-06-14,4
sv.wikipedia,Apkoppsvirus,NA,2022-06-15,116
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-06-15,14
sv.wikipedia,Apkoppsvirus,NA,2022-06-16,58
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-06-16,4
sv.wikipedia,Apkoppsvirus,NA,2022-06-17,28
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-06-17,2
sv.wikipedia,Apkoppsvirus,NA,2022-06-18,35
sv.wikipedia,Apkoppsvirus,NA,2022-06-19,16
sv.wikipedia,Apkoppsvirus,NA,2022-06-20,19
sv.wikipedia,Apkoppsvirus,NA,2022-06-21,11
sv.wikipedia,Apkoppsvirus,NA,2022-06-22,12
sv.wikipedia,Apkoppsvirus,NA,2022-06-23,41
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-06-23,1
sv.wikipedia,Apkoppsvirus,NA,2022-06-24,18
sv.wikipedia,Apkoppsvirus,NA,2022-06-25,29
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-06-25,1
sv.wikipedia,Apkoppsvirus,NA,2022-06-26,37
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-06-26,1
sv.wikipedia,Apkoppsvirus,NA,2022-06-27,15
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-06-27,2
sv.wikipedia,Apkoppsvirus,NA,2022-06-28,17
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-06-28,1
sv.wikipedia,Apkoppsvirus,NA,2022-06-29,19
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-06-29,0
sv.wikipedia,Apkoppsvirus,NA,2022-06-30,12
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-06-30,1
sv.wikipedia,Apkoppsvirus,NA,2022-07-01,21
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-07-01,1
sv.wikipedia,Apkoppsvirus,NA,2022-07-02,94
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-07-02,3
sv.wikipedia,Apkoppsvirus,NA,2022-07-03,23
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-07-03,3
sv.wikipedia,Apkoppsvirus,NA,2022-07-04,11
sv.wikipedia,Apkoppsvirus,NA,2022-07-05,16
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-07-05,1
sv.wikipedia,Apkoppsvirus,NA,2022-07-06,14
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-07-06,1
sv.wikipedia,Apkoppsvirus,NA,2022-07-07,20
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-07-07,2
sv.wikipedia,Apkoppsvirus,NA,2022-07-08,44
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-07-08,2
sv.wikipedia,Apkoppsvirus,NA,2022-07-09,52
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-07-09,5
sv.wikipedia,Apkoppsvirus,NA,2022-07-10,18
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-07-10,3
sv.wikipedia,Apkoppsvirus,NA,2022-07-11,49
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-07-11,2
sv.wikipedia,Apkoppsvirus,NA,2022-07-12,83
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-07-12,4
sv.wikipedia,Apkoppsvirus,NA,2022-07-13,51
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-07-13,1
sv.wikipedia,Apkoppsvirus,NA,2022-07-14,31
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-07-14,2
sv.wikipedia,Apkoppsvirus,NA,2022-07-15,18
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-07-15,2
sv.wikipedia,Apkoppsvirus,NA,2022-07-16,28
sv.wikipedia,Apkoppsvirus,NA,2022-07-17,75
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-07-17,5
sv.wikipedia,Apkoppsvirus,NA,2022-07-18,54
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-07-18,2
sv.wikipedia,Apkoppsvirus,NA,2022-07-19,33
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-07-19,5
sv.wikipedia,Apkoppsvirus,NA,2022-07-20,13
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-07-20,1
sv.wikipedia,Apkoppsvirus,NA,2022-07-21,23
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-07-21,0
sv.wikipedia,Apkoppsvirus,NA,2022-07-22,31
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-07-22,1
sv.wikipedia,Apkoppsvirus,NA,2022-07-23,545
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-07-23,20
sv.wikipedia,Apkoppsvirus,NA,2022-07-24,267
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-07-24,16
sv.wikipedia,Apkoppsvirus,NA,2022-07-25,215
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-07-25,16
sv.wikipedia,Apkoppsvirus,NA,2022-07-26,231
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-07-26,8
sv.wikipedia,Apkoppsvirus,NA,2022-07-27,164
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-07-27,10
sv.wikipedia,Apkoppsvirus,NA,2022-07-28,182
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-07-28,8
sv.wikipedia,Apkoppsvirus,NA,2022-07-29,261
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-07-29,5
sv.wikipedia,Apkoppsvirus,NA,2022-07-30,275
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-07-30,13
sv.wikipedia,Apkoppsvirus,NA,2022-07-31,124
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-07-31,1
sv.wikipedia,Apkoppsvirus,NA,2022-08-01,136
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-08-01,5
sv.wikipedia,Apkoppsvirus,NA,2022-08-02,125
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-08-02,3
sv.wikipedia,Apkoppsvirus,NA,2022-08-03,71
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-08-03,5
sv.wikipedia,Apkoppsvirus,NA,2022-08-04,88
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-08-04,2
sv.wikipedia,Apkoppsvirus,NA,2022-08-05,96
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-08-05,4
sv.wikipedia,Apkoppsvirus,NA,2022-08-06,123
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-08-06,2
sv.wikipedia,Apkoppsvirus,NA,2022-08-07,59
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-08-07,5
sv.wikipedia,Apkoppsvirus,NA,2022-08-08,58
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-08-08,3
sv.wikipedia,Apkoppsvirus,NA,2022-08-09,53
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-08-09,7
sv.wikipedia,Apkoppsvirus,NA,2022-08-10,36
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-08-10,1
sv.wikipedia,Apkoppsvirus,NA,2022-08-11,34
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-08-11,1
sv.wikipedia,Apkoppsvirus,NA,2022-08-12,22
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-08-12,1
sv.wikipedia,Apkoppsvirus,NA,2022-08-13,19
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-08-13,1
sv.wikipedia,Apkoppsvirus,NA,2022-08-14,21
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-08-14,1
sv.wikipedia,Apkoppsvirus,NA,2022-08-15,18
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-08-15,1
sv.wikipedia,Apkoppsvirus,NA,2022-08-16,38
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-08-16,0
sv.wikipedia,Apkoppsvirus,NA,2022-08-17,20
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-08-17,2
sv.wikipedia,Apkoppsvirus,NA,2022-08-18,48
sv.wikipedia,Apkoppsvirus,NA,2022-08-19,29
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-08-19,2
sv.wikipedia,Apkoppsvirus,NA,2022-08-20,19
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-08-20,0
sv.wikipedia,Apkoppsvirus,NA,2022-08-21,20
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-08-21,3
sv.wikipedia,Apkoppsvirus,NA,2022-08-22,28
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-08-22,1
sv.wikipedia,Apkoppsvirus,NA,2022-08-23,11
sv.wikipedia,Apkoppsvirus,NA,2022-08-24,14
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-08-24,3
sv.wikipedia,Apkoppsvirus,NA,2022-08-25,26
sv.wikipedia,Apkoppsvirus,NA,2022-08-26,24
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-08-26,1
sv.wikipedia,Apkoppsvirus,NA,2022-08-27,17
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-08-27,2
sv.wikipedia,Apkoppsvirus,NA,2022-08-28,15
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-08-28,1
sv.wikipedia,Apkoppsvirus,NA,2022-08-29,18
sv.wikipedia,Apkoppsvirus,NA,2022-08-30,14
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-08-30,3
sv.wikipedia,Apkoppsvirus,NA,2022-08-31,11
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-08-31,0
sv.wikipedia,Apkoppsvirus,NA,2022-09-01,8
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-09-01,3
sv.wikipedia,Apkoppsvirus,NA,2022-09-02,11
sv.wikipedia,Apkoppsvirus,NA,2022-09-03,5
sv.wikipedia,Apkoppsvirus,NA,2022-09-04,10
sv.wikipedia,Apkoppsvirus,NA,2022-09-05,10
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-09-05,1
sv.wikipedia,Apkoppsvirus,NA,2022-09-06,7
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-09-06,1
sv.wikipedia,Apkoppsvirus,NA,2022-09-07,4
sv.wikipedia,Apkoppsvirus,NA,2022-09-08,10
sv.wikipedia,Apkoppsvirus,Apkoppor,2022-09-08,1
