project,page_title,date,pageviews
sw.wikipedia,Kikope,2022-01-01,5
sw.wikipedia,Kikope,2022-01-02,0
sw.wikipedia,Kikope,2022-01-03,0
sw.wikipedia,Kikope,2022-01-04,0
sw.wikipedia,Kikope,2022-01-06,1
sw.wikipedia,Kikope,2022-01-07,6
sw.wikipedia,Kikope,2022-01-08,0
sw.wikipedia,Kikope,2022-01-09,0
sw.wikipedia,Kikope,2022-01-10,1
sw.wikipedia,Kikope,2022-01-11,0
sw.wikipedia,Kikope,2022-01-12,1
sw.wikipedia,Kikope,2022-01-13,0
sw.wikipedia,Kikope,2022-01-14,2
sw.wikipedia,Kikope,2022-01-15,0
sw.wikipedia,Kikope,2022-01-16,0
sw.wikipedia,Kikope,2022-01-17,0
sw.wikipedia,Kikope,2022-01-18,0
sw.wikipedia,Kikope,2022-01-19,0
sw.wikipedia,Kikope,2022-01-20,0
sw.wikipedia,Kikope,2022-01-21,0
sw.wikipedia,Kikope,2022-01-22,1
sw.wikipedia,Kikope,2022-01-23,0
sw.wikipedia,Kikope,2022-01-24,1
sw.wikipedia,Kikope,2022-01-25,1
sw.wikipedia,Kikope,2022-01-26,0
sw.wikipedia,Kikope,2022-01-27,2
sw.wikipedia,Kikope,2022-01-28,1
sw.wikipedia,Kikope,2022-01-29,1
sw.wikipedia,Kikope,2022-01-30,0
sw.wikipedia,Kikope,2022-01-31,0
sw.wikipedia,Kikope,2022-02-01,0
sw.wikipedia,Kikope,2022-02-02,0
sw.wikipedia,Kikope,2022-02-03,0
sw.wikipedia,Kikope,2022-02-04,0
sw.wikipedia,Kikope,2022-02-05,0
sw.wikipedia,Kikope,2022-02-06,1
sw.wikipedia,Kikope,2022-02-07,0
sw.wikipedia,Kikope,2022-02-08,0
sw.wikipedia,Kikope,2022-02-09,3
sw.wikipedia,Kikope,2022-02-10,0
sw.wikipedia,Kikope,2022-02-11,0
sw.wikipedia,Kikope,2022-02-12,0
sw.wikipedia,Kikope,2022-02-14,0
sw.wikipedia,Kikope,2022-02-15,0
sw.wikipedia,Kikope,2022-02-16,1
sw.wikipedia,Kikope,2022-02-17,0
sw.wikipedia,Kikope,2022-02-18,1
sw.wikipedia,Kikope,2022-02-19,0
sw.wikipedia,Kikope,2022-02-20,1
sw.wikipedia,Kikope,2022-02-21,0
sw.wikipedia,Kikope,2022-02-22,0
sw.wikipedia,Kikope,2022-02-23,1
sw.wikipedia,Kikope,2022-02-25,0
sw.wikipedia,Kikope,2022-02-26,0
sw.wikipedia,Kikope,2022-02-27,0
sw.wikipedia,Kikope,2022-02-28,0
sw.wikipedia,Kikope,2022-03-01,0
sw.wikipedia,Kikope,2022-03-03,0
sw.wikipedia,Kikope,2022-03-05,0
sw.wikipedia,Kikope,2022-03-06,0
sw.wikipedia,Kikope,2022-03-07,0
sw.wikipedia,Kikope,2022-03-09,0
sw.wikipedia,Kikope,2022-03-10,0
sw.wikipedia,Kikope,2022-03-11,2
sw.wikipedia,Kikope,2022-03-12,0
sw.wikipedia,Kikope,2022-03-13,0
sw.wikipedia,Kikope,2022-03-14,0
sw.wikipedia,Kikope,2022-03-15,1
sw.wikipedia,Kikope,2022-03-16,0
sw.wikipedia,Kikope,2022-03-17,2
sw.wikipedia,Kikope,2022-03-18,0
sw.wikipedia,Kikope,2022-03-19,0
sw.wikipedia,Kikope,2022-03-20,0
sw.wikipedia,Kikope,2022-03-21,0
sw.wikipedia,Kikope,2022-03-23,0
sw.wikipedia,Kikope,2022-03-24,0
sw.wikipedia,Kikope,2022-03-26,0
sw.wikipedia,Kikope,2022-03-28,0
sw.wikipedia,Kikope,2022-03-29,0
sw.wikipedia,Kikope,2022-03-30,0
sw.wikipedia,Kikope,2022-04-01,0
sw.wikipedia,Kikope,2022-04-02,0
sw.wikipedia,Kikope,2022-04-03,0
sw.wikipedia,Kikope,2022-04-04,0
sw.wikipedia,Kikope,2022-04-05,0
sw.wikipedia,Kikope,2022-04-06,2
sw.wikipedia,Kikope,2022-04-07,0
sw.wikipedia,Kikope,2022-04-09,0
sw.wikipedia,Kikope,2022-04-10,0
sw.wikipedia,Kikope,2022-04-11,1
sw.wikipedia,Kikope,2022-04-12,1
sw.wikipedia,Kikope,2022-04-13,0
sw.wikipedia,Kikope,2022-04-14,3
sw.wikipedia,Kikope,2022-04-15,0
sw.wikipedia,Kikope,2022-04-16,0
sw.wikipedia,Kikope,2022-04-18,0
sw.wikipedia,Kikope,2022-04-20,0
sw.wikipedia,Kikope,2022-04-21,0
sw.wikipedia,Kikope,2022-04-22,4
sw.wikipedia,Kikope,2022-04-23,0
sw.wikipedia,Kikope,2022-04-24,2
sw.wikipedia,Kikope,2022-04-25,5
sw.wikipedia,Kikope,2022-04-26,0
sw.wikipedia,Kikope,2022-04-28,1
sw.wikipedia,Kikope,2022-04-29,0
sw.wikipedia,Kikope,2022-04-30,0
sw.wikipedia,Kikope,2022-05-01,0
sw.wikipedia,Kikope,2022-05-02,0
sw.wikipedia,Kikope,2022-05-04,0
sw.wikipedia,Kikope,2022-05-05,0
sw.wikipedia,Kikope,2022-05-06,0
sw.wikipedia,Kikope,2022-05-07,0
sw.wikipedia,Kikope,2022-05-09,0
sw.wikipedia,Kikope,2022-05-10,1
sw.wikipedia,Kikope,2022-05-11,1
sw.wikipedia,Kikope,2022-05-12,0
sw.wikipedia,Kikope,2022-05-13,0
sw.wikipedia,Kikope,2022-05-14,0
sw.wikipedia,Kikope,2022-05-15,1
sw.wikipedia,Kikope,2022-05-16,0
sw.wikipedia,Kikope,2022-05-17,2
sw.wikipedia,Kikope,2022-05-18,0
sw.wikipedia,Kikope,2022-05-19,2
sw.wikipedia,Kikope,2022-05-20,0
sw.wikipedia,Kikope,2022-05-21,0
sw.wikipedia,Kikope,2022-05-22,1
sw.wikipedia,Kikope,2022-05-23,0
sw.wikipedia,Kikope,2022-05-24,0
sw.wikipedia,Kikope,2022-05-25,2
sw.wikipedia,Kikope,2022-05-26,1
sw.wikipedia,Kikope,2022-05-27,0
sw.wikipedia,Kikope,2022-05-28,1
sw.wikipedia,Kikope,2022-05-29,0
sw.wikipedia,Kikope,2022-05-30,0
sw.wikipedia,Kikope,2022-05-31,0
sw.wikipedia,Kikope,2022-06-02,0
sw.wikipedia,Kikope,2022-06-03,0
sw.wikipedia,Kikope,2022-06-04,2
sw.wikipedia,Kikope,2022-06-05,0
sw.wikipedia,Kikope,2022-06-06,0
sw.wikipedia,Kikope,2022-06-07,0
sw.wikipedia,Kikope,2022-06-08,0
sw.wikipedia,Kikope,2022-06-09,1
sw.wikipedia,Kikope,2022-06-10,1
sw.wikipedia,Kikope,2022-06-12,0
sw.wikipedia,Kikope,2022-06-13,0
sw.wikipedia,Kikope,2022-06-14,1
sw.wikipedia,Kikope,2022-06-15,0
sw.wikipedia,Kikope,2022-06-16,0
sw.wikipedia,Kikope,2022-06-17,1
sw.wikipedia,Kikope,2022-06-18,0
sw.wikipedia,Kikope,2022-06-19,2
sw.wikipedia,Kikope,2022-06-20,0
sw.wikipedia,Kikope,2022-06-22,0
sw.wikipedia,Kikope,2022-06-23,0
sw.wikipedia,Kikope,2022-06-25,0
sw.wikipedia,Kikope,2022-06-26,0
sw.wikipedia,Kikope,2022-06-27,1
sw.wikipedia,Kikope,2022-06-28,0
sw.wikipedia,Kikope,2022-06-29,0
