project,page_title,date,pageviews
tl.wikipedia,Monkeypox_birus,2022-05-22,15
tl.wikipedia,Monkeypox_birus,2022-05-24,8
tl.wikipedia,Monkeypox_birus,2022-05-25,2
tl.wikipedia,Monkeypox_birus,2022-05-26,4
tl.wikipedia,Monkeypox_birus,2022-05-27,8
tl.wikipedia,Monkeypox_birus,2022-05-28,2
tl.wikipedia,Monkeypox_birus,2022-05-29,3
tl.wikipedia,Monkeypox_birus,2022-05-30,2
tl.wikipedia,Monkeypox_birus,2022-05-31,2
tl.wikipedia,Monkeypox_birus,2022-06-01,11
tl.wikipedia,Monkeypox_birus,2022-06-02,4
tl.wikipedia,Monkeypox_birus,2022-06-03,2
tl.wikipedia,Monkeypox_birus,2022-06-04,2
tl.wikipedia,Monkeypox_birus,2022-06-05,3
tl.wikipedia,Monkeypox_birus,2022-06-06,1
tl.wikipedia,Monkeypox_birus,2022-06-07,6
tl.wikipedia,Monkeypox_birus,2022-06-08,4
tl.wikipedia,Monkeypox_birus,2022-06-09,5
tl.wikipedia,Monkeypox_birus,2022-06-10,0
tl.wikipedia,Monkeypox_birus,2022-06-11,5
tl.wikipedia,Monkeypox_birus,2022-06-12,1
tl.wikipedia,Monkeypox_birus,2022-06-13,2
tl.wikipedia,Monkeypox_birus,2022-06-14,4
tl.wikipedia,Monkeypox_birus,2022-06-15,2
tl.wikipedia,Monkeypox_birus,2022-06-16,7
tl.wikipedia,Monkeypox_birus,2022-06-17,4
tl.wikipedia,Monkeypox_birus,2022-06-18,39
tl.wikipedia,Monkeypox_birus,2022-06-19,1
tl.wikipedia,Monkeypox_birus,2022-06-20,10
tl.wikipedia,Monkeypox_birus,2022-06-21,7
tl.wikipedia,Monkeypox_birus,2022-06-22,4
tl.wikipedia,Monkeypox_birus,2022-06-23,0
tl.wikipedia,Monkeypox_birus,2022-06-24,5
tl.wikipedia,Monkeypox_birus,2022-06-25,2
tl.wikipedia,Monkeypox_birus,2022-06-26,2
tl.wikipedia,Monkeypox_birus,2022-06-27,4
tl.wikipedia,Monkeypox_birus,2022-06-28,0
tl.wikipedia,Monkeypox_birus,2022-06-29,4
tl.wikipedia,Monkeypox_birus,2022-06-30,1
tl.wikipedia,Monkeypox_birus,2022-07-01,4
tl.wikipedia,Monkeypox_birus,2022-07-02,5
tl.wikipedia,Monkeypox_birus,2022-07-03,4
tl.wikipedia,Monkeypox_birus,2022-07-05,1
tl.wikipedia,Monkeypox_birus,2022-07-06,4
tl.wikipedia,Monkeypox_birus,2022-07-07,2
tl.wikipedia,Monkeypox_birus,2022-07-08,2
tl.wikipedia,Monkeypox_birus,2022-07-10,0
tl.wikipedia,Monkeypox_birus,2022-07-11,1
tl.wikipedia,Monkeypox_birus,2022-07-12,0
tl.wikipedia,Monkeypox_birus,2022-07-13,3
tl.wikipedia,Monkeypox_birus,2022-07-14,0
tl.wikipedia,Monkeypox_birus,2022-07-15,5
tl.wikipedia,Monkeypox_birus,2022-07-16,1
