project,page_title,date,pageviews
tw.wikipedia,Ayamtim,2022-07-11,10
tw.wikipedia,Ayamtim,2022-07-12,2
tw.wikipedia,Ayamtim,2022-07-13,0
tw.wikipedia,Ayamtim,2022-07-14,0
tw.wikipedia,Ayamtim,2022-07-15,1
tw.wikipedia,Ayamtim,2022-07-16,0
tw.wikipedia,Ayamtim,2022-07-17,0
tw.wikipedia,Ayamtim,2022-07-18,2
tw.wikipedia,Ayamtim,2022-07-19,1
tw.wikipedia,Ayamtim,2022-07-20,1
tw.wikipedia,Ayamtim,2022-07-21,0
tw.wikipedia,Ayamtim,2022-07-22,0
tw.wikipedia,Ayamtim,2022-07-23,0
tw.wikipedia,Ayamtim,2022-07-24,1
tw.wikipedia,Ayamtim,2022-07-25,0
tw.wikipedia,Ayamtim,2022-07-26,1
tw.wikipedia,Ayamtim,2022-07-27,0
tw.wikipedia,Ayamtim,2022-07-28,2
tw.wikipedia,Ayamtim,2022-07-29,0
tw.wikipedia,Ayamtim,2022-07-30,0
tw.wikipedia,Ayamtim,2022-07-31,0
tw.wikipedia,Ayamtim,2022-08-01,0
tw.wikipedia,Ayamtim,2022-08-02,0
tw.wikipedia,Ayamtim,2022-08-03,1
tw.wikipedia,Ayamtim,2022-08-04,0
tw.wikipedia,Ayamtim,2022-08-05,0
tw.wikipedia,Ayamtim,2022-08-06,0
tw.wikipedia,Ayamtim,2022-08-07,0
tw.wikipedia,Ayamtim,2022-08-08,0
tw.wikipedia,Ayamtim,2022-08-09,1
tw.wikipedia,Ayamtim,2022-08-10,0
tw.wikipedia,Ayamtim,2022-08-11,1
tw.wikipedia,Ayamtim,2022-08-12,1
tw.wikipedia,Ayamtim,2022-08-13,0
tw.wikipedia,Ayamtim,2022-08-14,3
tw.wikipedia,Ayamtim,2022-08-15,0
tw.wikipedia,Ayamtim,2022-08-16,0
tw.wikipedia,Ayamtim,2022-08-17,0
tw.wikipedia,Ayamtim,2022-08-18,0
tw.wikipedia,Ayamtim,2022-08-19,0
tw.wikipedia,Ayamtim,2022-08-20,0
tw.wikipedia,Ayamtim,2022-08-21,0
tw.wikipedia,Ayamtim,2022-08-22,0
tw.wikipedia,Ayamtim,2022-08-23,0
tw.wikipedia,Ayamtim,2022-08-24,0
tw.wikipedia,Ayamtim,2022-08-25,0
tw.wikipedia,Ayamtim,2022-08-26,0
tw.wikipedia,Ayamtim,2022-08-27,2
tw.wikipedia,Ayamtim,2022-08-28,0
tw.wikipedia,Ayamtim,2022-08-29,2
tw.wikipedia,Ayamtim,2022-08-30,0
tw.wikipedia,Ayamtim,2022-08-31,1
tw.wikipedia,Ayamtim,2022-09-01,0
tw.wikipedia,Ayamtim,2022-09-02,2
tw.wikipedia,Ayamtim,2022-09-03,0
tw.wikipedia,Ayamtim,2022-09-04,0
tw.wikipedia,Ayamtim,2022-09-05,0
tw.wikipedia,Ayamtim,2022-09-06,3
tw.wikipedia,Ayamtim,2022-09-07,0
tw.wikipedia,Ayamtim,2022-09-08,0
tw.wikipedia,Ayamtim,2022-09-09,1
tw.wikipedia,Ayamtim,2022-09-10,1
tw.wikipedia,Ayamtim,2022-09-11,0
tw.wikipedia,Ayamtim,2022-09-12,0
tw.wikipedia,Ayamtim,2022-09-13,0
tw.wikipedia,Ayamtim,2022-09-14,1
tw.wikipedia,Ayamtim,2022-09-15,0
tw.wikipedia,Ayamtim,2022-09-16,1
tw.wikipedia,Ayamtim,2022-09-17,0
tw.wikipedia,Ayamtim,2022-09-18,0
tw.wikipedia,Ayamtim,2022-09-20,2
tw.wikipedia,Ayamtim,2022-09-21,0
tw.wikipedia,Ayamtim,2022-09-22,0
tw.wikipedia,Ayamtim,2022-09-23,0
tw.wikipedia,Ayamtim,2022-09-24,3
tw.wikipedia,Ayamtim,2022-09-25,0
tw.wikipedia,Ayamtim,2022-09-26,0
tw.wikipedia,Ayamtim,2022-09-27,2
tw.wikipedia,Ayamtim,2022-09-29,1
tw.wikipedia,Ayamtim,2022-09-30,0
tw.wikipedia,Ayamtim,2022-10-01,0
tw.wikipedia,Ayamtim,2022-10-02,1
tw.wikipedia,Ayamtim,2022-10-03,1
tw.wikipedia,Ayamtim,2022-10-04,1
tw.wikipedia,Ayamtim,2022-10-05,2
tw.wikipedia,Ayamtim,2022-10-06,0
tw.wikipedia,Ayamtim,2022-10-07,7
tw.wikipedia,Ayamtim,2022-10-08,0
tw.wikipedia,Ayamtim,2022-10-09,0
tw.wikipedia,Ayamtim,2022-10-10,1
