project,page_name,redirect_name,date,views
uk.wikipedia,Mpox,NA,2022-11-28,7
uk.wikipedia,Mpox,NA,2022-11-28,7
uk.wikipedia,Mpox,NA,2022-11-28,7
uk.wikipedia,Mpox,NA,2022-11-28,7
uk.wikipedia,Mpox,NA,2022-11-29,0
uk.wikipedia,Mpox,NA,2022-11-29,0
uk.wikipedia,Mpox,NA,2022-11-29,0
uk.wikipedia,Mpox,NA,2022-11-29,0
uk.wikipedia,Mpox,NA,2022-12-03,3
uk.wikipedia,Mpox,NA,2022-12-03,3
uk.wikipedia,Mpox,NA,2022-12-03,3
uk.wikipedia,Mpox,NA,2022-12-03,3
uk.wikipedia,Mpox,NA,2022-12-04,1
uk.wikipedia,Mpox,NA,2022-12-04,1
uk.wikipedia,Mpox,NA,2022-12-04,1
uk.wikipedia,Mpox,NA,2022-12-04,1
uk.wikipedia,Mpox,NA,2022-12-07,0
uk.wikipedia,Mpox,NA,2022-12-07,0
uk.wikipedia,Mpox,NA,2022-12-07,0
uk.wikipedia,Mpox,NA,2022-12-07,0
uk.wikipedia,Mpox,NA,2022-12-28,0
uk.wikipedia,Mpox,NA,2022-12-28,0
uk.wikipedia,Mpox,NA,2022-12-28,0
uk.wikipedia,Mpox,NA,2022-12-28,0
uk.wikipedia,Mpox,NA,2023-01-04,0
uk.wikipedia,Mpox,NA,2023-01-04,0
uk.wikipedia,Mpox,NA,2023-01-04,0
uk.wikipedia,Mpox,NA,2023-01-04,0
uk.wikipedia,Вірус віспи мавп,NA,2022-05-25,63
uk.wikipedia,Вірус віспи мавп,NA,2022-05-26,28
uk.wikipedia,Вірус віспи мавп,NA,2022-05-27,19
uk.wikipedia,Вірус віспи мавп,NA,2022-05-28,13
uk.wikipedia,Вірус віспи мавп,NA,2022-05-29,13
uk.wikipedia,Вірус віспи мавп,NA,2022-05-30,13
uk.wikipedia,Вірус віспи мавп,NA,2022-05-31,17
uk.wikipedia,Вірус віспи мавп,NA,2022-06-01,24
uk.wikipedia,Вірус віспи мавп,NA,2022-06-02,20
uk.wikipedia,Вірус віспи мавп,NA,2022-06-03,22
uk.wikipedia,Вірус віспи мавп,NA,2022-06-04,13
uk.wikipedia,Вірус віспи мавп,NA,2022-06-05,9
uk.wikipedia,Вірус віспи мавп,NA,2022-06-06,33
uk.wikipedia,Вірус віспи мавп,NA,2022-06-07,8
uk.wikipedia,Вірус віспи мавп,NA,2022-06-08,8
uk.wikipedia,Вірус віспи мавп,NA,2022-06-09,2
uk.wikipedia,Вірус віспи мавп,NA,2022-06-10,46
uk.wikipedia,Вірус віспи мавп,NA,2022-06-11,19
uk.wikipedia,Вірус віспи мавп,NA,2022-06-12,21
uk.wikipedia,Вірус віспи мавп,NA,2022-06-13,23
uk.wikipedia,Вірус віспи мавп,NA,2022-06-14,13
uk.wikipedia,Вірус віспи мавп,NA,2022-06-15,20
uk.wikipedia,Вірус віспи мавп,NA,2022-06-16,11
uk.wikipedia,Вірус віспи мавп,NA,2022-06-17,6
uk.wikipedia,Вірус віспи мавп,NA,2022-06-18,1
uk.wikipedia,Вірус віспи мавп,NA,2022-06-19,5
uk.wikipedia,Вірус віспи мавп,NA,2022-06-20,3
uk.wikipedia,Вірус віспи мавп,NA,2022-06-21,9
uk.wikipedia,Вірус віспи мавп,NA,2022-06-22,3
uk.wikipedia,Вірус віспи мавп,NA,2022-06-23,24
uk.wikipedia,Вірус віспи мавп,NA,2022-06-24,10
uk.wikipedia,Вірус віспи мавп,NA,2022-06-25,5
uk.wikipedia,Вірус віспи мавп,NA,2022-06-26,8
uk.wikipedia,Вірус віспи мавп,NA,2022-06-27,3
uk.wikipedia,Вірус віспи мавп,NA,2022-06-28,9
uk.wikipedia,Вірус віспи мавп,NA,2022-06-29,4
uk.wikipedia,Вірус віспи мавп,NA,2022-06-30,2
uk.wikipedia,Вірус віспи мавп,NA,2022-07-01,5
uk.wikipedia,Вірус віспи мавп,NA,2022-07-02,3
uk.wikipedia,Вірус віспи мавп,NA,2022-07-03,3
uk.wikipedia,Вірус віспи мавп,NA,2022-07-04,5
uk.wikipedia,Вірус віспи мавп,NA,2022-07-05,1
uk.wikipedia,Вірус віспи мавп,NA,2022-07-06,3
uk.wikipedia,Вірус віспи мавп,NA,2022-07-07,12
uk.wikipedia,Вірус віспи мавп,NA,2022-07-08,3
uk.wikipedia,Вірус віспи мавп,NA,2022-07-09,2
uk.wikipedia,Вірус віспи мавп,NA,2022-07-10,2
uk.wikipedia,Вірус віспи мавп,NA,2022-07-11,0
uk.wikipedia,Вірус віспи мавп,NA,2022-07-12,8
uk.wikipedia,Вірус віспи мавп,NA,2022-07-13,9
uk.wikipedia,Вірус віспи мавп,NA,2022-07-14,0
uk.wikipedia,Вірус віспи мавп,NA,2022-07-15,3
uk.wikipedia,Вірус віспи мавп,NA,2022-07-16,4
uk.wikipedia,Вірус віспи мавп,NA,2022-07-17,5
uk.wikipedia,Вірус віспи мавп,NA,2022-07-18,7
uk.wikipedia,Вірус віспи мавп,NA,2022-07-19,1
uk.wikipedia,Вірус віспи мавп,NA,2022-07-20,1
uk.wikipedia,Вірус віспи мавп,NA,2022-07-21,3
uk.wikipedia,Вірус віспи мавп,NA,2022-07-22,6
uk.wikipedia,Вірус віспи мавп,NA,2022-07-23,36
uk.wikipedia,Вірус віспи мавп,NA,2022-07-24,18
uk.wikipedia,Вірус віспи мавп,NA,2022-07-25,20
uk.wikipedia,Вірус віспи мавп,NA,2022-07-26,7
uk.wikipedia,Вірус віспи мавп,NA,2022-07-27,18
uk.wikipedia,Вірус віспи мавп,NA,2022-07-28,9
uk.wikipedia,Вірус віспи мавп,NA,2022-07-29,38
uk.wikipedia,Вірус віспи мавп,NA,2022-07-30,14
uk.wikipedia,Вірус віспи мавп,NA,2022-07-31,9
uk.wikipedia,Вірус віспи мавп,NA,2022-08-01,9
uk.wikipedia,Вірус віспи мавп,NA,2022-08-02,11
uk.wikipedia,Вірус віспи мавп,NA,2022-08-03,5
uk.wikipedia,Вірус віспи мавп,NA,2022-08-04,9
uk.wikipedia,Вірус віспи мавп,NA,2022-08-05,11
uk.wikipedia,Вірус віспи мавп,NA,2022-08-06,12
uk.wikipedia,Вірус віспи мавп,NA,2022-08-07,6
uk.wikipedia,Вірус віспи мавп,NA,2022-08-08,7
uk.wikipedia,Вірус віспи мавп,NA,2022-08-09,13
uk.wikipedia,Вірус віспи мавп,NA,2022-08-10,7
uk.wikipedia,Вірус віспи мавп,NA,2022-08-11,9
uk.wikipedia,Вірус віспи мавп,NA,2022-08-12,1
uk.wikipedia,Вірус віспи мавп,NA,2022-08-13,6
uk.wikipedia,Вірус віспи мавп,NA,2022-08-14,5
uk.wikipedia,Вірус віспи мавп,NA,2022-08-15,3
uk.wikipedia,Вірус віспи мавп,NA,2022-08-16,7
uk.wikipedia,Вірус віспи мавп,NA,2022-08-17,4
uk.wikipedia,Вірус віспи мавп,NA,2022-08-18,3
uk.wikipedia,Вірус віспи мавп,NA,2022-08-19,2
uk.wikipedia,Вірус віспи мавп,NA,2022-08-20,0
uk.wikipedia,Вірус віспи мавп,NA,2022-08-21,1
uk.wikipedia,Вірус віспи мавп,NA,2022-08-22,15
uk.wikipedia,Вірус віспи мавп,NA,2022-08-23,3
uk.wikipedia,Вірус віспи мавп,NA,2022-08-24,5
uk.wikipedia,Вірус віспи мавп,NA,2022-08-25,0
uk.wikipedia,Вірус віспи мавп,NA,2022-08-26,3
uk.wikipedia,Вірус віспи мавп,NA,2022-08-27,5
uk.wikipedia,Вірус віспи мавп,NA,2022-08-28,3
uk.wikipedia,Вірус віспи мавп,NA,2022-08-29,0
uk.wikipedia,Вірус віспи мавп,NA,2022-08-30,1
uk.wikipedia,Вірус віспи мавп,NA,2022-08-31,1
uk.wikipedia,Вірус віспи мавп,NA,2022-09-01,2
uk.wikipedia,Вірус віспи мавп,NA,2022-09-02,6
uk.wikipedia,Вірус віспи мавп,NA,2022-09-03,4
uk.wikipedia,Вірус віспи мавп,NA,2022-09-04,4
uk.wikipedia,Вірус віспи мавп,NA,2022-09-06,2
uk.wikipedia,Вірус віспи мавп,NA,2022-09-07,0
uk.wikipedia,Вірус віспи мавп,NA,2022-09-08,5
uk.wikipedia,Вірус віспи мавп,NA,2022-09-09,2
uk.wikipedia,Вірус віспи мавп,NA,2022-09-10,4
uk.wikipedia,Вірус віспи мавп,NA,2022-09-11,1
uk.wikipedia,Вірус віспи мавп,NA,2022-09-12,4
uk.wikipedia,Вірус віспи мавп,NA,2022-09-13,2
uk.wikipedia,Вірус віспи мавп,NA,2022-09-14,6
uk.wikipedia,Вірус віспи мавп,NA,2022-09-15,65
uk.wikipedia,Вірус віспи мавп,NA,2022-09-16,27
uk.wikipedia,Вірус віспи мавп,NA,2022-09-17,9
uk.wikipedia,Вірус віспи мавп,NA,2022-09-18,5
uk.wikipedia,Вірус віспи мавп,NA,2022-09-19,17
uk.wikipedia,Вірус віспи мавп,NA,2022-09-20,13
uk.wikipedia,Вірус віспи мавп,NA,2022-09-21,8
uk.wikipedia,Вірус віспи мавп,NA,2022-09-22,25
uk.wikipedia,Вірус віспи мавп,NA,2022-09-23,17
uk.wikipedia,Вірус віспи мавп,NA,2022-09-24,3
uk.wikipedia,Вірус віспи мавп,NA,2022-09-25,5
uk.wikipedia,Вірус віспи мавп,NA,2022-09-26,14
uk.wikipedia,Вірус віспи мавп,NA,2022-09-27,15
uk.wikipedia,Вірус віспи мавп,NA,2022-09-28,9
