project,iso2,year,month,pageviews_ceil
als.wikipedia,DE,2022,1,135000
als.wikipedia,US,2022,1,122000
als.wikipedia,CH,2022,1,47000
als.wikipedia,FR,2022,1,30000
als.wikipedia,CA,2022,1,21000
als.wikipedia,SG,2022,1,21000
als.wikipedia,--,2022,1,20000
als.wikipedia,RU,2022,1,18000
als.wikipedia,NL,2022,1,14000
als.wikipedia,IR,2022,1,13000
als.wikipedia,LU,2022,1,8000
als.wikipedia,GB,2022,1,8000
als.wikipedia,AT,2022,1,7000
als.wikipedia,PL,2022,1,6000
als.wikipedia,IN,2022,1,6000
als.wikipedia,DK,2022,1,5000
als.wikipedia,JP,2022,1,5000
als.wikipedia,IT,2022,1,4000
als.wikipedia,FI,2022,1,4000
als.wikipedia,ES,2022,1,4000
als.wikipedia,BR,2022,1,3000
als.wikipedia,HK,2022,1,3000
als.wikipedia,ID,2022,1,3000
als.wikipedia,IL,2022,1,3000
als.wikipedia,MX,2022,1,3000
als.wikipedia,NO,2022,1,2000
als.wikipedia,TR,2022,1,2000
als.wikipedia,BE,2022,1,2000
als.wikipedia,TH,2022,1,2000
als.wikipedia,KR,2022,1,2000
als.wikipedia,UA,2022,1,2000
als.wikipedia,AL,2022,1,2000
als.wikipedia,SE,2022,1,2000
als.wikipedia,CZ,2022,1,2000
als.wikipedia,RO,2022,1,2000
als.wikipedia,VN,2022,1,2000
als.wikipedia,AU,2022,1,2000
als.wikipedia,TW,2022,1,2000
als.wikipedia,CO,2022,1,1000
als.wikipedia,PT,2022,1,1000
als.wikipedia,ZA,2022,1,1000
als.wikipedia,HU,2022,1,1000
als.wikipedia,CN,2022,1,1000
als.wikipedia,MA,2022,1,1000
als.wikipedia,IE,2022,1,1000
als.wikipedia,AR,2022,1,1000
als.wikipedia,MD,2022,1,1000
als.wikipedia,NG,2022,1,1000
als.wikipedia,GR,2022,1,1000
als.wikipedia,PE,2022,1,1000
als.wikipedia,PH,2022,1,1000
als.wikipedia,LV,2022,1,1000
als.wikipedia,MY,2022,1,1000
als.wikipedia,BD,2022,1,1000
als.wikipedia,PK,2022,1,1000
als.wikipedia,DZ,2022,1,1000
als.wikipedia,EG,2022,1,1000
als.wikipedia,SD,2022,1,1000
als.wikipedia,IQ,2022,1,1000
als.wikipedia,BG,2022,1,1000
als.wikipedia,SA,2022,1,1000
als.wikipedia,RS,2022,1,1000
