project,date,pageviews
an.wikipedia,2022-01-01,13716
an.wikipedia,2022-01-02,12834
an.wikipedia,2022-01-03,12742
an.wikipedia,2022-01-04,13759
an.wikipedia,2022-01-05,14550
an.wikipedia,2022-01-06,14122
an.wikipedia,2022-01-07,14358
an.wikipedia,2022-01-08,12050
an.wikipedia,2022-01-09,12869
an.wikipedia,2022-01-10,12331
an.wikipedia,2022-01-11,13654
an.wikipedia,2022-01-12,13410
an.wikipedia,2022-01-13,16478
an.wikipedia,2022-01-14,15029
an.wikipedia,2022-01-15,14199
an.wikipedia,2022-01-16,14465
an.wikipedia,2022-01-17,16090
an.wikipedia,2022-01-18,17274
an.wikipedia,2022-01-19,16953
an.wikipedia,2022-01-20,17898
an.wikipedia,2022-01-21,14993
an.wikipedia,2022-01-22,14006
an.wikipedia,2022-01-23,15148
an.wikipedia,2022-01-24,15978
an.wikipedia,2022-01-25,17633
an.wikipedia,2022-01-26,16891
an.wikipedia,2022-01-27,17402
an.wikipedia,2022-01-28,17824
an.wikipedia,2022-01-29,16100
an.wikipedia,2022-01-30,20959
an.wikipedia,2022-01-31,16355
an.wikipedia,2022-02-01,15888
an.wikipedia,2022-02-02,17640
an.wikipedia,2022-02-03,18388
an.wikipedia,2022-02-04,14595
an.wikipedia,2022-02-05,16213
an.wikipedia,2022-02-06,16223
an.wikipedia,2022-02-07,17943
an.wikipedia,2022-02-08,19600
an.wikipedia,2022-02-09,18443
an.wikipedia,2022-02-10,19422
an.wikipedia,2022-02-11,18311
an.wikipedia,2022-02-12,18392
an.wikipedia,2022-02-13,16625
an.wikipedia,2022-02-14,19455
an.wikipedia,2022-02-15,23258
an.wikipedia,2022-02-16,17451
an.wikipedia,2022-02-17,18763
an.wikipedia,2022-02-18,19512
an.wikipedia,2022-02-19,19008
an.wikipedia,2022-02-20,20730
an.wikipedia,2022-02-21,21888
an.wikipedia,2022-02-22,24900
an.wikipedia,2022-02-23,59011
an.wikipedia,2022-02-24,55249
an.wikipedia,2022-02-25,47499
an.wikipedia,2022-02-26,40162
an.wikipedia,2022-02-27,41172
an.wikipedia,2022-02-28,49536
an.wikipedia,2022-03-01,42967
an.wikipedia,2022-03-02,54384
an.wikipedia,2022-03-03,46964
an.wikipedia,2022-03-04,39831
an.wikipedia,2022-03-05,35363
an.wikipedia,2022-03-06,28919
