project,iso2,year,month,pageviews_ceil
ar.wikipedia,SA,2022,1,49248000
ar.wikipedia,EG,2022,1,36627000
ar.wikipedia,DZ,2022,1,16753000
ar.wikipedia,IQ,2022,1,16170000
ar.wikipedia,MA,2022,1,14537000
ar.wikipedia,JO,2022,1,8689000
ar.wikipedia,US,2022,1,6921000
ar.wikipedia,KW,2022,1,5621000
ar.wikipedia,AE,2022,1,5576000
ar.wikipedia,TN,2022,1,4779000
ar.wikipedia,SD,2022,1,3631000
ar.wikipedia,DE,2022,1,3545000
ar.wikipedia,PS,2022,1,3480000
ar.wikipedia,TR,2022,1,3458000
ar.wikipedia,LY,2022,1,3347000
ar.wikipedia,SY,2022,1,3283000
ar.wikipedia,IL,2022,1,2959000
ar.wikipedia,LB,2022,1,2648000
ar.wikipedia,YE,2022,1,2605000
ar.wikipedia,OM,2022,1,2456000
ar.wikipedia,QA,2022,1,1859000
ar.wikipedia,FR,2022,1,1745000
ar.wikipedia,BH,2022,1,1626000
ar.wikipedia,GB,2022,1,1306000
ar.wikipedia,NL,2022,1,1273000
ar.wikipedia,IR,2022,1,1255000
ar.wikipedia,CA,2022,1,1026000
ar.wikipedia,SE,2022,1,1014000
ar.wikipedia,BE,2022,1,980000
ar.wikipedia,RU,2022,1,730000
ar.wikipedia,MR,2022,1,505000
ar.wikipedia,ES,2022,1,493000
ar.wikipedia,IT,2022,1,480000
ar.wikipedia,ID,2022,1,365000
ar.wikipedia,IN,2022,1,323000
ar.wikipedia,DK,2022,1,321000
ar.wikipedia,AU,2022,1,277000
ar.wikipedia,MY,2022,1,255000
ar.wikipedia,AT,2022,1,248000
ar.wikipedia,BR,2022,1,222000
ar.wikipedia,NO,2022,1,210000
ar.wikipedia,IE,2022,1,209000
ar.wikipedia,SO,2022,1,205000
ar.wikipedia,--,2022,1,202000
ar.wikipedia,SG,2022,1,196000
ar.wikipedia,NG,2022,1,169000
ar.wikipedia,CH,2022,1,159000
ar.wikipedia,UA,2022,1,151000
ar.wikipedia,FI,2022,1,130000
ar.wikipedia,RO,2022,1,129000
ar.wikipedia,TW,2022,1,128000
ar.wikipedia,PK,2022,1,115000
ar.wikipedia,HK,2022,1,113000
ar.wikipedia,JP,2022,1,110000
ar.wikipedia,SN,2022,1,106000
ar.wikipedia,BD,2022,1,99000
ar.wikipedia,TH,2022,1,99000
ar.wikipedia,TD,2022,1,84000
ar.wikipedia,PL,2022,1,83000
ar.wikipedia,PH,2022,1,73000
ar.wikipedia,ML,2022,1,63000
ar.wikipedia,GR,2022,1,60000
ar.wikipedia,CY,2022,1,59000
ar.wikipedia,CZ,2022,1,58000
ar.wikipedia,CI,2022,1,50000
ar.wikipedia,LU,2022,1,49000
ar.wikipedia,ET,2022,1,48000
ar.wikipedia,BG,2022,1,47000
ar.wikipedia,HU,2022,1,44000
ar.wikipedia,KR,2022,1,40000
ar.wikipedia,RE,2022,1,40000
ar.wikipedia,KE,2022,1,37000
ar.wikipedia,ZA,2022,1,37000
ar.wikipedia,SS,2022,1,35000
ar.wikipedia,GE,2022,1,35000
ar.wikipedia,VN,2022,1,32000
ar.wikipedia,MX,2022,1,31000
ar.wikipedia,NE,2022,1,30000
ar.wikipedia,EC,2022,1,27000
ar.wikipedia,CM,2022,1,25000
ar.wikipedia,AF,2022,1,25000
ar.wikipedia,BY,2022,1,24000
ar.wikipedia,PT,2022,1,23000
ar.wikipedia,MD,2022,1,23000
ar.wikipedia,NZ,2022,1,23000
ar.wikipedia,AZ,2022,1,22000
ar.wikipedia,GN,2022,1,21000
ar.wikipedia,VE,2022,1,21000
ar.wikipedia,TZ,2022,1,20000
ar.wikipedia,RS,2022,1,20000
ar.wikipedia,GH,2022,1,19000
ar.wikipedia,UZ,2022,1,18000
ar.wikipedia,AR,2022,1,17000
ar.wikipedia,DJ,2022,1,17000
ar.wikipedia,LT,2022,1,17000
ar.wikipedia,BA,2022,1,16000
ar.wikipedia,KZ,2022,1,16000
ar.wikipedia,GM,2022,1,15000
ar.wikipedia,BF,2022,1,14000
ar.wikipedia,LK,2022,1,14000
ar.wikipedia,AM,2022,1,14000
ar.wikipedia,CD,2022,1,12000
ar.wikipedia,CO,2022,1,12000
ar.wikipedia,MT,2022,1,12000
ar.wikipedia,AO,2022,1,12000
ar.wikipedia,UG,2022,1,12000
ar.wikipedia,SK,2022,1,11000
ar.wikipedia,KG,2022,1,10000
ar.wikipedia,CL,2022,1,9000
ar.wikipedia,LV,2022,1,9000
ar.wikipedia,BJ,2022,1,8000
ar.wikipedia,AL,2022,1,8000
ar.wikipedia,MV,2022,1,8000
ar.wikipedia,TG,2022,1,8000
ar.wikipedia,GA,2022,1,7000
ar.wikipedia,PE,2022,1,7000
ar.wikipedia,EE,2022,1,7000
ar.wikipedia,MO,2022,1,7000
ar.wikipedia,CG,2022,1,7000
ar.wikipedia,HR,2022,1,6000
ar.wikipedia,NP,2022,1,6000
ar.wikipedia,LR,2022,1,6000
ar.wikipedia,KH,2022,1,6000
ar.wikipedia,IS,2022,1,6000
ar.wikipedia,SI,2022,1,5000
ar.wikipedia,UY,2022,1,5000
ar.wikipedia,TJ,2022,1,5000
ar.wikipedia,PY,2022,1,5000
ar.wikipedia,MZ,2022,1,4000
ar.wikipedia,CN,2022,1,4000
ar.wikipedia,SL,2022,1,4000
ar.wikipedia,MM,2022,1,4000
ar.wikipedia,BN,2022,1,4000
ar.wikipedia,MK,2022,1,4000
ar.wikipedia,KM,2022,1,4000
ar.wikipedia,MU,2022,1,4000
ar.wikipedia,ER,2022,1,4000
ar.wikipedia,DO,2022,1,3000
ar.wikipedia,CF,2022,1,3000
ar.wikipedia,ZM,2022,1,3000
ar.wikipedia,RW,2022,1,3000
ar.wikipedia,CU,2022,1,3000
ar.wikipedia,PA,2022,1,3000
ar.wikipedia,GF,2022,1,3000
ar.wikipedia,SC,2022,1,3000
ar.wikipedia,GQ,2022,1,2000
ar.wikipedia,PR,2022,1,2000
ar.wikipedia,SV,2022,1,2000
ar.wikipedia,XK,2022,1,2000
ar.wikipedia,CR,2022,1,2000
ar.wikipedia,MG,2022,1,2000
ar.wikipedia,LA,2022,1,2000
ar.wikipedia,GT,2022,1,2000
ar.wikipedia,BO,2022,1,2000
ar.wikipedia,MW,2022,1,2000
ar.wikipedia,GW,2022,1,2000
ar.wikipedia,JM,2022,1,2000
ar.wikipedia,MN,2022,1,2000
ar.wikipedia,HN,2022,1,1000
ar.wikipedia,BI,2022,1,1000
ar.wikipedia,TM,2022,1,1000
ar.wikipedia,ME,2022,1,1000
ar.wikipedia,TT,2022,1,1000
ar.wikipedia,MQ,2022,1,1000
ar.wikipedia,ZW,2022,1,1000
ar.wikipedia,GP,2022,1,1000
ar.wikipedia,NI,2022,1,1000
ar.wikipedia,NA,2022,1,1000
ar.wikipedia,BW,2022,1,1000
ar.wikipedia,AG,2022,1,1000
ar.wikipedia,JE,2022,1,1000
ar.wikipedia,EH,2022,1,1000
ar.wikipedia,AD,2022,1,1000
ar.wikipedia,GI,2022,1,1000
ar.wikipedia,HT,2022,1,1000
ar.wikipedia,YT,2022,1,1000
ar.wikipedia,IM,2022,1,1000
