project,iso2,year,month,pageviews_ceil
arc.wikipedia,US,2022,1,19000
arc.wikipedia,FR,2022,1,14000
arc.wikipedia,NL,2022,1,9000
arc.wikipedia,IR,2022,1,8000
arc.wikipedia,DE,2022,1,5000
arc.wikipedia,SG,2022,1,5000
arc.wikipedia,RU,2022,1,3000
arc.wikipedia,CA,2022,1,3000
arc.wikipedia,GB,2022,1,2000
arc.wikipedia,PL,2022,1,2000
arc.wikipedia,JP,2022,1,1000
arc.wikipedia,HK,2022,1,1000
arc.wikipedia,--,2022,1,1000
arc.wikipedia,DK,2022,1,1000
arc.wikipedia,FI,2022,1,1000
arc.wikipedia,IT,2022,1,1000
arc.wikipedia,BR,2022,1,1000
arc.wikipedia,TR,2022,1,1000
arc.wikipedia,IL,2022,1,1000
arc.wikipedia,KR,2022,1,1000
arc.wikipedia,IN,2022,1,1000
arc.wikipedia,CN,2022,1,1000
arc.wikipedia,TW,2022,1,1000
arc.wikipedia,AU,2022,1,1000
arc.wikipedia,ID,2022,1,1000
arc.wikipedia,ES,2022,1,1000
arc.wikipedia,UA,2022,1,1000
arc.wikipedia,BE,2022,1,1000
arc.wikipedia,VN,2022,1,1000
arc.wikipedia,SE,2022,1,1000
arc.wikipedia,TH,2022,1,1000
arc.wikipedia,PT,2022,1,1000
arc.wikipedia,CH,2022,1,1000
arc.wikipedia,CZ,2022,1,1000
arc.wikipedia,EG,2022,1,1000
arc.wikipedia,IQ,2022,1,1000
arc.wikipedia,NO,2022,1,1000
arc.wikipedia,US,2022,2,20000
arc.wikipedia,IR,2022,2,16000
arc.wikipedia,FR,2022,2,14000
arc.wikipedia,NL,2022,2,9000
arc.wikipedia,RU,2022,2,7000
arc.wikipedia,SG,2022,2,5000
arc.wikipedia,DE,2022,2,4000
arc.wikipedia,IN,2022,2,3000
arc.wikipedia,CA,2022,2,3000
arc.wikipedia,GB,2022,2,2000
arc.wikipedia,BR,2022,2,2000
arc.wikipedia,--,2022,2,1000
arc.wikipedia,PL,2022,2,1000
arc.wikipedia,UA,2022,2,1000
arc.wikipedia,DK,2022,2,1000
arc.wikipedia,ID,2022,2,1000
arc.wikipedia,PK,2022,2,1000
arc.wikipedia,UZ,2022,2,1000
arc.wikipedia,IL,2022,2,1000
arc.wikipedia,IT,2022,2,1000
arc.wikipedia,JP,2022,2,1000
arc.wikipedia,TR,2022,2,1000
arc.wikipedia,ES,2022,2,1000
arc.wikipedia,VN,2022,2,1000
arc.wikipedia,CN,2022,2,1000
arc.wikipedia,KR,2022,2,1000
arc.wikipedia,KZ,2022,2,1000
arc.wikipedia,GR,2022,2,1000
arc.wikipedia,TJ,2022,2,1000
arc.wikipedia,HK,2022,2,1000
arc.wikipedia,BY,2022,2,1000
arc.wikipedia,AU,2022,2,1000
arc.wikipedia,FI,2022,2,1000
arc.wikipedia,CH,2022,2,1000
arc.wikipedia,SE,2022,2,1000
arc.wikipedia,RO,2022,2,1000
arc.wikipedia,SA,2022,2,1000
arc.wikipedia,BE,2022,2,1000
arc.wikipedia,MA,2022,2,1000
arc.wikipedia,SC,2022,2,1000
arc.wikipedia,IQ,2022,2,1000
arc.wikipedia,TW,2022,2,1000
arc.wikipedia,LV,2022,2,1000
arc.wikipedia,US,2022,3,18000
arc.wikipedia,NL,2022,3,8000
arc.wikipedia,DE,2022,3,8000
arc.wikipedia,FR,2022,3,6000
arc.wikipedia,IR,2022,3,6000
arc.wikipedia,RU,2022,3,5000
arc.wikipedia,IN,2022,3,4000
arc.wikipedia,CA,2022,3,4000
arc.wikipedia,SG,2022,3,4000
arc.wikipedia,GB,2022,3,2000
arc.wikipedia,AT,2022,3,2000
arc.wikipedia,ID,2022,3,2000
arc.wikipedia,PL,2022,3,2000
arc.wikipedia,VN,2022,3,1000
arc.wikipedia,UZ,2022,3,1000
arc.wikipedia,PK,2022,3,1000
arc.wikipedia,IE,2022,3,1000
arc.wikipedia,TJ,2022,3,1000
arc.wikipedia,KZ,2022,3,1000
arc.wikipedia,JP,2022,3,1000
arc.wikipedia,TR,2022,3,1000
arc.wikipedia,IT,2022,3,1000
arc.wikipedia,GR,2022,3,1000
arc.wikipedia,--,2022,3,1000
arc.wikipedia,DK,2022,3,1000
arc.wikipedia,HK,2022,3,1000
arc.wikipedia,BR,2022,3,1000
arc.wikipedia,LV,2022,3,1000
arc.wikipedia,UA,2022,3,1000
arc.wikipedia,SE,2022,3,1000
arc.wikipedia,IL,2022,3,1000
arc.wikipedia,KR,2022,3,1000
arc.wikipedia,BY,2022,3,1000
arc.wikipedia,CZ,2022,3,1000
arc.wikipedia,ES,2022,3,1000
arc.wikipedia,AU,2022,3,1000
arc.wikipedia,AF,2022,3,1000
arc.wikipedia,CO,2022,3,1000
arc.wikipedia,PT,2022,3,1000
arc.wikipedia,NE,2022,3,1000
arc.wikipedia,MY,2022,3,1000
arc.wikipedia,RO,2022,3,1000
arc.wikipedia,GE,2022,3,1000
arc.wikipedia,SC,2022,3,1000
arc.wikipedia,SA,2022,3,1000
arc.wikipedia,EG,2022,3,1000
arc.wikipedia,CN,2022,3,1000
arc.wikipedia,MX,2022,3,1000
arc.wikipedia,PH,2022,3,1000
arc.wikipedia,AE,2022,3,1000
arc.wikipedia,US,2022,4,18000
arc.wikipedia,IN,2022,4,16000
arc.wikipedia,RU,2022,4,13000
arc.wikipedia,NL,2022,4,6000
arc.wikipedia,DE,2022,4,5000
arc.wikipedia,CA,2022,4,5000
arc.wikipedia,UZ,2022,4,5000
arc.wikipedia,SG,2022,4,4000
arc.wikipedia,FR,2022,4,4000
arc.wikipedia,KZ,2022,4,3000
arc.wikipedia,IR,2022,4,3000
arc.wikipedia,BY,2022,4,3000
arc.wikipedia,PK,2022,4,2000
arc.wikipedia,UA,2022,4,2000
arc.wikipedia,GB,2022,4,2000
arc.wikipedia,TJ,2022,4,2000
arc.wikipedia,GR,2022,4,2000
arc.wikipedia,JP,2022,4,2000
arc.wikipedia,--,2022,4,2000
arc.wikipedia,GE,2022,4,2000
arc.wikipedia,PL,2022,4,1000
arc.wikipedia,ID,2022,4,1000
arc.wikipedia,IT,2022,4,1000
arc.wikipedia,DK,2022,4,1000
arc.wikipedia,KG,2022,4,1000
arc.wikipedia,TR,2022,4,1000
arc.wikipedia,KR,2022,4,1000
arc.wikipedia,HK,2022,4,1000
arc.wikipedia,VN,2022,4,1000
arc.wikipedia,BR,2022,4,1000
arc.wikipedia,ES,2022,4,1000
arc.wikipedia,MN,2022,4,1000
arc.wikipedia,PH,2022,4,1000
arc.wikipedia,IL,2022,4,1000
arc.wikipedia,AT,2022,4,1000
arc.wikipedia,EG,2022,4,1000
arc.wikipedia,AF,2022,4,1000
arc.wikipedia,AE,2022,4,1000
arc.wikipedia,IQ,2022,4,1000
arc.wikipedia,SE,2022,4,1000
arc.wikipedia,CH,2022,4,1000
arc.wikipedia,AU,2022,4,1000
arc.wikipedia,NO,2022,4,1000
arc.wikipedia,SA,2022,4,1000
arc.wikipedia,CO,2022,4,1000
arc.wikipedia,MA,2022,4,1000
arc.wikipedia,KE,2022,4,1000
arc.wikipedia,IE,2022,4,1000
arc.wikipedia,AZ,2022,4,1000
arc.wikipedia,LT,2022,4,1000
arc.wikipedia,RO,2022,4,1000
arc.wikipedia,BG,2022,4,1000
arc.wikipedia,GU,2022,4,1000
arc.wikipedia,ZA,2022,4,1000
arc.wikipedia,AM,2022,4,1000
arc.wikipedia,HR,2022,4,1000
arc.wikipedia,US,2022,5,35000
arc.wikipedia,IN,2022,5,23000
arc.wikipedia,RU,2022,5,18000
arc.wikipedia,NL,2022,5,7000
arc.wikipedia,UZ,2022,5,7000
arc.wikipedia,SG,2022,5,6000
arc.wikipedia,CA,2022,5,5000
arc.wikipedia,KZ,2022,5,5000
arc.wikipedia,DE,2022,5,5000
arc.wikipedia,IR,2022,5,4000
arc.wikipedia,PK,2022,5,4000
arc.wikipedia,FR,2022,5,4000
arc.wikipedia,BY,2022,5,3000
arc.wikipedia,UA,2022,5,3000
arc.wikipedia,TJ,2022,5,3000
arc.wikipedia,GB,2022,5,3000
arc.wikipedia,GE,2022,5,3000
arc.wikipedia,KE,2022,5,2000
arc.wikipedia,IT,2022,5,2000
arc.wikipedia,PL,2022,5,2000
arc.wikipedia,SE,2022,5,2000
arc.wikipedia,HK,2022,5,1000
arc.wikipedia,--,2022,5,1000
arc.wikipedia,KG,2022,5,1000
arc.wikipedia,MN,2022,5,1000
arc.wikipedia,GR,2022,5,1000
arc.wikipedia,TR,2022,5,1000
arc.wikipedia,IL,2022,5,1000
arc.wikipedia,PH,2022,5,1000
arc.wikipedia,AE,2022,5,1000
arc.wikipedia,DK,2022,5,1000
arc.wikipedia,PT,2022,5,1000
arc.wikipedia,VN,2022,5,1000
arc.wikipedia,ID,2022,5,1000
