project,iso2,year,month,pageviews_ceil
arz.wikipedia,EG,2022,1,1043000
arz.wikipedia,SA,2022,1,444000
arz.wikipedia,US,2022,1,281000
arz.wikipedia,IQ,2022,1,172000
arz.wikipedia,MA,2022,1,145000
arz.wikipedia,DZ,2022,1,135000
arz.wikipedia,DE,2022,1,125000
arz.wikipedia,JO,2022,1,91000
arz.wikipedia,FR,2022,1,83000
arz.wikipedia,CA,2022,1,72000
arz.wikipedia,TN,2022,1,64000
arz.wikipedia,GB,2022,1,62000
arz.wikipedia,AE,2022,1,61000
arz.wikipedia,KW,2022,1,58000
arz.wikipedia,SY,2022,1,53000
arz.wikipedia,IL,2022,1,52000
arz.wikipedia,SG,2022,1,50000
arz.wikipedia,NL,2022,1,48000
arz.wikipedia,TR,2022,1,43000
arz.wikipedia,PS,2022,1,42000
arz.wikipedia,SD,2022,1,40000
arz.wikipedia,LB,2022,1,39000
arz.wikipedia,LY,2022,1,37000
arz.wikipedia,YE,2022,1,37000
arz.wikipedia,IR,2022,1,35000
arz.wikipedia,BE,2022,1,30000
arz.wikipedia,--,2022,1,26000
arz.wikipedia,OM,2022,1,22000
arz.wikipedia,QA,2022,1,22000
arz.wikipedia,RU,2022,1,21000
arz.wikipedia,SE,2022,1,20000
arz.wikipedia,FI,2022,1,17000
arz.wikipedia,BH,2022,1,16000
arz.wikipedia,IT,2022,1,13000
arz.wikipedia,JP,2022,1,13000
arz.wikipedia,IN,2022,1,11000
arz.wikipedia,ES,2022,1,10000
arz.wikipedia,PL,2022,1,8000
arz.wikipedia,PK,2022,1,8000
arz.wikipedia,DK,2022,1,8000
arz.wikipedia,AU,2022,1,7000
arz.wikipedia,MR,2022,1,6000
arz.wikipedia,NO,2022,1,6000
arz.wikipedia,AT,2022,1,6000
arz.wikipedia,ID,2022,1,5000
arz.wikipedia,UA,2022,1,5000
arz.wikipedia,CH,2022,1,5000
arz.wikipedia,BR,2022,1,4000
arz.wikipedia,IE,2022,1,3000
arz.wikipedia,RO,2022,1,3000
arz.wikipedia,MY,2022,1,3000
arz.wikipedia,HK,2022,1,3000
arz.wikipedia,KR,2022,1,3000
arz.wikipedia,CZ,2022,1,2000
arz.wikipedia,PT,2022,1,2000
arz.wikipedia,TH,2022,1,2000
arz.wikipedia,NG,2022,1,2000
arz.wikipedia,PH,2022,1,2000
arz.wikipedia,VN,2022,1,2000
arz.wikipedia,SO,2022,1,2000
arz.wikipedia,HU,2022,1,2000
arz.wikipedia,TW,2022,1,2000
arz.wikipedia,LU,2022,1,2000
arz.wikipedia,GR,2022,1,2000
arz.wikipedia,BD,2022,1,2000
arz.wikipedia,BG,2022,1,2000
arz.wikipedia,SN,2022,1,2000
arz.wikipedia,RS,2022,1,2000
arz.wikipedia,MX,2022,1,2000
arz.wikipedia,ZA,2022,1,2000
arz.wikipedia,CN,2022,1,1000
arz.wikipedia,AR,2022,1,1000
arz.wikipedia,LT,2022,1,1000
arz.wikipedia,TD,2022,1,1000
arz.wikipedia,CY,2022,1,1000
arz.wikipedia,ML,2022,1,1000
arz.wikipedia,GH,2022,1,1000
