project,iso2,year,month,pageviews_ceil
as.wikipedia,IN,2022,1,792000
as.wikipedia,US,2022,1,86000
as.wikipedia,FR,2022,1,21000
as.wikipedia,SG,2022,1,20000
as.wikipedia,NL,2022,1,14000
as.wikipedia,DE,2022,1,14000
as.wikipedia,CA,2022,1,11000
as.wikipedia,BD,2022,1,6000
as.wikipedia,GB,2022,1,6000
as.wikipedia,IR,2022,1,5000
as.wikipedia,RU,2022,1,5000
as.wikipedia,JP,2022,1,3000
as.wikipedia,PL,2022,1,2000
as.wikipedia,FI,2022,1,2000
as.wikipedia,TH,2022,1,2000
as.wikipedia,--,2022,1,2000
as.wikipedia,HK,2022,1,1000
as.wikipedia,ID,2022,1,1000
as.wikipedia,BR,2022,1,1000
as.wikipedia,AU,2022,1,1000
as.wikipedia,KR,2022,1,1000
as.wikipedia,TW,2022,1,1000
as.wikipedia,VN,2022,1,1000
as.wikipedia,IT,2022,1,1000
as.wikipedia,ES,2022,1,1000
as.wikipedia,CN,2022,1,1000
as.wikipedia,UA,2022,1,1000
as.wikipedia,CH,2022,1,1000
as.wikipedia,DK,2022,1,1000
as.wikipedia,BE,2022,1,1000
as.wikipedia,CZ,2022,1,1000
as.wikipedia,SE,2022,1,1000
as.wikipedia,PT,2022,1,1000
as.wikipedia,SA,2022,1,1000
as.wikipedia,AE,2022,1,1000
as.wikipedia,ZA,2022,1,1000
as.wikipedia,TR,2022,1,1000
as.wikipedia,LV,2022,1,1000
as.wikipedia,SC,2022,1,1000
as.wikipedia,AT,2022,1,1000
as.wikipedia,MY,2022,1,1000
as.wikipedia,RO,2022,1,1000
as.wikipedia,IL,2022,1,1000
as.wikipedia,CO,2022,1,1000
as.wikipedia,BG,2022,1,1000
as.wikipedia,NO,2022,1,1000
as.wikipedia,DZ,2022,1,1000
as.wikipedia,IN,2022,2,917000
as.wikipedia,US,2022,2,103000
as.wikipedia,FR,2022,2,21000
as.wikipedia,SG,2022,2,16000
as.wikipedia,NL,2022,2,15000
as.wikipedia,DE,2022,2,10000
as.wikipedia,RU,2022,2,9000
as.wikipedia,CA,2022,2,8000
as.wikipedia,BD,2022,2,6000
as.wikipedia,GB,2022,2,5000
as.wikipedia,IR,2022,2,5000
as.wikipedia,--,2022,2,2000
as.wikipedia,ID,2022,2,2000
as.wikipedia,AU,2022,2,2000
as.wikipedia,JP,2022,2,2000
as.wikipedia,PL,2022,2,2000
as.wikipedia,IT,2022,2,2000
as.wikipedia,UA,2022,2,1000
as.wikipedia,BR,2022,2,1000
as.wikipedia,HK,2022,2,1000
as.wikipedia,ES,2022,2,1000
as.wikipedia,VN,2022,2,1000
as.wikipedia,TR,2022,2,1000
as.wikipedia,FI,2022,2,1000
as.wikipedia,CH,2022,2,1000
as.wikipedia,GR,2022,2,1000
as.wikipedia,DK,2022,2,1000
as.wikipedia,CN,2022,2,1000
as.wikipedia,KR,2022,2,1000
as.wikipedia,SA,2022,2,1000
as.wikipedia,SI,2022,2,1000
as.wikipedia,LV,2022,2,1000
as.wikipedia,NO,2022,2,1000
as.wikipedia,CZ,2022,2,1000
as.wikipedia,RO,2022,2,1000
as.wikipedia,SE,2022,2,1000
as.wikipedia,MA,2022,2,1000
as.wikipedia,MY,2022,2,1000
as.wikipedia,AE,2022,2,1000
as.wikipedia,IL,2022,2,1000
