project,iso2,year,month,pageviews_ceil
ay.wikipedia,US,2022,1,19000
ay.wikipedia,FR,2022,1,15000
ay.wikipedia,NL,2022,1,8000
ay.wikipedia,DE,2022,1,5000
ay.wikipedia,RU,2022,1,4000
ay.wikipedia,SG,2022,1,4000
ay.wikipedia,CA,2022,1,3000
ay.wikipedia,IR,2022,1,2000
ay.wikipedia,GB,2022,1,2000
ay.wikipedia,--,2022,1,1000
ay.wikipedia,PL,2022,1,1000
ay.wikipedia,PE,2022,1,1000
ay.wikipedia,FI,2022,1,1000
ay.wikipedia,JP,2022,1,1000
ay.wikipedia,HK,2022,1,1000
ay.wikipedia,ES,2022,1,1000
ay.wikipedia,IT,2022,1,1000
ay.wikipedia,IN,2022,1,1000
ay.wikipedia,UA,2022,1,1000
ay.wikipedia,BR,2022,1,1000
ay.wikipedia,CN,2022,1,1000
ay.wikipedia,MX,2022,1,1000
ay.wikipedia,KR,2022,1,1000
ay.wikipedia,PT,2022,1,1000
ay.wikipedia,TW,2022,1,1000
ay.wikipedia,SE,2022,1,1000
ay.wikipedia,DK,2022,1,1000
ay.wikipedia,ID,2022,1,1000
ay.wikipedia,AR,2022,1,1000
ay.wikipedia,BO,2022,1,1000
ay.wikipedia,VN,2022,1,1000
ay.wikipedia,CZ,2022,1,1000
ay.wikipedia,CO,2022,1,1000
ay.wikipedia,BE,2022,1,1000
ay.wikipedia,CH,2022,1,1000
ay.wikipedia,AU,2022,1,1000
ay.wikipedia,LV,2022,1,1000
ay.wikipedia,TR,2022,1,1000
ay.wikipedia,CL,2022,1,1000
ay.wikipedia,HU,2022,1,1000
ay.wikipedia,IN,2022,2,49000
ay.wikipedia,RU,2022,2,27000
ay.wikipedia,US,2022,2,18000
ay.wikipedia,FR,2022,2,12000
ay.wikipedia,UZ,2022,2,10000
ay.wikipedia,NL,2022,2,9000
ay.wikipedia,PK,2022,2,8000
ay.wikipedia,KZ,2022,2,7000
ay.wikipedia,UA,2022,2,6000
ay.wikipedia,BY,2022,2,5000
ay.wikipedia,DE,2022,2,4000
ay.wikipedia,TJ,2022,2,4000
ay.wikipedia,SG,2022,2,3000
ay.wikipedia,IR,2022,2,3000
ay.wikipedia,CA,2022,2,3000
ay.wikipedia,BR,2022,2,2000
ay.wikipedia,GE,2022,2,2000
ay.wikipedia,GB,2022,2,2000
ay.wikipedia,MN,2022,2,2000
ay.wikipedia,KG,2022,2,2000
ay.wikipedia,PH,2022,2,2000
ay.wikipedia,TW,2022,2,1000
ay.wikipedia,VN,2022,2,1000
ay.wikipedia,ES,2022,2,1000
ay.wikipedia,PL,2022,2,1000
ay.wikipedia,--,2022,2,1000
ay.wikipedia,PE,2022,2,1000
ay.wikipedia,AF,2022,2,1000
ay.wikipedia,BO,2022,2,1000
