project,iso2,year,month,pageviews_ceil
az.wikipedia,AZ,2022,1,13899000
az.wikipedia,RU,2022,1,1435000
az.wikipedia,UA,2022,1,852000
az.wikipedia,US,2022,1,376000
az.wikipedia,TR,2022,1,195000
az.wikipedia,DE,2022,1,130000
az.wikipedia,IR,2022,1,121000
az.wikipedia,ID,2022,1,110000
az.wikipedia,BR,2022,1,104000
az.wikipedia,FR,2022,1,90000
az.wikipedia,NL,2022,1,84000
az.wikipedia,CA,2022,1,83000
az.wikipedia,GE,2022,1,79000
az.wikipedia,TW,2022,1,71000
az.wikipedia,SG,2022,1,60000
az.wikipedia,HK,2022,1,59000
az.wikipedia,GB,2022,1,55000
az.wikipedia,MY,2022,1,49000
az.wikipedia,IN,2022,1,31000
az.wikipedia,PH,2022,1,30000
az.wikipedia,ES,2022,1,26000
az.wikipedia,TH,2022,1,24000
az.wikipedia,--,2022,1,23000
az.wikipedia,PL,2022,1,21000
az.wikipedia,BD,2022,1,21000
az.wikipedia,JP,2022,1,20000
az.wikipedia,VN,2022,1,17000
az.wikipedia,AU,2022,1,17000
az.wikipedia,IT,2022,1,16000
az.wikipedia,EC,2022,1,15000
az.wikipedia,UZ,2022,1,14000
az.wikipedia,MX,2022,1,13000
az.wikipedia,SE,2022,1,12000
az.wikipedia,FI,2022,1,12000
az.wikipedia,AM,2022,1,10000
az.wikipedia,KR,2022,1,8000
az.wikipedia,BE,2022,1,8000
az.wikipedia,IQ,2022,1,8000
az.wikipedia,IL,2022,1,7000
az.wikipedia,KZ,2022,1,7000
az.wikipedia,AR,2022,1,6000
az.wikipedia,HU,2022,1,6000
az.wikipedia,DK,2022,1,6000
az.wikipedia,CZ,2022,1,6000
az.wikipedia,PK,2022,1,6000
az.wikipedia,CO,2022,1,5000
az.wikipedia,GR,2022,1,5000
az.wikipedia,CH,2022,1,5000
az.wikipedia,TM,2022,1,5000
az.wikipedia,AE,2022,1,5000
az.wikipedia,AT,2022,1,4000
az.wikipedia,RO,2022,1,4000
az.wikipedia,MO,2022,1,4000
az.wikipedia,ZA,2022,1,4000
az.wikipedia,LT,2022,1,4000
az.wikipedia,PT,2022,1,4000
az.wikipedia,DZ,2022,1,4000
az.wikipedia,EG,2022,1,4000
az.wikipedia,BY,2022,1,4000
az.wikipedia,BG,2022,1,4000
az.wikipedia,NP,2022,1,3000
az.wikipedia,NO,2022,1,3000
az.wikipedia,PE,2022,1,3000
az.wikipedia,SA,2022,1,3000
az.wikipedia,NZ,2022,1,3000
az.wikipedia,LV,2022,1,3000
az.wikipedia,EE,2022,1,3000
az.wikipedia,IE,2022,1,3000
az.wikipedia,CL,2022,1,3000
az.wikipedia,MA,2022,1,3000
az.wikipedia,RS,2022,1,2000
az.wikipedia,LU,2022,1,2000
az.wikipedia,QA,2022,1,2000
az.wikipedia,KH,2022,1,2000
az.wikipedia,CN,2022,1,2000
az.wikipedia,PY,2022,1,2000
az.wikipedia,MD,2022,1,2000
az.wikipedia,VE,2022,1,2000
az.wikipedia,TN,2022,1,2000
az.wikipedia,BA,2022,1,2000
az.wikipedia,KG,2022,1,2000
az.wikipedia,NG,2022,1,2000
az.wikipedia,SK,2022,1,2000
az.wikipedia,DO,2022,1,2000
az.wikipedia,MM,2022,1,2000
az.wikipedia,HR,2022,1,2000
