project,iso2,year,month,pageviews_ceil
azb.wikipedia,US,2022,1,97000
azb.wikipedia,IR,2022,1,83000
azb.wikipedia,DE,2022,1,28000
azb.wikipedia,SG,2022,1,28000
azb.wikipedia,CA,2022,1,27000
azb.wikipedia,FR,2022,1,21000
azb.wikipedia,NL,2022,1,14000
azb.wikipedia,GB,2022,1,9000
azb.wikipedia,RU,2022,1,9000
azb.wikipedia,FI,2022,1,7000
azb.wikipedia,JP,2022,1,6000
azb.wikipedia,TR,2022,1,4000
azb.wikipedia,PL,2022,1,4000
azb.wikipedia,BE,2022,1,3000
azb.wikipedia,--,2022,1,3000
azb.wikipedia,IN,2022,1,2000
azb.wikipedia,ID,2022,1,2000
azb.wikipedia,BR,2022,1,2000
azb.wikipedia,IT,2022,1,2000
azb.wikipedia,DK,2022,1,2000
azb.wikipedia,SE,2022,1,2000
azb.wikipedia,HK,2022,1,2000
azb.wikipedia,VN,2022,1,2000
azb.wikipedia,KR,2022,1,2000
azb.wikipedia,ES,2022,1,1000
azb.wikipedia,IQ,2022,1,1000
azb.wikipedia,UA,2022,1,1000
azb.wikipedia,CN,2022,1,1000
azb.wikipedia,TW,2022,1,1000
azb.wikipedia,AU,2022,1,1000
azb.wikipedia,SA,2022,1,1000
azb.wikipedia,AZ,2022,1,1000
azb.wikipedia,CH,2022,1,1000
azb.wikipedia,PT,2022,1,1000
azb.wikipedia,CZ,2022,1,1000
azb.wikipedia,IL,2022,1,1000
azb.wikipedia,AF,2022,1,1000
azb.wikipedia,MA,2022,1,1000
azb.wikipedia,NG,2022,1,1000
azb.wikipedia,CO,2022,1,1000
azb.wikipedia,TH,2022,1,1000
azb.wikipedia,RO,2022,1,1000
azb.wikipedia,EG,2022,1,1000
azb.wikipedia,AT,2022,1,1000
azb.wikipedia,MY,2022,1,1000
azb.wikipedia,DZ,2022,1,1000
azb.wikipedia,LV,2022,1,1000
azb.wikipedia,ZA,2022,1,1000
azb.wikipedia,GH,2022,1,1000
azb.wikipedia,BG,2022,1,1000
azb.wikipedia,PK,2022,1,1000
azb.wikipedia,NO,2022,1,1000
azb.wikipedia,IE,2022,1,1000
azb.wikipedia,SD,2022,1,1000
azb.wikipedia,AE,2022,1,1000
azb.wikipedia,GR,2022,1,1000
azb.wikipedia,LT,2022,1,1000
azb.wikipedia,MX,2022,1,1000
azb.wikipedia,SC,2022,1,1000
azb.wikipedia,EE,2022,1,1000
azb.wikipedia,BD,2022,1,1000
azb.wikipedia,JO,2022,1,1000
azb.wikipedia,AR,2022,1,1000
azb.wikipedia,KH,2022,1,1000
azb.wikipedia,HU,2022,1,1000
azb.wikipedia,PH,2022,1,1000
azb.wikipedia,TN,2022,1,1000
azb.wikipedia,CL,2022,1,1000
azb.wikipedia,RS,2022,1,1000
azb.wikipedia,US,2022,2,134000
azb.wikipedia,IR,2022,2,84000
azb.wikipedia,SG,2022,2,28000
azb.wikipedia,DE,2022,2,25000
azb.wikipedia,FR,2022,2,21000
azb.wikipedia,CA,2022,2,18000
azb.wikipedia,RU,2022,2,16000
azb.wikipedia,NL,2022,2,15000
azb.wikipedia,GB,2022,2,12000
azb.wikipedia,--,2022,2,5000
azb.wikipedia,TR,2022,2,4000
azb.wikipedia,FI,2022,2,4000
azb.wikipedia,IT,2022,2,4000
azb.wikipedia,JP,2022,2,4000
azb.wikipedia,BR,2022,2,3000
azb.wikipedia,PL,2022,2,3000
azb.wikipedia,ID,2022,2,3000
azb.wikipedia,IN,2022,2,2000
azb.wikipedia,UA,2022,2,2000
azb.wikipedia,ES,2022,2,2000
azb.wikipedia,DK,2022,2,2000
azb.wikipedia,CH,2022,2,2000
azb.wikipedia,HK,2022,2,2000
azb.wikipedia,AU,2022,2,1000
azb.wikipedia,IQ,2022,2,1000
azb.wikipedia,VN,2022,2,1000
azb.wikipedia,AZ,2022,2,1000
azb.wikipedia,SA,2022,2,1000
azb.wikipedia,CN,2022,2,1000
azb.wikipedia,SE,2022,2,1000
azb.wikipedia,KR,2022,2,1000
azb.wikipedia,GR,2022,2,1000
azb.wikipedia,PK,2022,2,1000
azb.wikipedia,MA,2022,2,1000
azb.wikipedia,NG,2022,2,1000
azb.wikipedia,RO,2022,2,1000
azb.wikipedia,EG,2022,2,1000
azb.wikipedia,IL,2022,2,1000
azb.wikipedia,LV,2022,2,1000
azb.wikipedia,KE,2022,2,1000
azb.wikipedia,PT,2022,2,1000
azb.wikipedia,BE,2022,2,1000
